"Plot Title: 20154236 (Adelup Far)"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 20154236, SEN S/N: 20154236)","Intensity, Lux (LGR S/N: 20154236, SEN S/N: 20154236)"
1,05/26/20 12:00:00 PM,31.166,8266.7
2,05/26/20 01:00:00 PM,32.911,39955.8
3,05/26/20 02:00:00 PM,33.535,99200.7
4,05/26/20 03:00:00 PM,34.374,41333.6
5,05/26/20 04:00:00 PM,33.118,9300.1
6,05/26/20 05:00:00 PM,33.014,21355.7
7,05/26/20 06:00:00 PM,32.394,5166.7
8,05/26/20 07:00:00 PM,30.154,0.0
9,05/26/20 08:00:00 PM,29.053,0.0
10,05/26/20 09:00:00 PM,29.053,0.0
11,05/26/20 10:00:00 PM,29.053,0.0
12,05/26/20 11:00:00 PM,29.053,0.0
13,05/27/20 12:00:00 AM,29.053,0.0
14,05/27/20 01:00:00 AM,29.053,0.0
15,05/27/20 02:00:00 AM,28.953,0.0
16,05/27/20 03:00:00 AM,28.953,0.0
17,05/27/20 04:00:00 AM,28.953,0.0
18,05/27/20 05:00:00 AM,28.953,0.0
19,05/27/20 06:00:00 AM,28.953,204.5
20,05/27/20 07:00:00 AM,29.053,1173.3
21,05/27/20 08:00:00 AM,29.552,3272.2
22,05/27/20 09:00:00 AM,29.552,4305.6
23,05/27/20 10:00:00 AM,29.953,5511.1
24,05/27/20 11:00:00 AM,30.255,8611.2
25,05/27/20 12:00:00 PM,30.862,28933.5
26,05/27/20 01:00:00 PM,31.676,24800.2
27,05/27/20 02:00:00 PM,31.370,5511.1
28,05/27/20 03:00:00 PM,33.014,46844.8
29,05/27/20 04:00:00 PM,33.222,60622.6
30,05/27/20 05:00:00 PM,32.704,27555.7
31,05/27/20 06:00:00 PM,32.086,9300.1
32,05/27/20 07:00:00 PM,31.370,10.8
33,05/27/20 08:00:00 PM,29.552,0.0
34,05/27/20 09:00:00 PM,29.053,0.0
35,05/27/20 10:00:00 PM,29.053,0.0
36,05/27/20 11:00:00 PM,29.053,0.0
37,05/28/20 12:00:00 AM,29.053,0.0
38,05/28/20 01:00:00 AM,29.053,0.0
39,05/28/20 02:00:00 AM,28.953,0.0
40,05/28/20 03:00:00 AM,28.953,0.0
41,05/28/20 04:00:00 AM,28.953,0.0
42,05/28/20 05:00:00 AM,28.953,0.0
43,05/28/20 06:00:00 AM,29.053,172.2
44,05/28/20 07:00:00 AM,29.152,1280.9
45,05/28/20 08:00:00 AM,29.452,2066.7
46,05/28/20 09:00:00 AM,29.853,2755.6
47,05/28/20 10:00:00 AM,30.457,3272.2
48,05/28/20 11:00:00 AM,30.963,6200.0
49,05/28/20 12:00:00 PM,31.370,26178.0
50,05/28/20 01:00:00 PM,31.472,12400.1
51,05/28/20 02:00:00 PM,32.188,37200.2
52,05/28/20 03:00:00 PM,32.600,66133.8
53,05/28/20 04:00:00 PM,33.014,66133.8
54,05/28/20 05:00:00 PM,32.704,38578.0
55,05/28/20 06:00:00 PM,31.778,1894.5
56,05/28/20 07:00:00 PM,30.963,21.5
57,05/28/20 08:00:00 PM,30.457,0.0
58,05/28/20 09:00:00 PM,28.754,0.0
59,05/28/20 10:00:00 PM,28.953,0.0
60,05/28/20 11:00:00 PM,29.152,0.0
61,05/29/20 12:00:00 AM,29.053,0.0
62,05/29/20 01:00:00 AM,29.053,0.0
63,05/29/20 02:00:00 AM,29.053,0.0
64,05/29/20 03:00:00 AM,29.053,0.0
65,05/29/20 04:00:00 AM,28.953,0.0
66,05/29/20 05:00:00 AM,28.953,0.0
67,05/29/20 06:00:00 AM,28.953,204.5
68,05/29/20 07:00:00 AM,29.053,947.2
69,05/29/20 08:00:00 AM,29.452,2152.8
70,05/29/20 09:00:00 AM,29.953,5166.7
71,05/29/20 10:00:00 AM,30.255,2755.6
72,05/29/20 11:00:00 AM,30.457,5338.9
73,05/29/20 12:00:00 PM,30.963,7577.8
74,05/29/20 01:00:00 PM,31.676,31689.1
75,05/29/20 02:00:00 PM,31.370,11711.2
76,05/29/20 03:00:00 PM,32.086,46844.8
77,05/29/20 04:00:00 PM,31.676,10333.4
78,05/29/20 05:00:00 PM,31.676,30311.3
