"Plot Title: 10793194"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 10793194, SEN S/N: 10793194)","Intensity, Lux (LGR S/N: 10793194, SEN S/N: 10793194)","Coupler Attached (LGR S/N: 10793194)","Stopped (LGR S/N: 10793194)","End Of File (LGR S/N: 10793194)"
1,08/09/16 09:30:00 AM,32.807,10677.8,,,
2,08/09/16 09:40:00 AM,30.963,3788.9,,,
3,08/09/16 09:50:00 AM,31.778,37200.2,,,
4,08/09/16 10:00:00 AM,31.983,41333.6,,,
5,08/09/16 10:10:00 AM,31.983,33066.9,,,
6,08/09/16 10:20:00 AM,32.086,57867.0,,,
7,08/09/16 10:30:00 AM,32.291,121245.2,,,
8,08/09/16 10:40:00 AM,32.291,44089.2,,,
9,08/09/16 10:50:00 AM,32.394,57867.0,,,
10,08/09/16 11:00:00 AM,32.291,63378.2,,,
11,08/09/16 11:10:00 AM,32.497,82667.2,,,
12,08/09/16 11:20:00 AM,32.704,82667.2,,,
13,08/09/16 11:30:00 AM,32.394,38578.0,,,
14,08/09/16 11:40:00 AM,32.704,42711.4,,,
15,08/09/16 11:50:00 AM,32.807,33066.9,,,
16,08/09/16 12:00:00 PM,32.807,33066.9,,,
17,08/09/16 12:10:00 PM,32.911,71644.9,,,
18,08/09/16 12:20:00 PM,33.014,28933.5,,,
19,08/09/16 12:30:00 PM,33.014,68889.3,,,
20,08/09/16 12:40:00 PM,33.118,74400.5,,,
21,08/09/16 12:50:00 PM,33.014,37200.2,,,
22,08/09/16 01:00:00 PM,33.118,154312.1,,,
23,08/09/16 01:10:00 PM,33.014,110223.0,,,
24,08/09/16 01:20:00 PM,33.014,52355.9,,,
25,08/09/16 01:30:00 PM,33.118,74400.5,,,
26,08/09/16 01:40:00 PM,33.118,46844.8,,,
27,08/09/16 01:50:00 PM,33.222,55111.5,,,
28,08/09/16 02:00:00 PM,32.600,22044.6,,,
29,08/09/16 02:10:00 PM,33.014,44089.2,,,
30,08/09/16 02:20:00 PM,33.118,31689.1,,,
31,08/09/16 02:30:00 PM,33.222,44089.2,,,
32,08/09/16 02:40:00 PM,33.222,28933.5,,,
33,08/09/16 02:50:00 PM,32.911,55111.5,,,
34,08/09/16 03:00:00 PM,33.118,37200.2,,,
35,08/09/16 03:10:00 PM,33.118,38578.0,,,
36,08/09/16 03:20:00 PM,33.118,57867.0,,,
37,08/09/16 03:30:00 PM,32.807,49600.3,,,
38,08/09/16 03:40:00 PM,32.291,18600.1,,,
39,08/09/16 03:50:00 PM,32.394,17222.3,,,
40,08/09/16 04:00:00 PM,31.983,7233.4,,,
41,08/09/16 04:10:00 PM,31.778,5166.7,,,
42,08/09/16 04:20:00 PM,31.676,3961.1,,,
43,08/09/16 04:30:00 PM,31.574,6544.5,,,
44,08/09/16 04:40:00 PM,31.574,13777.9,,,
45,08/09/16 04:50:00 PM,31.472,19289.0,,,
46,08/09/16 05:00:00 PM,31.472,9644.5,,,
47,08/09/16 05:10:00 PM,31.574,12400.1,,,
48,08/09/16 05:20:00 PM,31.268,8611.2,,,
49,08/09/16 05:30:00 PM,31.166,7577.8,,,
50,08/09/16 05:40:00 PM,31.064,4822.3,,,
51,08/09/16 05:50:00 PM,30.963,4305.6,,,
52,08/09/16 06:00:00 PM,31.064,4305.6,,,
53,08/09/16 06:10:00 PM,31.166,3788.9,,,
54,08/09/16 06:20:00 PM,31.166,1302.4,,,
55,08/09/16 06:30:00 PM,31.166,1550.0,,,
56,08/09/16 06:40:00 PM,31.064,516.7,,,
