Plot Title: 20416034 (Adeluo),,,
#,"Date Time, GMT+10:00","Temp, °C (LGR S/N: 20416034, SEN S/N: 20416034)","Intensity, Lux (LGR S/N: 20416034, SEN S/N: 20416034)"
1,5/26/2020 12:00,31.88,24800.2
2,5/26/2020 13:00,34.268,63378.2
3,5/26/2020 14:00,34.903,82667.2
4,5/26/2020 15:00,35.542,34444.7
5,5/26/2020 16:00,34.268,15844.5
6,5/26/2020 17:00,34.268,20666.8
7,5/26/2020 18:00,33.118,4305.6
8,5/26/2020 19:00,31.778,0
9,5/26/2020 20:00,31.064,0
10,5/26/2020 21:00,29.452,0
11,5/26/2020 22:00,28.953,0
12,5/26/2020 23:00,28.953,0
13,5/27/2020 0:00,28.953,0
14,5/27/2020 1:00,28.853,0
15,5/27/2020 2:00,28.853,0
16,5/27/2020 3:00,28.754,0
17,5/27/2020 4:00,28.754,0
18,5/27/2020 5:00,28.754,0
19,5/27/2020 6:00,28.754,355.2
20,5/27/2020 7:00,28.953,2755.6
21,5/27/2020 8:00,29.552,13777.9
22,5/27/2020 9:00,29.652,10677.8
23,5/27/2020 10:00,30.356,19289
24,5/27/2020 11:00,30.76,28933.5
25,5/27/2020 12:00,31.472,93689.5
26,5/27/2020 13:00,32.911,74400.5
27,5/27/2020 14:00,32.6,12400.1
28,5/27/2020 15:00,34.691,17911.2
29,5/27/2020 16:00,34.585,71644.9
30,5/27/2020 17:00,34.163,17911.2
31,5/27/2020 18:00,33.222,6200
32,5/27/2020 19:00,32.188,10.8
33,5/27/2020 20:00,31.166,0
34,5/27/2020 21:00,30.558,0
35,5/27/2020 22:00,29.352,0
36,5/27/2020 23:00,28.853,0
37,5/28/2020 0:00,28.853,0
38,5/28/2020 1:00,28.853,0
39,5/28/2020 2:00,28.853,0
40,5/28/2020 3:00,28.853,0
41,5/28/2020 4:00,28.754,0
42,5/28/2020 5:00,28.754,0
43,5/28/2020 6:00,28.853,269.1
44,5/28/2020 7:00,29.053,2583.4
45,5/28/2020 8:00,29.552,5166.7
46,5/28/2020 9:00,30.154,11711.2
47,5/28/2020 10:00,30.963,44089.2
48,5/28/2020 11:00,31.88,13089
49,5/28/2020 12:00,32.704,44089.2
50,5/28/2020 13:00,32.911,52355.9
51,5/28/2020 14:00,33.953,79911.6
52,5/28/2020 15:00,34.163,60622.6
53,5/28/2020 16:00,34.058,20666.8
54,5/28/2020 17:00,33.848,18600.1
55,5/28/2020 18:00,32.704,1636.1
56,5/28/2020 19:00,31.676,10.8
57,5/28/2020 20:00,30.659,0
58,5/28/2020 21:00,29.853,0
59,5/28/2020 22:00,29.652,0
60,5/28/2020 23:00,28.655,0
61,5/29/2020 0:00,28.754,0
62,5/29/2020 1:00,28.853,0
63,5/29/2020 2:00,28.853,0
64,5/29/2020 3:00,28.853,0
65,5/29/2020 4:00,28.754,0
66,5/29/2020 5:00,28.754,0
67,5/29/2020 6:00,28.655,387.5
68,5/29/2020 7:00,28.953,2066.7
69,5/29/2020 8:00,29.352,4305.6
70,5/29/2020 9:00,29.953,5511.1
71,5/29/2020 10:00,30.154,7577.8
72,5/29/2020 11:00,30.963,11022.3
73,5/29/2020 12:00,31.574,16533.4
74,5/29/2020 13:00,32.807,60622.6
75,5/29/2020 14:00,31.983,11711.2
76,5/29/2020 15:00,33.118,93689.5
77,5/29/2020 16:00,32.394,10333.4
78,5/29/2020 17:00,32.497,30311.3
79,5/29/2020 18:00,31.472,7233.4
80,5/29/2020 19:00,30.457,10.8
81,5/29/2020 20:00,29.853,0
82,5/29/2020 21:00,29.252,0
83,5/29/2020 22:00,29.053,0
84,5/29/2020 23:00,28.953,0
85,5/30/2020 0:00,28.456,0
86,5/30/2020 1:00,28.456,0
87,5/30/2020 2:00,28.853,0
88,5/30/2020 3:00,28.853,0
89,5/30/2020 4:00,28.853,0
90,5/30/2020 5:00,28.853,0
91,5/30/2020 6:00,28.754,215.3
92,5/30/2020 7:00,28.754,2755.6
93,5/30/2020 8:00,29.352,8266.7
94,5/30/2020 9:00,29.452,8611.2
95,5/30/2020 10:00,29.552,15844.5
96,5/30/2020 11:00,30.558,27555.7
97,5/30/2020 12:00,31.064,18600.1
98,5/30/2020 13:00,30.963,37200.2
99,5/30/2020 14:00,32.291,41333.6
100,5/30/2020 15:00,30.963,7577.8
101,5/30/2020 16:00,32.394,27555.7
102,5/30/2020 17:00,31.268,5166.7
103,5/30/2020 18:00,30.76,2583.4
104,5/30/2020 19:00,30.356,0
105,5/30/2020 20:00,29.953,0
106,5/30/2020 21:00,29.552,0
107,5/30/2020 22:00,29.152,0
108,5/30/2020 23:00,29.152,0
109,5/31/2020 0:00,29.053,0
110,5/31/2020 1:00,28.754,0
111,5/31/2020 2:00,28.456,0
112,5/31/2020 3:00,28.555,0
113,5/31/2020 4:00,28.456,0
114,5/31/2020 5:00,28.357,0
115,5/31/2020 6:00,28.555,21.5
116,5/31/2020 7:00,28.655,1808.3
117,5/31/2020 8:00,28.655,1894.5
118,5/31/2020 9:00,29.053,5511.1
119,5/31/2020 10:00,29.252,8266.7
120,5/31/2020 11:00,29.552,6544.5
121,5/31/2020 12:00,29.452,5166.7
122,5/31/2020 13:00,29.953,18600.1
123,5/31/2020 14:00,31.574,71644.9
124,5/31/2020 15:00,31.88,33066.9
125,5/31/2020 16:00,31.37,12400.1
126,5/31/2020 17:00,31.574,15155.7
127,5/31/2020 18:00,30.963,3616.7
128,5/31/2020 19:00,30.356,21.5
129,5/31/2020 20:00,30.054,0
130,5/31/2020 21:00,29.752,0
131,5/31/2020 22:00,29.352,0
132,5/31/2020 23:00,29.152,0
133,6/1/2020 0:00,28.853,0
134,6/1/2020 1:00,28.655,0
135,6/1/2020 2:00,28.258,0
136,6/1/2020 3:00,28.159,0
137,6/1/2020 4:00,28.357,0
138,6/1/2020 5:00,28.456,0
139,6/1/2020 6:00,28.555,279.9
140,6/1/2020 7:00,28.754,2152.8
141,6/1/2020 8:00,29.152,6544.5
142,6/1/2020 9:00,30.154,8266.7
143,6/1/2020 10:00,31.166,7233.4
144,6/1/2020 11:00,31.574,12400.1
145,6/1/2020 12:00,33.014,49600.3
146,6/1/2020 13:00,33.848,12400.1
147,6/1/2020 14:00,33.535,74400.5
148,6/1/2020 15:00,33.535,9300.1
149,6/1/2020 16:00,34.374,31689.1
150,6/1/2020 17:00,33.848,17222.3
151,6/1/2020 18:00,33.118,3616.7
152,6/1/2020 19:00,32.394,10.8
153,6/1/2020 20:00,31.88,0
154,6/1/2020 21:00,31.37,0
155,6/1/2020 22:00,30.76,0
156,6/1/2020 23:00,30.457,0
157,6/2/2020 0:00,29.752,0
158,6/2/2020 1:00,29.352,0
159,6/2/2020 2:00,28.655,0
160,6/2/2020 3:00,28.258,0
161,6/2/2020 4:00,28.258,0
162,6/2/2020 5:00,28.456,0
163,6/2/2020 6:00,28.456,258.3
164,6/2/2020 7:00,28.754,2066.7
165,6/2/2020 8:00,29.252,7233.4
166,6/2/2020 9:00,30.154,17911.2
167,6/2/2020 10:00,31.268,11711.2
168,6/2/2020 11:00,32.497,18600.1
169,6/2/2020 12:00,34.268,71644.9
170,6/2/2020 13:00,34.479,22044.6
171,6/2/2020 14:00,35.222,99200.7
172,6/2/2020 15:00,35.328,37200.2
173,6/2/2020 16:00,35.009,24800.2
174,6/2/2020 17:00,33.639,26178
175,6/2/2020 18:00,33.014,3100
176,6/2/2020 19:00,31.88,0
177,6/2/2020 20:00,31.676,0
178,6/2/2020 21:00,30.862,0
179,6/2/2020 22:00,30.356,0
180,6/2/2020 23:00,29.953,0
181,6/3/2020 0:00,29.552,0
182,6/3/2020 1:00,28.953,0
183,6/3/2020 2:00,28.456,0
184,6/3/2020 3:00,28.258,0
185,6/3/2020 4:00,28.258,0
186,6/3/2020 5:00,28.357,0
187,6/3/2020 6:00,28.456,247.6
188,6/3/2020 7:00,28.754,1463.9
189,6/3/2020 8:00,29.352,3272.2
190,6/3/2020 9:00,30.255,34444.7
191,6/3/2020 10:00,31.574,74400.5
192,6/3/2020 11:00,33.222,85422.8
193,6/3/2020 12:00,34.796,52355.9
194,6/3/2020 13:00,36.403,55111.5
195,6/3/2020 14:00,36.62,110223
196,6/3/2020 15:00,35.864,34444.7
197,6/3/2020 16:00,35.435,20666.8
198,6/3/2020 17:00,34.163,19289
199,6/3/2020 18:00,31.983,1377.8
200,6/3/2020 19:00,31.472,0
201,6/3/2020 20:00,30.356,0
202,6/3/2020 21:00,29.853,0
203,6/3/2020 22:00,29.252,0
204,6/3/2020 23:00,28.953,0
205,6/4/2020 0:00,28.754,0
206,6/4/2020 1:00,28.655,0
207,6/4/2020 2:00,28.456,0
208,6/4/2020 3:00,28.456,0
209,6/4/2020 4:00,28.456,0
210,6/4/2020 5:00,28.555,0
