"Plot Title: 10571220"
"#","Date Time, GMT+10:00","Abs Pres, kPa (LGR S/N: 10571220, SEN S/N: 10571220)","Temp, °C (LGR S/N: 10571220, SEN S/N: 10571220)","Coupler Detached (LGR S/N: 10571220)","Coupler Attached (LGR S/N: 10571220)","Stopped (LGR S/N: 10571220)","End Of File (LGR S/N: 10571220)"
1,05/06/16 02:20:00 PM,101.175,29.552,Logged,,,
2,05/06/16 02:30:00 PM,104.775,29.652,,,,
3,05/06/16 02:40:00 PM,104.747,29.752,,,,
4,05/06/16 02:50:00 PM,104.737,29.752,,,,
5,05/06/16 03:00:00 PM,104.730,29.853,,,,
6,05/06/16 03:10:00 PM,104.750,29.853,,,,
7,05/06/16 03:20:00 PM,104.821,29.853,,,,
8,05/06/16 03:30:00 PM,104.955,29.953,,,,
9,05/06/16 03:40:00 PM,105.278,29.953,,,,
10,05/06/16 03:50:00 PM,105.709,29.853,,,,
11,05/06/16 04:00:00 PM,106.210,29.752,,,,
12,05/06/16 04:10:00 PM,106.745,29.752,,,,
13,05/06/16 04:20:00 PM,107.041,29.853,,,,
14,05/06/16 04:30:00 PM,107.458,29.953,,,,
15,05/06/16 04:40:00 PM,107.721,29.953,,,,
16,05/06/16 04:50:00 PM,107.994,29.953,,,,
17,05/06/16 05:00:00 PM,108.344,29.853,,,,
18,05/06/16 05:10:00 PM,108.880,29.552,,,,
19,05/06/16 05:20:00 PM,109.103,29.252,,,,
20,05/06/16 05:30:00 PM,109.559,28.953,,,,
21,05/06/16 05:40:00 PM,109.707,28.853,,,,
22,05/06/16 05:50:00 PM,110.065,28.655,,,,
23,05/06/16 06:00:00 PM,110.132,28.555,,,,
24,05/06/16 06:10:00 PM,110.352,28.456,,,,
25,05/06/16 06:20:00 PM,110.480,28.357,,,,
26,05/06/16 06:30:00 PM,111.127,28.357,,,,
27,05/06/16 06:40:00 PM,111.073,28.258,,,,
28,05/06/16 06:50:00 PM,111.222,28.159,,,,
29,05/06/16 07:00:00 PM,111.492,28.060,,,,
30,05/06/16 07:10:00 PM,111.300,28.060,,,,
31,05/06/16 07:20:00 PM,111.472,28.060,,,,
32,05/06/16 07:30:00 PM,111.401,28.060,,,,
33,05/06/16 07:40:00 PM,111.570,27.961,,,,
34,05/06/16 07:50:00 PM,111.772,27.961,,,,
35,05/06/16 08:00:00 PM,111.398,27.961,,,,
36,05/06/16 08:10:00 PM,111.661,27.961,,,,
37,05/06/16 08:20:00 PM,111.327,27.961,,,,
38,05/06/16 08:30:00 PM,111.111,27.862,,,,
39,05/06/16 08:40:00 PM,110.939,27.862,,,,
40,05/06/16 08:50:00 PM,111.051,27.862,,,,
41,05/06/16 09:00:00 PM,110.717,27.862,,,,
42,05/06/16 09:10:00 PM,110.676,27.862,,,,
43,05/06/16 09:20:00 PM,110.451,27.764,,,,
44,05/06/16 09:30:00 PM,110.188,27.764,,,,
45,05/06/16 09:40:00 PM,110.016,27.764,,,,
46,05/06/16 09:50:00 PM,109.693,27.764,,,,
47,05/06/16 10:00:00 PM,109.642,27.764,,,,
48,05/06/16 10:10:00 PM,109.228,27.764,,,,
49,05/06/16 10:20:00 PM,109.073,27.665,,,,
50,05/06/16 10:30:00 PM,108.800,27.665,,,,
51,05/06/16 10:40:00 PM,108.790,27.665,,,,
52,05/06/16 10:50:00 PM,108.487,27.665,,,,
53,05/06/16 11:00:00 PM,108.063,27.665,,,,
54,05/06/16 11:10:00 PM,107.939,27.567,,,,
55,05/06/16 11:20:00 PM,107.788,27.567,,,,
56,05/06/16 11:30:00 PM,107.687,27.567,,,,
57,05/06/16 11:40:00 PM,107.586,27.567,,,,
58,05/06/16 11:50:00 PM,107.219,27.468,,,,
59,05/07/16 12:00:00 AM,107.118,27.468,,,,
60,05/07/16 12:10:00 AM,107.017,27.468,,,,
61,05/07/16 12:20:00 AM,106.803,27.370,,,,
62,05/07/16 12:30:00 AM,106.702,27.370,,,,
63,05/07/16 12:40:00 AM,106.651,27.370,,,,
64,05/07/16 12:50:00 AM,106.477,27.272,,,,
65,05/07/16 01:00:00 AM,106.436,27.272,,,,
66,05/07/16 01:10:00 AM,106.396,27.272,,,,
67,05/07/16 01:20:00 AM,106.443,27.173,,,,
68,05/07/16 01:30:00 AM,106.433,27.173,,,,
69,05/07/16 01:40:00 AM,106.501,27.075,,,,
70,05/07/16 01:50:00 AM,106.682,27.075,,,,
71,05/07/16 02:00:00 AM,106.682,27.075,,,,
72,05/07/16 02:10:00 AM,106.891,26.977,,,,
73,05/07/16 02:20:00 AM,106.992,26.977,,,,
74,05/07/16 02:30:00 AM,107.033,26.977,,,,
75,05/07/16 02:40:00 AM,107.373,26.879,,,,
76,05/07/16 02:50:00 AM,107.514,26.879,,,,
77,05/07/16 03:00:00 AM,107.521,26.781,,,,
78,05/07/16 03:10:00 AM,107.874,26.781,,,,
79,05/07/16 03:20:00 AM,107.854,26.781,,,,
80,05/07/16 03:30:00 AM,108.106,26.781,,,,
81,05/07/16 03:40:00 AM,108.392,26.879,,,,
82,05/07/16 03:50:00 AM,108.473,26.879,,,,
83,05/07/16 04:00:00 AM,108.745,26.879,,,,
84,05/07/16 04:10:00 AM,108.920,26.977,,,,
85,05/07/16 04:20:00 AM,109.102,26.977,,,,
86,05/07/16 04:30:00 AM,109.435,26.977,,,,
87,05/07/16 04:40:00 AM,109.277,27.075,,,,
88,05/07/16 04:50:00 AM,109.661,27.075,,,,
89,05/07/16 05:00:00 AM,110.237,27.075,,,,
90,05/07/16 05:10:00 AM,110.179,27.173,,,,
91,05/07/16 05:20:00 AM,110.311,27.173,,,,
92,05/07/16 05:30:00 AM,110.493,27.173,,,,
93,05/07/16 05:40:00 AM,110.503,27.173,,,,
94,05/07/16 05:50:00 AM,110.890,27.272,,,,
95,05/07/16 06:00:00 AM,111.021,27.272,,,,
96,05/07/16 06:10:00 AM,111.247,27.370,,,,
97,05/07/16 06:20:00 AM,111.247,27.370,,,,
98,05/07/16 06:30:00 AM,111.277,27.370,,,,
99,05/07/16 06:40:00 AM,111.193,27.272,,,,
100,05/07/16 06:50:00 AM,111.598,27.272,,,,
101,05/07/16 07:00:00 AM,111.183,27.272,,,,
102,05/07/16 07:10:00 AM,111.618,27.272,,,,
103,05/07/16 07:20:00 AM,111.480,27.370,,,,
104,05/07/16 07:30:00 AM,111.510,27.370,,,,
105,05/07/16 07:40:00 AM,111.116,27.370,,,,
106,05/07/16 07:50:00 AM,111.055,27.370,,,,
107,05/07/16 08:00:00 AM,111.217,27.370,,,,
108,05/07/16 08:10:00 AM,110.893,27.370,,,,
109,05/07/16 08:20:00 AM,110.724,27.468,,,,
110,05/07/16 08:30:00 AM,110.957,27.468,,,,
111,05/07/16 08:40:00 AM,110.768,27.567,,,,
112,05/07/16 08:50:00 AM,110.404,27.567,,,,
113,05/07/16 09:00:00 AM,110.023,27.665,,,,
114,05/07/16 09:10:00 AM,109.976,27.764,,,,
115,05/07/16 09:20:00 AM,109.767,27.862,,,,
116,05/07/16 09:30:00 AM,109.456,27.961,,,,
117,05/07/16 09:40:00 AM,109.065,28.060,,,,
118,05/07/16 09:50:00 AM,108.732,28.060,,,,
119,05/07/16 10:00:00 AM,108.574,28.159,,,,
120,05/07/16 10:10:00 AM,108.099,28.159,,,,
121,05/07/16 10:20:00 AM,107.816,28.159,,,,
122,05/07/16 10:30:00 AM,107.496,28.258,,,,
123,05/07/16 10:40:00 AM,107.378,28.357,,,,
124,05/07/16 10:50:00 AM,107.041,28.555,,,,
125,05/07/16 11:00:00 AM,106.731,28.655,,,,
126,05/07/16 11:10:00 AM,106.472,28.754,,,,
127,05/07/16 11:20:00 AM,106.307,28.953,,,,
128,05/07/16 11:30:00 AM,106.078,29.053,,,,
129,05/07/16 11:40:00 AM,105.922,29.252,,,,
130,05/07/16 11:50:00 AM,105.764,29.352,,,,
131,05/07/16 12:00:00 PM,105.639,29.552,,,,
132,05/07/16 12:10:00 PM,105.528,29.552,,,,
133,05/07/16 12:20:00 PM,105.440,29.652,,,,
134,05/07/16 12:30:00 PM,105.363,29.752,,,,
135,05/07/16 12:40:00 PM,105.275,29.853,,,,
136,05/07/16 12:50:00 PM,105.207,29.953,,,,
137,05/07/16 01:00:00 PM,105.130,30.054,,,,
138,05/07/16 01:10:00 PM,105.082,30.154,,,,
139,05/07/16 01:20:00 PM,105.055,30.255,,,,
140,05/07/16 01:30:00 PM,105.015,30.255,,,,
141,05/07/16 01:40:00 PM,104.968,30.356,,,,
142,05/07/16 01:50:00 PM,104.930,30.457,,,,
143,05/07/16 02:00:00 PM,104.900,30.457,,,,
144,05/07/16 02:10:00 PM,104.853,30.558,,,,
145,05/07/16 02:20:00 PM,104.822,30.558,,,,
146,05/07/16 02:30:00 PM,104.782,30.558,,,,
147,05/07/16 02:40:00 PM,104.752,30.558,,,,
148,05/07/16 02:50:00 PM,104.722,30.558,,,,
149,05/07/16 03:00:00 PM,104.694,30.659,,,,
