"Plot Title: Adelup WL (10932526)"
"#","Date Time, GMT+10:00","Abs Pres, kPa (LGR S/N: 10932526, SEN S/N: 10932526)","Temp, °C (LGR S/N: 10932526, SEN S/N: 10932526)"
1,12/04/17 10:00:00 AM,100.893,24.255
2,12/04/17 10:10:00 AM,100.932,24.255
3,12/04/17 10:20:00 AM,100.847,24.351
4,12/04/17 10:30:00 AM,100.945,24.545
5,12/04/17 10:40:00 AM,100.954,25.222
6,12/04/17 10:50:00 AM,100.920,25.610
7,12/04/17 11:00:00 AM,100.911,26.097
8,12/04/17 11:10:00 AM,100.902,26.585
9,12/04/17 11:20:00 AM,100.857,27.173
10,12/04/17 11:30:00 AM,100.834,27.567
11,12/04/17 11:40:00 AM,100.806,27.862
12,12/04/17 11:50:00 AM,100.882,28.953
13,12/04/17 12:00:00 PM,100.842,28.953
14,12/04/17 12:10:00 PM,109.094,29.252
15,12/04/17 12:20:00 PM,108.948,29.352
16,12/04/17 12:30:00 PM,108.837,29.352
17,12/04/17 12:40:00 PM,109.264,29.452
18,12/04/17 12:50:00 PM,108.580,29.452
19,12/04/17 01:00:00 PM,108.806,29.552
20,12/04/17 01:10:00 PM,108.746,29.552
21,12/04/17 01:20:00 PM,108.233,29.552
22,12/04/17 01:30:00 PM,108.494,29.552
23,12/04/17 01:40:00 PM,108.524,29.552
24,12/04/17 01:50:00 PM,108.599,29.652
25,12/04/17 02:00:00 PM,108.484,29.552
26,12/04/17 02:10:00 PM,108.424,29.552
27,12/04/17 02:20:00 PM,108.700,29.652
28,12/04/17 02:30:00 PM,108.841,29.652
29,12/04/17 02:40:00 PM,109.066,29.752
30,12/04/17 02:50:00 PM,108.634,29.752
31,12/04/17 03:00:00 PM,109.238,29.752
32,12/04/17 03:10:00 PM,109.177,29.752
33,12/04/17 03:20:00 PM,109.469,29.752
34,12/04/17 03:30:00 PM,109.882,29.752
35,12/04/17 03:40:00 PM,109.902,29.752
36,12/04/17 03:50:00 PM,109.796,29.652
37,12/04/17 04:00:00 PM,109.973,29.552
38,12/04/17 04:10:00 PM,110.678,29.552
39,12/04/17 04:20:00 PM,110.512,29.452
40,12/04/17 04:30:00 PM,110.663,29.452
41,12/04/17 04:40:00 PM,110.930,29.352
42,12/04/17 04:50:00 PM,111.011,29.352
43,12/04/17 05:00:00 PM,110.961,29.352
44,12/04/17 05:10:00 PM,111.883,29.252
45,12/04/17 05:20:00 PM,111.590,29.252
46,12/04/17 05:30:00 PM,111.711,29.252
47,12/04/17 05:40:00 PM,112.175,29.252
48,12/04/17 05:50:00 PM,111.797,29.152
49,12/04/17 06:00:00 PM,112.442,29.152
50,12/04/17 06:10:00 PM,112.775,29.152
51,12/04/17 06:20:00 PM,112.835,29.152
52,12/04/17 06:30:00 PM,112.337,29.053
53,12/04/17 06:40:00 PM,112.528,29.053
54,12/04/17 06:50:00 PM,113.259,28.953
55,12/04/17 07:00:00 PM,112.645,28.953
56,12/04/17 07:10:00 PM,112.151,28.953
57,12/04/17 07:20:00 PM,113.048,28.953
58,12/04/17 07:30:00 PM,112.594,28.953
59,12/04/17 07:40:00 PM,112.695,28.953
60,12/04/17 07:50:00 PM,111.743,28.853
61,12/04/17 08:00:00 PM,111.562,28.853
62,12/04/17 08:10:00 PM,111.351,28.853
63,12/04/17 08:20:00 PM,111.310,28.853
64,12/04/17 08:30:00 PM,111.955,28.853
65,12/04/17 08:40:00 PM,110.988,28.853
66,12/04/17 08:50:00 PM,110.585,28.853
67,12/04/17 09:00:00 PM,110.555,28.853
68,12/04/17 09:10:00 PM,110.470,28.754
69,12/04/17 09:20:00 PM,109.997,28.754
70,12/04/17 09:30:00 PM,109.987,28.754
71,12/04/17 09:40:00 PM,109.464,28.754
72,12/04/17 09:50:00 PM,109.625,28.754
73,12/04/17 10:00:00 PM,108.850,28.754
74,12/04/17 10:10:00 PM,108.700,28.754
75,12/04/17 10:20:00 PM,108.574,28.655
76,12/04/17 10:30:00 PM,107.881,28.655
77,12/04/17 10:40:00 PM,107.740,28.655
78,12/04/17 10:50:00 PM,107.338,28.655
79,12/04/17 11:00:00 PM,107.208,28.655
80,12/04/17 11:10:00 PM,106.756,28.655
81,12/04/17 11:20:00 PM,106.560,28.555
82,12/04/17 11:30:00 PM,106.339,28.555
83,12/04/17 11:40:00 PM,106.119,28.555
84,12/04/17 11:50:00 PM,105.883,28.456
85,12/05/17 12:00:00 AM,105.662,28.456
86,12/05/17 12:10:00 AM,105.522,28.456
87,12/05/17 12:20:00 AM,105.397,28.357
88,12/05/17 12:30:00 AM,105.257,28.357
89,12/05/17 12:40:00 AM,105.116,28.357
90,12/05/17 12:50:00 AM,105.032,28.258
91,12/05/17 01:00:00 AM,104.941,28.258
92,12/05/17 01:10:00 AM,104.881,28.258
93,12/05/17 01:20:00 AM,104.786,28.159
94,12/05/17 01:30:00 AM,104.716,28.159
95,12/05/17 01:40:00 AM,104.642,28.060
96,12/05/17 01:50:00 AM,104.602,28.060
97,12/05/17 02:00:00 AM,104.557,27.961
98,12/05/17 02:10:00 AM,104.497,27.961
99,12/05/17 02:20:00 AM,104.443,27.862
100,12/05/17 02:30:00 AM,104.432,27.862
101,12/05/17 02:40:00 AM,104.382,27.862
102,12/05/17 02:50:00 AM,104.368,27.764
103,12/05/17 03:00:00 AM,104.388,27.764
104,12/05/17 03:10:00 AM,104.388,27.764
105,12/05/17 03:20:00 AM,104.394,27.665
106,12/05/17 03:30:00 AM,104.414,27.665
107,12/05/17 03:40:00 AM,104.444,27.665
108,12/05/17 03:50:00 AM,104.454,27.665
109,12/05/17 04:00:00 AM,104.564,27.665
110,12/05/17 04:10:00 AM,104.700,27.567
111,12/05/17 04:20:00 AM,104.991,27.567
112,12/05/17 04:30:00 AM,105.252,27.567
113,12/05/17 04:40:00 AM,105.659,27.468
114,12/05/17 04:50:00 AM,106.050,27.468
115,12/05/17 05:00:00 AM,106.337,27.370
116,12/05/17 05:10:00 AM,106.714,27.272
117,12/05/17 05:20:00 AM,107.005,27.272
118,12/05/17 05:30:00 AM,107.331,27.370
119,12/05/17 05:40:00 AM,107.711,27.567
120,12/05/17 05:50:00 AM,107.690,27.764
121,12/05/17 06:00:00 AM,108.121,27.961
122,12/05/17 06:10:00 AM,108.789,28.060
123,12/05/17 06:20:00 AM,108.838,28.258
124,12/05/17 06:30:00 AM,109.472,28.258
125,12/05/17 06:40:00 AM,109.536,28.357
126,12/05/17 06:50:00 AM,109.748,28.357
127,12/05/17 07:00:00 AM,109.943,28.456
128,12/05/17 07:10:00 AM,110.376,28.456
129,12/05/17 07:20:00 AM,110.456,28.456
130,12/05/17 07:30:00 AM,110.823,28.555
131,12/05/17 07:40:00 AM,110.803,28.555
132,12/05/17 07:50:00 AM,111.301,28.655
133,12/05/17 08:00:00 AM,111.362,28.655
134,12/05/17 08:10:00 AM,111.331,28.655
135,12/05/17 08:20:00 AM,111.926,28.655
136,12/05/17 08:30:00 AM,111.674,28.655
