"Plot Title: 10571220_Adelup_WL"
"#","Date Time, GMT+10:00","Abs Pres, kPa (LGR S/N: 10571220, SEN S/N: 10571220)","Temp, °C (LGR S/N: 10571220, SEN S/N: 10571220)","Coupler Detached (LGR S/N: 10571220)","Coupler Attached (LGR S/N: 10571220)","Stopped (LGR S/N: 10571220)","End Of File (LGR S/N: 10571220)"
1,06/27/18 09:00:00 AM,101.323,21.473,Logged,,,
2,06/27/18 09:10:00 AM,101.409,21.664,,,,
3,06/27/18 09:20:00 AM,101.376,22.621,,,,
4,06/27/18 09:30:00 AM,103.096,24.738,,,,
5,06/27/18 09:40:00 AM,101.689,27.862,,,,
6,06/27/18 09:50:00 AM,108.142,28.555,,,,
7,06/27/18 10:00:00 AM,107.926,28.754,,,,
8,06/27/18 10:10:00 AM,107.686,28.853,,,,
9,06/27/18 10:20:00 AM,107.444,28.853,,,,
10,06/27/18 10:30:00 AM,107.144,28.953,,,,
11,06/27/18 10:40:00 AM,106.942,28.953,,,,
12,06/27/18 10:50:00 AM,106.784,29.053,,,,
13,06/27/18 11:00:00 AM,106.653,29.053,,,,
14,06/27/18 11:10:00 AM,106.515,29.152,,,,
15,06/27/18 11:20:00 AM,106.376,29.252,,,,
16,06/27/18 11:30:00 AM,106.289,29.352,,,,
17,06/27/18 11:40:00 AM,106.198,29.352,,,,
18,06/27/18 11:50:00 AM,106.090,29.452,,,,
19,06/27/18 12:00:00 PM,106.032,29.552,,,,
20,06/27/18 12:10:00 PM,105.965,29.652,,,,
21,06/27/18 12:20:00 PM,105.928,29.752,,,,
22,06/27/18 12:30:00 PM,105.860,29.853,,,,
23,06/27/18 12:40:00 PM,105.803,29.953,,,,
24,06/27/18 12:50:00 PM,105.738,30.154,,,,
25,06/27/18 01:00:00 PM,105.721,30.255,,,,
26,06/27/18 01:10:00 PM,105.654,30.356,,,,
27,06/27/18 01:20:00 PM,105.620,30.558,,,,
28,06/27/18 01:30:00 PM,105.596,30.760,,,,
29,06/27/18 01:40:00 PM,105.541,30.963,,,,
30,06/27/18 01:50:00 PM,105.527,31.166,,,,
31,06/27/18 02:00:00 PM,105.470,31.268,,,,
32,06/27/18 02:10:00 PM,105.463,31.370,,,,
33,06/27/18 02:20:00 PM,105.446,31.472,,,,
34,06/27/18 02:30:00 PM,105.436,31.472,,,,
35,06/27/18 02:40:00 PM,105.436,31.472,,,,
36,06/27/18 02:50:00 PM,105.466,31.472,,,,
37,06/27/18 03:00:00 PM,105.537,31.472,,,,
38,06/27/18 03:10:00 PM,105.567,31.472,,,,
39,06/27/18 03:20:00 PM,105.695,31.370,,,,
40,06/27/18 03:30:00 PM,105.934,31.268,,,,
41,06/27/18 03:40:00 PM,106.167,31.268,,,,
42,06/27/18 03:50:00 PM,106.459,31.268,,,,
43,06/27/18 04:00:00 PM,106.773,31.268,,,,
44,06/27/18 04:10:00 PM,107.059,31.370,,,,
45,06/27/18 04:20:00 PM,107.284,31.472,,,,
46,06/27/18 04:30:00 PM,107.678,31.472,,,,
47,06/27/18 04:40:00 PM,107.914,31.574,,,,
48,06/27/18 04:50:00 PM,108.116,31.574,,,,
49,06/27/18 05:00:00 PM,108.311,31.676,,,,
50,06/27/18 05:10:00 PM,108.453,31.676,,,,
51,06/27/18 05:20:00 PM,108.716,31.676,,,,
52,06/27/18 05:30:00 PM,108.999,31.676,,,,
53,06/27/18 05:40:00 PM,109.390,31.574,,,,
54,06/27/18 05:50:00 PM,109.458,31.472,,,,
55,06/27/18 06:00:00 PM,109.542,30.963,,,,
56,06/27/18 06:10:00 PM,109.738,30.457,,,,
57,06/27/18 06:20:00 PM,109.982,30.154,,,,
58,06/27/18 06:30:00 PM,110.059,30.054,,,,
59,06/27/18 06:40:00 PM,110.410,29.953,,,,
60,06/27/18 06:50:00 PM,110.650,29.853,,,,
61,06/27/18 07:00:00 PM,110.512,29.652,,,,
62,06/27/18 07:10:00 PM,110.852,29.552,,,,
63,06/27/18 07:20:00 PM,110.984,29.552,,,,
64,06/27/18 07:30:00 PM,111.102,29.452,,,,
65,06/27/18 07:40:00 PM,111.129,29.352,,,,
66,06/27/18 07:50:00 PM,111.126,29.252,,,,
67,06/27/18 08:00:00 PM,111.217,29.252,,,,
68,06/27/18 08:10:00 PM,111.348,29.252,,,,
69,06/27/18 08:20:00 PM,111.085,29.252,,,,
70,06/27/18 08:30:00 PM,111.268,29.252,,,,
71,06/27/18 08:40:00 PM,111.173,29.152,,,,
72,06/27/18 08:50:00 PM,111.457,29.152,,,,
73,06/27/18 09:00:00 PM,111.224,29.152,,,,
74,06/27/18 09:10:00 PM,111.102,29.152,,,,
75,06/27/18 09:20:00 PM,111.173,29.152,,,,
76,06/27/18 09:30:00 PM,111.305,29.152,,,,
77,06/27/18 09:40:00 PM,111.143,29.152,,,,
78,06/27/18 09:50:00 PM,111.204,29.152,,,,
79,06/27/18 10:00:00 PM,111.042,29.152,,,,
80,06/27/18 10:10:00 PM,111.072,29.152,,,,
81,06/27/18 10:20:00 PM,110.826,29.053,,,,
82,06/27/18 10:30:00 PM,110.735,29.053,,,,
83,06/27/18 10:40:00 PM,110.674,29.053,,,,
84,06/27/18 10:50:00 PM,110.401,29.053,,,,
85,06/27/18 11:00:00 PM,110.169,29.053,,,,
86,06/27/18 11:10:00 PM,110.138,29.053,,,,
87,06/27/18 11:20:00 PM,109.865,29.053,,,,
88,06/27/18 11:30:00 PM,109.794,29.053,,,,
89,06/27/18 11:40:00 PM,109.569,28.953,,,,
90,06/27/18 11:50:00 PM,109.347,28.953,,,,
91,06/28/18 12:00:00 AM,109.276,28.953,,,,
92,06/28/18 12:10:00 AM,109.215,28.953,,,,
93,06/28/18 12:20:00 AM,109.033,28.953,,,,
94,06/28/18 12:30:00 AM,109.003,28.953,,,,
95,06/28/18 12:40:00 AM,108.959,28.853,,,,
96,06/28/18 12:50:00 AM,108.899,28.853,,,,
97,06/28/18 01:00:00 AM,108.949,28.853,,,,
