"Plot Title: 10957736_Agat"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 10957736, SEN S/N: 10957736)","Intensity, Lux (LGR S/N: 10957736, SEN S/N: 10957736)","Coupler Attached (LGR S/N: 10957736)","Stopped (LGR S/N: 10957736)","End Of File (LGR S/N: 10957736)"
1,07/07/16 11:00:00 AM,24.448,0.0,,,
2,07/07/16 11:10:00 AM,24.545,0.0,,,
3,07/07/16 11:20:00 AM,23.581,0.0,,,
4,07/07/16 11:30:00 AM,27.567,1808.3,,,
5,07/07/16 11:40:00 AM,30.862,204.5,,,
6,07/07/16 11:50:00 AM,32.911,49600.3,,,
7,07/07/16 12:00:00 PM,32.086,2755.6,,,
8,07/07/16 12:10:00 PM,32.188,4650.0,,,
9,07/07/16 12:20:00 PM,33.326,57867.0,,,
10,07/07/16 12:30:00 PM,33.639,79911.6,,,
11,07/07/16 12:40:00 PM,32.600,15844.5,,,
12,07/07/16 12:50:00 PM,32.600,49600.3,,,
13,07/07/16 01:00:00 PM,33.743,126756.4,,,
14,07/07/16 01:10:00 PM,33.848,26178.0,,,
15,07/07/16 01:20:00 PM,32.497,24800.2,,,
16,07/07/16 01:30:00 PM,33.118,55111.5,,,
17,07/07/16 01:40:00 PM,34.058,74400.5,,,
18,07/07/16 01:50:00 PM,33.953,85422.8,,,
19,07/07/16 02:00:00 PM,34.374,35822.5,,,
20,07/07/16 02:10:00 PM,34.268,104711.8,,,
21,07/07/16 02:20:00 PM,34.585,71644.9,,,
22,07/07/16 02:30:00 PM,34.585,187379.0,,,
23,07/07/16 02:40:00 PM,34.058,38578.0,,,
24,07/07/16 02:50:00 PM,34.585,170845.6,,,
25,07/07/16 03:00:00 PM,33.639,26178.0,,,
26,07/07/16 03:10:00 PM,34.268,37200.2,,,
27,07/07/16 03:20:00 PM,34.691,26178.0,,,
28,07/07/16 03:30:00 PM,35.222,49600.3,,,
29,07/07/16 03:40:00 PM,34.796,165334.4,,,
30,07/07/16 03:50:00 PM,33.953,19977.9,,,
31,07/07/16 04:00:00 PM,33.848,13777.9,,,
32,07/07/16 04:10:00 PM,33.743,11711.2,,,
33,07/07/16 04:20:00 PM,34.163,17911.2,,,
34,07/07/16 04:30:00 PM,34.268,17911.2,,,
35,07/07/16 04:40:00 PM,33.535,9644.5,,,
36,07/07/16 04:50:00 PM,33.848,37200.2,,,
37,07/07/16 05:00:00 PM,33.743,22044.6,,,
38,07/07/16 05:10:00 PM,33.639,12400.1,,,
39,07/07/16 05:20:00 PM,33.535,15844.5,,,
40,07/07/16 05:30:00 PM,33.118,5511.1,,,
41,07/07/16 05:40:00 PM,33.118,11022.3,,,
42,07/07/16 05:50:00 PM,33.014,8611.2,,,
43,07/07/16 06:00:00 PM,32.807,4994.5,,,
44,07/07/16 06:10:00 PM,32.497,2411.1,,,
45,07/07/16 06:20:00 PM,32.188,1550.0,,,
46,07/07/16 06:30:00 PM,31.983,1377.8,,,
47,07/07/16 06:40:00 PM,31.778,764.2,,,
48,07/07/16 06:50:00 PM,31.574,290.6,,,
49,07/07/16 07:00:00 PM,31.472,53.8,,,
50,07/07/16 07:10:00 PM,31.370,0.0,,,
51,07/07/16 07:20:00 PM,31.370,0.0,,,
52,07/07/16 07:30:00 PM,31.166,0.0,,,
53,07/07/16 07:40:00 PM,30.963,0.0,,,
54,07/07/16 07:50:00 PM,30.862,0.0,,,
55,07/07/16 08:00:00 PM,30.760,0.0,,,
56,07/07/16 08:10:00 PM,30.659,0.0,,,
57,07/07/16 08:20:00 PM,30.457,0.0,,,
58,07/07/16 08:30:00 PM,30.356,0.0,,,
59,07/07/16 08:40:00 PM,30.154,0.0,,,
60,07/07/16 08:50:00 PM,30.154,0.0,,,
61,07/07/16 09:00:00 PM,30.054,0.0,,,
62,07/07/16 09:10:00 PM,30.054,0.0,,,
63,07/07/16 09:20:00 PM,30.054,0.0,,,
64,07/07/16 09:30:00 PM,30.054,0.0,,,
65,07/07/16 09:40:00 PM,30.054,0.0,,,
66,07/07/16 09:50:00 PM,30.054,0.0,,,
67,07/07/16 10:00:00 PM,29.953,0.0,,,
68,07/07/16 10:10:00 PM,29.853,0.0,,,
69,07/07/16 10:20:00 PM,29.953,0.0,,,
70,07/07/16 10:30:00 PM,29.853,0.0,,,
71,07/07/16 10:40:00 PM,29.752,0.0,,,
72,07/07/16 10:50:00 PM,29.652,0.0,,,
73,07/07/16 11:00:00 PM,29.552,0.0,,,
74,07/07/16 11:10:00 PM,29.552,0.0,,,
75,07/07/16 11:20:00 PM,29.552,0.0,,,
76,07/07/16 11:30:00 PM,29.552,0.0,,,
77,07/07/16 11:40:00 PM,29.552,0.0,,,
78,07/07/16 11:50:00 PM,29.552,0.0,,,
79,07/08/16 12:00:00 AM,29.552,0.0,,,
80,07/08/16 12:10:00 AM,29.552,0.0,,,
81,07/08/16 12:20:00 AM,29.552,0.0,,,
82,07/08/16 12:30:00 AM,29.552,0.0,,,
83,07/08/16 12:40:00 AM,29.552,0.0,,,
84,07/08/16 12:50:00 AM,29.552,0.0,,,
85,07/08/16 01:00:00 AM,29.452,0.0,,,
86,07/08/16 01:10:00 AM,29.452,0.0,,,
87,07/08/16 01:20:00 AM,29.452,0.0,,,
88,07/08/16 01:30:00 AM,29.452,0.0,,,
89,07/08/16 01:40:00 AM,29.452,0.0,,,
90,07/08/16 01:50:00 AM,29.452,0.0,,,
91,07/08/16 02:00:00 AM,29.452,0.0,,,
92,07/08/16 02:10:00 AM,29.452,0.0,,,
93,07/08/16 02:20:00 AM,29.452,0.0,,,
94,07/08/16 02:30:00 AM,29.452,0.0,,,
95,07/08/16 02:40:00 AM,29.452,0.0,,,
96,07/08/16 02:50:00 AM,29.452,0.0,,,
97,07/08/16 03:00:00 AM,29.452,0.0,,,
98,07/08/16 03:10:00 AM,29.452,0.0,,,
99,07/08/16 03:20:00 AM,29.452,0.0,,,
100,07/08/16 03:30:00 AM,29.452,0.0,,,
101,07/08/16 03:40:00 AM,29.452,0.0,,,
102,07/08/16 03:50:00 AM,29.452,0.0,,,
103,07/08/16 04:00:00 AM,29.452,0.0,,,
104,07/08/16 04:10:00 AM,29.452,0.0,,,
105,07/08/16 04:20:00 AM,29.452,0.0,,,
106,07/08/16 04:30:00 AM,29.452,0.0,,,
107,07/08/16 04:40:00 AM,29.452,0.0,,,
108,07/08/16 04:50:00 AM,29.452,0.0,,,
109,07/08/16 05:00:00 AM,29.452,0.0,,,
110,07/08/16 05:10:00 AM,29.452,0.0,,,
111,07/08/16 05:20:00 AM,29.452,0.0,,,
112,07/08/16 05:30:00 AM,29.452,0.0,,,
113,07/08/16 05:40:00 AM,29.452,0.0,,,
114,07/08/16 05:50:00 AM,29.452,21.5,,,
115,07/08/16 06:00:00 AM,29.452,215.3,,,
116,07/08/16 06:10:00 AM,29.452,527.4,,,
117,07/08/16 06:20:00 AM,29.452,850.4,,,
118,07/08/16 06:30:00 AM,29.452,1377.8,,,
119,07/08/16 06:40:00 AM,29.452,1894.5,,,
120,07/08/16 06:50:00 AM,29.552,2497.2,,,
