"Plot Title: 10957736_Agat"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 10957736, SEN S/N: 10957736)","Intensity, Lux (LGR S/N: 10957736, SEN S/N: 10957736)","Coupler Attached (LGR S/N: 10957736)","Coupler Detached (LGR S/N: 10957736)","Stopped (LGR S/N: 10957736)","End Of File (LGR S/N: 10957736)"
1,09/13/16 01:30:00 PM,30.760,24800.2,,,,
2,09/13/16 01:40:00 PM,31.880,11022.3,,,,
3,09/13/16 01:50:00 PM,31.983,10333.4,,,,
4,09/13/16 02:00:00 PM,31.983,9644.5,,,,
5,09/13/16 02:10:00 PM,31.983,11022.3,,,,
6,09/13/16 02:20:00 PM,32.086,12400.1,,,,
7,09/13/16 02:30:00 PM,32.086,12400.1,,,,
8,09/13/16 02:40:00 PM,32.086,14466.8,,,,
9,09/13/16 02:50:00 PM,32.394,24800.2,,,,
10,09/13/16 03:00:00 PM,32.807,35822.5,,,,
11,09/13/16 03:10:00 PM,32.807,38578.0,,,,
12,09/13/16 03:20:00 PM,33.014,33066.9,,,,
13,09/13/16 03:30:00 PM,32.911,28933.5,,,,
14,09/13/16 03:40:00 PM,32.497,14466.8,,,,
15,09/13/16 03:50:00 PM,32.497,11022.3,,,,
16,09/13/16 04:00:00 PM,32.188,7233.4,,,,
17,09/13/16 04:10:00 PM,32.291,8266.7,,,,
18,09/13/16 04:20:00 PM,32.291,8266.7,,,,
19,09/13/16 04:30:00 PM,32.188,5166.7,,,,
20,09/13/16 04:40:00 PM,32.188,5511.1,,,,
21,09/13/16 04:50:00 PM,32.086,4477.8,,,,
22,09/13/16 05:00:00 PM,32.086,4477.8,,,,
23,09/13/16 05:10:00 PM,32.086,3616.7,,,,
24,09/13/16 05:20:00 PM,31.983,3100.0,,,,
25,09/13/16 05:30:00 PM,31.880,2669.5,,,,
26,09/13/16 05:40:00 PM,31.778,2152.8,,,,
27,09/13/16 05:50:00 PM,31.574,1463.9,,,,
28,09/13/16 06:00:00 PM,31.472,947.2,,,,
29,09/13/16 06:10:00 PM,31.268,366.0,,,,
30,09/13/16 06:20:00 PM,31.064,21.5,,,,
31,09/13/16 06:30:00 PM,30.963,0.0,,,,
32,09/13/16 06:40:00 PM,30.862,0.0,,,,
33,09/13/16 06:50:00 PM,30.963,0.0,,,,
34,09/13/16 07:00:00 PM,30.963,0.0,,,,
35,09/13/16 07:10:00 PM,31.064,0.0,,,,
36,09/13/16 07:20:00 PM,31.064,0.0,,,,
37,09/13/16 07:30:00 PM,30.963,0.0,,,,
38,09/13/16 07:40:00 PM,30.862,0.0,,,,
39,09/13/16 07:50:00 PM,30.862,0.0,,,,
40,09/13/16 08:00:00 PM,30.862,0.0,,,,
41,09/13/16 08:10:00 PM,30.760,0.0,,,,
42,09/13/16 08:20:00 PM,30.760,0.0,,,,
43,09/13/16 08:30:00 PM,30.659,0.0,,,,
44,09/13/16 08:40:00 PM,30.558,0.0,,,,
45,09/13/16 08:50:00 PM,30.356,0.0,,,,
46,09/13/16 09:00:00 PM,30.255,0.0,,,,
47,09/13/16 09:10:00 PM,30.255,0.0,,,,
48,09/13/16 09:20:00 PM,30.154,0.0,,,,
49,09/13/16 09:30:00 PM,30.154,0.0,,,,
50,09/13/16 09:40:00 PM,30.154,0.0,,,,
51,09/13/16 09:50:00 PM,30.154,0.0,,,,
52,09/13/16 10:00:00 PM,30.154,0.0,,,,
53,09/13/16 10:10:00 PM,30.054,0.0,,,,
54,09/13/16 10:20:00 PM,29.953,0.0,,,,
55,09/13/16 10:30:00 PM,29.853,0.0,,,,
56,09/13/16 10:40:00 PM,29.752,0.0,,,,
57,09/13/16 10:50:00 PM,29.752,0.0,,,,
58,09/13/16 11:00:00 PM,29.652,0.0,,,,
59,09/13/16 11:10:00 PM,29.552,0.0,,,,
60,09/13/16 11:20:00 PM,29.552,0.0,,,,
61,09/13/16 11:30:00 PM,29.552,0.0,,,,
62,09/13/16 11:40:00 PM,29.552,0.0,,,,
63,09/13/16 11:50:00 PM,29.452,0.0,,,,
64,09/14/16 12:00:00 AM,29.452,0.0,,,,
65,09/14/16 12:10:00 AM,29.352,0.0,,,,
66,09/14/16 12:20:00 AM,29.352,0.0,,,,
67,09/14/16 12:30:00 AM,29.252,0.0,,,,
68,09/14/16 12:40:00 AM,29.352,0.0,,,,
69,09/14/16 12:50:00 AM,29.352,0.0,,,,
70,09/14/16 01:00:00 AM,29.352,0.0,,,,
71,09/14/16 01:10:00 AM,29.252,0.0,,,,
72,09/14/16 01:20:00 AM,29.252,0.0,,,,
73,09/14/16 01:30:00 AM,29.252,0.0,,,,
74,09/14/16 01:40:00 AM,29.252,0.0,,,,
75,09/14/16 01:50:00 AM,29.252,0.0,,,,
76,09/14/16 02:00:00 AM,29.252,0.0,,,,
77,09/14/16 02:10:00 AM,29.252,0.0,,,,
78,09/14/16 02:20:00 AM,29.352,0.0,,,,
79,09/14/16 02:30:00 AM,29.252,0.0,,,,
80,09/14/16 02:40:00 AM,29.252,0.0,,,,
81,09/14/16 02:50:00 AM,29.252,0.0,,,,
82,09/14/16 03:00:00 AM,29.252,0.0,,,,
83,09/14/16 03:10:00 AM,29.252,0.0,,,,
84,09/14/16 03:20:00 AM,29.252,0.0,,,,
85,09/14/16 03:30:00 AM,29.252,0.0,,,,
86,09/14/16 03:40:00 AM,29.252,0.0,,,,
87,09/14/16 03:50:00 AM,29.252,0.0,,,,
88,09/14/16 04:00:00 AM,29.252,0.0,,,,
89,09/14/16 04:10:00 AM,29.252,0.0,,,,
90,09/14/16 04:20:00 AM,29.252,0.0,,,,
91,09/14/16 04:30:00 AM,29.252,0.0,,,,
92,09/14/16 04:40:00 AM,29.252,0.0,,,,
93,09/14/16 04:50:00 AM,29.252,0.0,,,,
94,09/14/16 05:00:00 AM,29.152,0.0,,,,
95,09/14/16 05:10:00 AM,29.152,0.0,,,,
96,09/14/16 05:20:00 AM,29.152,0.0,,,,
97,09/14/16 05:30:00 AM,29.152,0.0,,,,
98,09/14/16 05:40:00 AM,29.053,0.0,,,,
99,09/14/16 05:50:00 AM,29.053,0.0,,,,
100,09/14/16 06:00:00 AM,29.152,0.0,,,,
101,09/14/16 06:10:00 AM,29.152,75.3,,,,
102,09/14/16 06:20:00 AM,29.152,366.0,,,,
103,09/14/16 06:30:00 AM,29.252,731.9,,,,
104,09/14/16 06:40:00 AM,29.252,1377.8,,,,
105,09/14/16 06:50:00 AM,29.252,1377.8,,,,
106,09/14/16 07:00:00 AM,29.252,1980.6,,,,
107,09/14/16 07:10:00 AM,29.252,2583.4,,,,
108,09/14/16 07:20:00 AM,29.352,4650.0,,,,
109,09/14/16 07:30:00 AM,29.352,5511.1,,,,
110,09/14/16 07:40:00 AM,29.452,7577.8,,,,
111,09/14/16 07:50:00 AM,29.552,9300.1,,,,
112,09/14/16 08:00:00 AM,29.652,11022.3,,,,
113,09/14/16 08:10:00 AM,29.752,14466.8,,,,
114,09/14/16 08:20:00 AM,29.752,16533.4,,,,
115,09/14/16 08:30:00 AM,29.853,16533.4,,,,
116,09/14/16 08:40:00 AM,29.853,15844.5,,,,
117,09/14/16 08:50:00 AM,29.853,14466.8,,,,
118,09/14/16 09:00:00 AM,29.953,14466.8,,,,
119,09/14/16 09:10:00 AM,30.154,19977.9,,,,
120,09/14/16 09:20:00 AM,30.054,14466.8,,,,
121,09/14/16 09:30:00 AM,30.457,42711.4,,,,
122,09/14/16 09:40:00 AM,30.457,34444.7,,,,
123,09/14/16 09:50:00 AM,30.862,46844.8,,,,
124,09/14/16 10:00:00 AM,31.166,49600.3,,,,
125,09/14/16 10:10:00 AM,30.862,30311.3,,,,
126,09/14/16 10:20:00 AM,30.659,20666.8,,,,
127,09/14/16 10:30:00 AM,30.558,21355.7,,,,
128,09/14/16 10:40:00 AM,31.268,20666.8,,,,
129,09/14/16 10:50:00 AM,31.064,31689.1,,,,
130,09/14/16 11:00:00 AM,30.760,14466.8,,,,
131,09/14/16 11:10:00 AM,31.472,63378.2,,,,
132,09/14/16 11:20:00 AM,31.880,33066.9,,,,
133,09/14/16 11:30:00 AM,32.188,33066.9,,,,
134,09/14/16 11:40:00 AM,32.704,110223.0,,,,
135,09/14/16 11:50:00 AM,32.394,49600.3,,,,
136,09/14/16 12:00:00 PM,32.497,85422.8,,,,
137,09/14/16 12:10:00 PM,32.394,27555.7,,,,
138,09/14/16 12:20:00 PM,32.394,39955.8,,,,
139,09/14/16 12:30:00 PM,32.911,26178.0,,,,
140,09/14/16 12:40:00 PM,32.188,28933.5,,,,
141,09/14/16 12:50:00 PM,31.778,17911.2,,,,
142,09/14/16 01:00:00 PM,31.983,49600.3,,,,
143,09/14/16 01:10:00 PM,31.778,10333.4,,,,
144,09/14/16 01:20:00 PM,31.778,63378.2,,,,
145,09/14/16 01:30:00 PM,31.370,3788.9,,,,
146,09/14/16 01:40:00 PM,31.370,8266.7,,,,
147,09/14/16 01:50:00 PM,31.268,7577.8,,,,
148,09/14/16 02:00:00 PM,31.268,4994.5,,,,
149,09/14/16 02:10:00 PM,31.268,3616.7,,,,
150,09/14/16 02:20:00 PM,31.370,4994.5,,,,
151,09/14/16 02:30:00 PM,31.472,4994.5,,,,
152,09/14/16 02:40:00 PM,31.370,5166.7,,,,
153,09/14/16 02:50:00 PM,31.268,5511.1,,,,
154,09/14/16 03:00:00 PM,31.166,6200.0,,,,
155,09/14/16 03:10:00 PM,31.064,5166.7,,,,
156,09/14/16 03:20:00 PM,31.064,5338.9,,,,
157,09/14/16 03:30:00 PM,30.963,5166.7,,,,
158,09/14/16 03:40:00 PM,30.963,5511.1,,,,
159,09/14/16 03:50:00 PM,30.963,5511.1,,,,
160,09/14/16 04:00:00 PM,31.064,7233.4,,,,
161,09/14/16 04:10:00 PM,31.064,7233.4,,,,
162,09/14/16 04:20:00 PM,31.064,7233.4,,,,
163,09/14/16 04:30:00 PM,31.064,7233.4,,,,
164,09/14/16 04:40:00 PM,31.064,6544.5,,,,
165,09/14/16 04:50:00 PM,30.963,6200.0,,,,
166,09/14/16 05:00:00 PM,30.963,5166.7,,,,
167,09/14/16 05:10:00 PM,30.862,4650.0,,,,
168,09/14/16 05:20:00 PM,30.760,3788.9,,,,
169,09/14/16 05:30:00 PM,30.659,2755.6,,,,
170,09/14/16 05:40:00 PM,30.558,1636.1,,,,
171,09/14/16 05:50:00 PM,30.457,1550.0,,,,
172,09/14/16 06:00:00 PM,30.356,419.8,,,,
173,09/14/16 06:10:00 PM,30.054,269.1,,,,
174,09/14/16 06:20:00 PM,29.953,96.9,,,,
175,09/14/16 06:30:00 PM,29.953,10.8,,,,
176,09/14/16 06:40:00 PM,29.752,0.0,,,,
177,09/14/16 06:50:00 PM,29.752,0.0,,,,
178,09/14/16 07:00:00 PM,29.652,0.0,,,,
179,09/14/16 07:10:00 PM,29.652,0.0,,,,
180,09/14/16 07:20:00 PM,29.652,0.0,,,,
181,09/14/16 07:30:00 PM,29.652,0.0,,,,
182,09/14/16 07:40:00 PM,29.652,0.0,,,,
183,09/14/16 07:50:00 PM,29.652,0.0,,,,
184,09/14/16 08:00:00 PM,29.652,0.0,,,,
185,09/14/16 08:10:00 PM,29.652,0.0,,,,
186,09/14/16 08:20:00 PM,29.752,0.0,,,,
187,09/14/16 08:30:00 PM,29.752,0.0,,,,
188,09/14/16 08:40:00 PM,29.752,0.0,,,,
189,09/14/16 08:50:00 PM,29.752,0.0,,,,
190,09/14/16 09:00:00 PM,29.652,0.0,,,,
191,09/14/16 09:10:00 PM,29.752,0.0,,,,
192,09/14/16 09:20:00 PM,29.752,0.0,,,,
193,09/14/16 09:30:00 PM,29.853,0.0,,,,
194,09/14/16 09:40:00 PM,29.853,0.0,,,,
195,09/14/16 09:50:00 PM,29.853,0.0,,,,
196,09/14/16 10:00:00 PM,29.853,0.0,,,,
197,09/14/16 10:10:00 PM,29.853,0.0,,,,
198,09/14/16 10:20:00 PM,29.853,0.0,,,,
199,09/14/16 10:30:00 PM,29.752,0.0,,,,
200,09/14/16 10:40:00 PM,29.752,0.0,,,,
201,09/14/16 10:50:00 PM,29.752,0.0,,,,
202,09/14/16 11:00:00 PM,29.752,0.0,,,,
203,09/14/16 11:10:00 PM,29.752,0.0,,,,
204,09/14/16 11:20:00 PM,29.752,0.0,,,,
205,09/14/16 11:30:00 PM,29.652,0.0,,,,
206,09/14/16 11:40:00 PM,29.552,0.0,,,,
207,09/14/16 11:50:00 PM,29.452,0.0,,,,
208,09/15/16 12:00:00 AM,29.452,0.0,,,,
209,09/15/16 12:10:00 AM,29.352,0.0,,,,
210,09/15/16 12:20:00 AM,29.352,0.0,,,,
211,09/15/16 12:30:00 AM,29.252,0.0,,,,
212,09/15/16 12:40:00 AM,29.152,0.0,,,,
213,09/15/16 12:50:00 AM,29.053,0.0,,,,
214,09/15/16 01:00:00 AM,29.053,0.0,,,,
215,09/15/16 01:10:00 AM,28.953,0.0,,,,
