"Plot Title: 10994954_Agat_light"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 10994954, SEN S/N: 10994954)","Intensity, Lux (LGR S/N: 10994954, SEN S/N: 10994954)","Coupler Attached (LGR S/N: 10994954)","Coupler Detached (LGR S/N: 10994954)","Stopped (LGR S/N: 10994954)","End Of File (LGR S/N: 10994954)"
1,04/25/17 10:00:00 AM,28.655,18600.1,,,,
2,04/25/17 10:05:58 AM,,,Logged,,,
3,04/25/17 10:06:10 AM,,,,Logged,,
4,04/25/17 10:06:52 AM,,,Logged,,,
5,04/25/17 10:06:53 AM,,,,Logged,,
6,04/25/17 10:10:00 AM,29.053,3272.2,,,,
7,04/25/17 10:20:00 AM,29.652,10677.8,,,,
8,04/25/17 10:30:00 AM,28.456,86.1,,,,
9,04/25/17 10:40:00 AM,29.252,1345.5,,,,
10,04/25/17 10:50:00 AM,29.452,226.0,,,,
11,04/25/17 11:00:00 AM,29.452,699.7,,,,
12,04/25/17 11:10:00 AM,29.152,0.0,,,,
13,04/25/17 11:20:00 AM,28.655,0.0,,,,
14,04/25/17 11:30:00 AM,28.456,602.8,,,,
15,04/25/17 11:40:00 AM,28.754,118.4,,,,
16,04/25/17 11:50:00 AM,30.255,75.3,,,,
17,04/25/17 12:00:00 PM,30.659,64.6,,,,
18,04/25/17 12:08:16 PM,,,Logged,,,
19,04/25/17 12:08:17 PM,,,,Logged,,
20,04/25/17 12:10:00 PM,30.356,37200.2,,,,
21,04/25/17 12:20:00 PM,31.778,55111.5,,,,
22,04/25/17 12:30:00 PM,32.291,37200.2,,,,
23,04/25/17 12:40:00 PM,31.983,34444.7,,,,
24,04/25/17 12:50:00 PM,31.676,27555.7,,,,
25,04/25/17 01:00:00 PM,31.166,9300.1,,,,
26,04/25/17 01:10:00 PM,31.064,8266.7,,,,
27,04/25/17 01:20:00 PM,31.166,10677.8,,,,
28,04/25/17 01:30:00 PM,30.963,10677.8,,,,
29,04/25/17 01:40:00 PM,30.862,14466.8,,,,
30,04/25/17 01:50:00 PM,30.558,18600.1,,,,
31,04/25/17 02:00:00 PM,30.255,18600.1,,,,
32,04/25/17 02:10:00 PM,30.054,17911.2,,,,
33,04/25/17 02:20:00 PM,29.953,20666.8,,,,
34,04/25/17 02:30:00 PM,29.953,23422.4,,,,
35,04/25/17 02:40:00 PM,29.953,23422.4,,,,
36,04/25/17 02:50:00 PM,30.054,26178.0,,,,
37,04/25/17 03:00:00 PM,30.356,34444.7,,,,
38,04/25/17 03:10:00 PM,29.752,9300.1,,,,
39,04/25/17 03:20:00 PM,29.853,20666.8,,,,
40,04/25/17 03:30:00 PM,30.356,34444.7,,,,
41,04/25/17 03:40:00 PM,30.154,24800.2,,,,
42,04/25/17 03:50:00 PM,30.054,22044.6,,,,
43,04/25/17 04:00:00 PM,30.054,19289.0,,,,
44,04/25/17 04:10:00 PM,30.154,24800.2,,,,
45,04/25/17 04:20:00 PM,29.953,17911.2,,,,
46,04/25/17 04:30:00 PM,29.853,11022.3,,,,
47,04/25/17 04:40:00 PM,29.853,10333.4,,,,
48,04/25/17 04:50:00 PM,29.652,6544.5,,,,
49,04/25/17 05:00:00 PM,29.552,5166.7,,,,
50,04/25/17 05:10:00 PM,29.552,4305.6,,,,
51,04/25/17 05:20:00 PM,29.452,2583.4,,,,
52,04/25/17 05:30:00 PM,29.352,936.5,,,,
53,04/25/17 05:40:00 PM,29.352,688.9,,,,
54,04/25/17 05:50:00 PM,29.252,505.9,,,,
55,04/25/17 06:00:00 PM,29.252,333.7,,,,
56,04/25/17 06:10:00 PM,29.252,236.8,,,,
57,04/25/17 06:20:00 PM,29.152,64.6,,,,
58,04/25/17 06:30:00 PM,29.152,10.8,,,,
59,04/25/17 06:40:00 PM,29.152,0.0,,,,
60,04/25/17 06:50:00 PM,29.053,0.0,,,,
61,04/25/17 07:00:00 PM,29.053,0.0,,,,
62,04/25/17 07:10:00 PM,29.152,0.0,,,,
63,04/25/17 07:20:00 PM,29.152,0.0,,,,
64,04/25/17 07:30:00 PM,29.152,0.0,,,,
65,04/25/17 07:40:00 PM,29.152,0.0,,,,
66,04/25/17 07:50:00 PM,29.152,0.0,,,,
67,04/25/17 08:00:00 PM,29.152,0.0,,,,
68,04/25/17 08:10:00 PM,29.152,0.0,,,,
69,04/25/17 08:20:00 PM,29.152,0.0,,,,
70,04/25/17 08:30:00 PM,29.152,0.0,,,,
71,04/25/17 08:40:00 PM,29.053,0.0,,,,
72,04/25/17 08:50:00 PM,29.053,0.0,,,,
73,04/25/17 09:00:00 PM,29.053,0.0,,,,
74,04/25/17 09:10:00 PM,29.053,0.0,,,,
75,04/25/17 09:20:00 PM,29.053,0.0,,,,
76,04/25/17 09:30:00 PM,29.053,0.0,,,,
77,04/25/17 09:40:00 PM,29.053,0.0,,,,
78,04/25/17 09:50:00 PM,29.053,0.0,,,,
79,04/25/17 10:00:00 PM,29.053,0.0,,,,
80,04/25/17 10:10:00 PM,29.053,0.0,,,,
81,04/25/17 10:20:00 PM,29.053,0.0,,,,
82,04/25/17 10:30:00 PM,28.953,0.0,,,,
83,04/25/17 10:40:00 PM,28.953,0.0,,,,
84,04/25/17 10:50:00 PM,28.953,0.0,,,,
85,04/25/17 11:00:00 PM,28.953,0.0,,,,
86,04/25/17 11:10:00 PM,28.953,0.0,,,,
87,04/25/17 11:20:00 PM,28.953,0.0,,,,
88,04/25/17 11:30:00 PM,29.053,0.0,,,,
89,04/25/17 11:40:00 PM,29.053,0.0,,,,
90,04/25/17 11:50:00 PM,29.053,0.0,,,,
91,04/26/17 12:00:00 AM,29.053,0.0,,,,
92,04/26/17 12:10:00 AM,29.053,0.0,,,,
93,04/26/17 12:20:00 AM,28.853,0.0,,,,
94,04/26/17 12:30:00 AM,28.754,0.0,,,,
95,04/26/17 12:40:00 AM,28.754,0.0,,,,
96,04/26/17 12:50:00 AM,28.754,0.0,,,,
97,04/26/17 01:00:00 AM,28.754,0.0,,,,
98,04/26/17 01:10:00 AM,28.754,0.0,,,,
99,04/26/17 01:20:00 AM,28.754,0.0,,,,
100,04/26/17 01:30:00 AM,28.754,0.0,,,,
101,04/26/17 01:40:00 AM,28.754,0.0,,,,
102,04/26/17 01:50:00 AM,28.754,0.0,,,,
103,04/26/17 02:00:00 AM,28.754,0.0,,,,
104,04/26/17 02:10:00 AM,28.655,0.0,,,,
105,04/26/17 02:20:00 AM,28.655,0.0,,,,
106,04/26/17 02:30:00 AM,28.655,0.0,,,,
107,04/26/17 02:40:00 AM,28.655,0.0,,,,
108,04/26/17 02:50:00 AM,28.655,0.0,,,,
109,04/26/17 03:00:00 AM,28.655,0.0,,,,
110,04/26/17 03:10:00 AM,28.754,0.0,,,,
111,04/26/17 03:20:00 AM,28.754,0.0,,,,
112,04/26/17 03:30:00 AM,28.754,0.0,,,,
113,04/26/17 03:40:00 AM,28.853,0.0,,,,
114,04/26/17 03:50:00 AM,28.853,0.0,,,,
115,04/26/17 04:00:00 AM,28.853,0.0,,,,
116,04/26/17 04:10:00 AM,28.853,0.0,,,,
117,04/26/17 04:20:00 AM,28.953,0.0,,,,
118,04/26/17 04:30:00 AM,28.953,0.0,,,,
119,04/26/17 04:40:00 AM,28.953,0.0,,,,
120,04/26/17 04:50:00 AM,28.953,0.0,,,,
121,04/26/17 05:00:00 AM,28.953,0.0,,,,
122,04/26/17 05:10:00 AM,28.953,0.0,,,,
123,04/26/17 05:20:00 AM,28.953,0.0,,,,
124,04/26/17 05:30:00 AM,28.953,0.0,,,,
125,04/26/17 05:40:00 AM,28.953,0.0,,,,
126,04/26/17 05:50:00 AM,28.953,0.0,,,,
127,04/26/17 06:00:00 AM,29.053,0.0,,,,
128,04/26/17 06:10:00 AM,29.053,53.8,,,,
129,04/26/17 06:20:00 AM,29.053,301.4,,,,
130,04/26/17 06:30:00 AM,29.053,527.4,,,,
131,04/26/17 06:40:00 AM,29.053,828.8,,,,
132,04/26/17 06:50:00 AM,29.053,990.3,,,,
133,04/26/17 07:00:00 AM,29.053,1237.9,,,,
134,04/26/17 07:10:00 AM,29.053,1550.0,,,,
135,04/26/17 07:20:00 AM,29.053,2152.8,,,,
136,04/26/17 07:30:00 AM,29.152,2669.5,,,,
137,04/26/17 07:40:00 AM,29.152,3272.2,,,,
138,04/26/17 07:50:00 AM,29.152,3788.9,,,,
139,04/26/17 08:00:00 AM,29.152,4650.0,,,,
140,04/26/17 08:10:00 AM,29.252,6200.0,,,,
141,04/26/17 08:20:00 AM,29.252,6200.0,,,,
142,04/26/17 08:30:00 AM,29.252,6544.5,,,,
143,04/26/17 08:40:00 AM,29.352,5511.1,,,,
144,04/26/17 08:50:00 AM,29.252,4477.8,,,,
145,04/26/17 09:00:00 AM,29.152,3788.9,,,,
146,04/26/17 09:10:00 AM,29.053,4133.4,,,,
147,04/26/17 09:20:00 AM,28.953,4650.0,,,,
148,04/26/17 09:30:00 AM,28.953,5166.7,,,,
149,04/26/17 09:40:00 AM,29.053,8266.7,,,,
150,04/26/17 09:50:00 AM,29.053,8611.2,,,,
151,04/26/17 10:00:00 AM,29.053,6544.5,,,,
152,04/26/17 10:10:00 AM,29.053,8266.7,,,,
153,04/26/17 10:20:00 AM,29.053,9644.5,,,,
154,04/26/17 10:30:00 AM,29.252,15844.5,,,,
155,04/26/17 10:40:00 AM,29.652,31689.1,,,,
156,04/26/17 10:50:00 AM,30.356,77156.1,,,,
157,04/26/17 11:00:00 AM,30.356,57867.0,,,,
158,04/26/17 11:10:00 AM,30.457,27555.7,,,,
159,04/26/17 11:20:00 AM,30.760,63378.2,,,,
160,04/26/17 11:30:00 AM,31.064,46844.8,,,,
161,04/26/17 11:40:00 AM,30.659,28933.5,,,,
162,04/26/17 11:50:00 AM,30.457,10333.4,,,,
