Plot Title: Agat LL (20154265),,,,,,,
#,"Date Time, GMT+10:00","Temp, °C (LGR S/N: 20154265, SEN S/N: 20154265)","Intensity, Lux (LGR S/N: 20154265, SEN S/N: 20154265)",Coupler Attached (LGR S/N: 20154265),Coupler Detached (LGR S/N: 20154265),Stopped (LGR S/N: 20154265),End Of File (LGR S/N: 20154265)
1,12/4/2017 10:00,24.255,0,,,,
2,12/4/2017 10:10,24.158,0,,,,
3,12/4/2017 10:20,24.158,0,,,,
4,12/4/2017 10:30,24.255,183,,,,
5,12/4/2017 10:40,28.357,850.4,,,,
6,12/4/2017 10:50,29.352,1291.7,,,,
7,12/4/2017 11:00,29.452,2927.8,,,,
8,12/4/2017 11:10,29.953,15844.5,,,,
9,12/4/2017 11:20,30.255,22044.6,,,,
10,12/4/2017 11:30,29.953,17911.2,,,,
11,12/4/2017 11:40,29.953,20666.8,,,,
12,12/4/2017 11:50,29.953,22044.6,,,,
13,12/4/2017 12:00,30.356,79911.6,,,,
14,12/4/2017 12:10,30.255,10333.4,,,,
15,12/4/2017 12:20,30.054,55111.5,,,,
16,12/4/2017 12:30,30.054,14466.8,,,,
17,12/4/2017 12:40,30.054,11022.3,,,,
18,12/4/2017 12:50,29.752,12400.1,,,,
19,12/4/2017 13:00,29.752,14466.8,,,,
20,12/4/2017 13:10,29.652,10333.4,,,,
21,12/4/2017 13:20,29.652,15844.5,,,,
22,12/4/2017 13:30,29.452,11711.2,,,,
23,12/4/2017 13:40,29.452,11711.2,,,,
24,12/4/2017 13:50,29.652,15155.7,,,,
25,12/4/2017 14:00,29.953,28933.5,,,,
26,12/4/2017 14:10,30.054,37200.2,,,,
27,12/4/2017 14:20,30.154,22044.6,,,,
28,12/4/2017 14:30,30.154,34444.7,,,,
29,12/4/2017 14:40,30.255,16533.4,,,,
30,12/4/2017 14:50,30.054,10677.8,,,,
31,12/4/2017 15:00,30.255,15844.5,,,,
32,12/4/2017 15:10,30.255,44089.2,,,,
33,12/4/2017 15:20,29.853,11022.3,,,,
34,12/4/2017 15:30,29.752,7233.4,,,,
35,12/4/2017 15:40,29.752,4477.8,,,,
36,12/4/2017 15:50,29.853,17911.2,,,,
37,12/4/2017 16:00,29.853,12400.1,,,,
38,12/4/2017 16:10,29.752,10677.8,,,,
39,12/4/2017 16:20,29.752,4650,,,,
40,12/4/2017 16:30,29.652,4477.8,,,,
41,12/4/2017 16:40,29.652,5338.9,,,,
42,12/4/2017 16:50,29.552,4822.3,,,,
43,12/4/2017 17:00,29.552,3272.2,,,,
44,12/4/2017 17:10,29.452,1980.6,,,,
45,12/4/2017 17:20,29.452,1377.8,,,,
46,12/4/2017 17:30,29.352,785.8,,,,
47,12/4/2017 17:40,29.352,355.2,,,,
48,12/4/2017 17:50,29.352,150.7,,,,
49,12/4/2017 18:00,29.352,21.5,,,,
50,12/4/2017 18:10,29.352,0,,,,
51,12/4/2017 18:20,29.352,0,,,,
52,12/4/2017 18:30,29.352,0,,,,
53,12/4/2017 18:40,29.352,0,,,,
