"Plot Title: Agat LL (20154265)"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 20154265, SEN S/N: 20154265)","Intensity, Lux (LGR S/N: 20154265, SEN S/N: 20154265)","Coupler Attached (LGR S/N: 20154265)","Stopped (LGR S/N: 20154265)","End Of File (LGR S/N: 20154265)"
1,06/14/18 12:10:00 PM,31.370,37200.2,,,
2,06/14/18 12:20:00 PM,31.676,30311.3,,,
3,06/14/18 12:30:00 PM,31.778,30311.3,,,
4,06/14/18 12:40:00 PM,32.086,57867.0,,,
5,06/14/18 12:50:00 PM,31.983,28933.5,,,
6,06/14/18 01:00:00 PM,31.778,24800.2,,,
7,06/14/18 01:10:00 PM,31.880,30311.3,,,
8,06/14/18 01:20:00 PM,32.188,41333.6,,,
9,06/14/18 01:30:00 PM,32.394,46844.8,,,
10,06/14/18 01:40:00 PM,33.326,68889.3,,,
11,06/14/18 01:50:00 PM,33.118,110223.0,,,
12,06/14/18 02:00:00 PM,32.807,42711.4,,,
13,06/14/18 02:10:00 PM,32.704,31689.1,,,
14,06/14/18 02:20:00 PM,33.743,79911.6,,,
15,06/14/18 02:30:00 PM,34.479,79911.6,,,
16,06/14/18 02:40:00 PM,33.639,60622.6,,,
17,06/14/18 02:50:00 PM,33.118,19977.9,,,
18,06/14/18 03:00:00 PM,32.704,14466.8,,,
19,06/14/18 03:10:00 PM,32.704,8611.2,,,
20,06/14/18 03:20:00 PM,32.807,15844.5,,,
21,06/14/18 03:30:00 PM,32.704,20666.8,,,
22,06/14/18 03:40:00 PM,32.704,23422.4,,,
23,06/14/18 03:50:00 PM,33.014,23422.4,,,
24,06/14/18 04:00:00 PM,32.704,13777.9,,,
25,06/14/18 04:10:00 PM,32.600,14466.8,,,
26,06/14/18 04:20:00 PM,32.394,16533.4,,,
27,06/14/18 04:30:00 PM,32.291,13777.9,,,
28,06/14/18 04:40:00 PM,31.778,9300.1,,,
29,06/14/18 04:50:00 PM,31.370,7577.8,,,
30,06/14/18 05:00:00 PM,31.064,6544.5,,,
31,06/14/18 05:10:00 PM,31.064,4133.4,,,
32,06/14/18 05:20:00 PM,31.166,3961.1,,,
