"Plot Title: 10932527_brick8"
"#","Date Time, GMT+10:00","Abs Pres, kPa (LGR S/N: 10932527, SEN S/N: 10932527, LBL: Abs pressure brick8)","Temp, °C (LGR S/N: 10932527, SEN S/N: 10932527, LBL: Temp brick8)","Coupler Detached (LGR S/N: 10932527)","Coupler Attached (LGR S/N: 10932527)","Stopped (LGR S/N: 10932527)","End Of File (LGR S/N: 10932527)"
1,08/09/17 11:50:00 AM,111.959,31.166,Logged,,,
2,08/09/17 12:00:00 PM,111.610,31.370,,,,
3,08/09/17 12:10:00 PM,111.604,31.472,,,,
4,08/09/17 12:20:00 PM,111.426,31.472,,,,
5,08/09/17 12:30:00 PM,111.023,31.574,,,,
6,08/09/17 12:40:00 PM,110.974,31.574,,,,
7,08/09/17 12:50:00 PM,110.938,31.676,,,,
8,08/09/17 01:00:00 PM,110.575,31.778,,,,
9,08/09/17 01:10:00 PM,110.074,31.880,,,,
10,08/09/17 01:20:00 PM,109.857,31.880,,,,
11,08/09/17 01:30:00 PM,109.484,31.983,,,,
12,08/09/17 01:40:00 PM,109.696,32.086,,,,
13,08/09/17 01:50:00 PM,109.221,32.086,,,,
14,08/09/17 02:00:00 PM,109.383,32.188,,,,
15,08/09/17 02:10:00 PM,109.119,32.291,,,,
16,08/09/17 02:20:00 PM,109.119,32.291,,,,
17,08/09/17 02:30:00 PM,109.093,32.394,,,,
18,08/09/17 02:40:00 PM,108.984,32.394,,,,
19,08/09/17 02:50:00 PM,109.126,32.497,,,,
20,08/09/17 03:00:00 PM,109.087,32.497,,,,
21,08/09/17 03:10:00 PM,109.225,32.497,,,,
22,08/09/17 03:20:00 PM,109.018,32.497,,,,
23,08/09/17 03:30:00 PM,109.126,32.497,,,,
24,08/09/17 03:40:00 PM,109.285,32.497,,,,
25,08/09/17 03:50:00 PM,109.413,32.497,,,,
26,08/09/17 04:00:00 PM,109.548,32.394,,,,
27,08/09/17 04:10:00 PM,109.568,32.394,,,,
28,08/09/17 04:20:00 PM,109.792,32.291,,,,
29,08/09/17 04:30:00 PM,109.910,32.291,,,,
30,08/09/17 04:40:00 PM,109.956,32.188,,,,
31,08/09/17 04:50:00 PM,110.206,31.983,,,,
32,08/09/17 05:00:00 PM,110.315,31.983,,,,
33,08/09/17 05:10:00 PM,110.430,31.880,,,,
34,08/09/17 05:20:00 PM,110.823,31.778,,,,
35,08/09/17 05:30:00 PM,111.245,31.676,,,,
36,08/09/17 05:40:00 PM,111.548,31.574,,,,
37,08/09/17 05:50:00 PM,111.683,31.472,,,,
38,08/09/17 06:00:00 PM,112.095,31.370,,,,
39,08/09/17 06:10:00 PM,112.448,31.268,,,,
40,08/09/17 06:20:00 PM,112.322,31.064,,,,
41,08/09/17 06:30:00 PM,113.567,30.963,,,,
42,08/09/17 06:40:00 PM,113.435,30.862,,,,
43,08/09/17 06:50:00 PM,113.134,30.760,,,,
44,08/09/17 07:00:00 PM,114.145,30.760,,,,
45,08/09/17 07:10:00 PM,113.645,30.659,,,,
46,08/09/17 07:20:00 PM,114.250,30.659,,,,
47,08/09/17 07:30:00 PM,114.385,30.558,,,,
48,08/09/17 07:40:00 PM,114.316,30.558,,,,
49,08/09/17 07:50:00 PM,115.314,30.457,,,,
50,08/09/17 08:00:00 PM,115.632,30.457,,,,
51,08/09/17 08:10:00 PM,115.304,30.457,,,,
52,08/09/17 08:20:00 PM,115.420,30.356,,,,
53,08/09/17 08:30:00 PM,115.549,30.356,,,,
54,08/09/17 08:40:00 PM,115.400,30.356,,,,
55,08/09/17 08:50:00 PM,115.499,30.356,,,,
56,08/09/17 09:00:00 PM,116.313,30.356,,,,
57,08/09/17 09:10:00 PM,116.333,30.356,,,,
58,08/09/17 09:20:00 PM,115.449,30.356,,,,
59,08/09/17 09:30:00 PM,116.124,30.356,,,,
60,08/09/17 09:40:00 PM,115.783,30.255,,,,
61,08/09/17 09:50:00 PM,116.286,30.154,,,,
62,08/09/17 10:00:00 PM,115.859,30.154,,,,
63,08/09/17 10:10:00 PM,115.899,30.154,,,,
64,08/09/17 10:20:00 PM,115.849,30.154,,,,
65,08/09/17 10:30:00 PM,116.047,30.154,,,,
66,08/09/17 10:40:00 PM,115.561,30.154,,,,
67,08/09/17 10:50:00 PM,116.385,30.154,,,,
68,08/09/17 11:00:00 PM,115.631,30.154,,,,
69,08/09/17 11:10:00 PM,115.373,30.154,,,,
70,08/09/17 11:20:00 PM,115.452,30.154,,,,
71,08/09/17 11:30:00 PM,115.234,30.154,,,,
72,08/09/17 11:40:00 PM,115.204,30.154,,,,
73,08/09/17 11:50:00 PM,114.391,30.154,,,,
74,08/10/17 12:00:00 AM,115.085,30.154,,,,
75,08/10/17 12:10:00 AM,114.966,30.154,,,,
76,08/10/17 12:20:00 AM,114.401,30.154,,,,
77,08/10/17 12:30:00 AM,114.698,30.154,,,,
78,08/10/17 12:40:00 AM,113.984,30.154,,,,
79,08/10/17 12:50:00 AM,114.282,30.154,,,,
80,08/10/17 01:00:00 AM,113.766,30.154,,,,
81,08/10/17 01:10:00 AM,113.647,30.154,,,,
82,08/10/17 01:20:00 AM,113.449,30.154,,,,
83,08/10/17 01:30:00 AM,113.509,30.154,,,,
84,08/10/17 01:40:00 AM,113.330,30.154,,,,
85,08/10/17 01:50:00 AM,113.657,30.154,,,,
86,08/10/17 02:00:00 AM,113.499,30.154,,,,
87,08/10/17 02:10:00 AM,112.944,30.154,,,,
88,08/10/17 02:20:00 AM,113.380,30.154,,,,
89,08/10/17 02:30:00 AM,113.083,30.154,,,,
90,08/10/17 02:40:00 AM,113.083,30.154,,,,
91,08/10/17 02:50:00 AM,113.152,30.154,,,,
92,08/10/17 03:00:00 AM,113.053,30.154,,,,
93,08/10/17 03:10:00 AM,113.231,30.154,,,,
94,08/10/17 03:20:00 AM,113.340,30.154,,,,
95,08/10/17 03:30:00 AM,113.568,30.154,,,,
96,08/10/17 03:40:00 AM,113.208,30.054,,,,
97,08/10/17 03:50:00 AM,113.346,30.054,,,,
98,08/10/17 04:00:00 AM,113.604,30.054,,,,
99,08/10/17 04:10:00 AM,113.277,30.054,,,,
100,08/10/17 04:20:00 AM,113.673,30.054,,,,
101,08/10/17 04:30:00 AM,113.604,30.054,,,,
102,08/10/17 04:40:00 AM,113.654,30.054,,,,
103,08/10/17 04:50:00 AM,113.703,30.054,,,,
104,08/10/17 05:00:00 AM,114.060,30.054,,,,
105,08/10/17 05:10:00 AM,114.635,30.054,,,,
106,08/10/17 05:20:00 AM,114.853,30.054,,,,
107,08/10/17 05:30:00 AM,114.199,30.054,,,,
108,08/10/17 05:40:00 AM,114.288,30.054,,,,
109,08/10/17 05:50:00 AM,114.417,30.054,,,,
110,08/10/17 06:00:00 AM,114.853,30.054,,,,
111,08/10/17 06:10:00 AM,115.319,30.054,,,,
112,08/10/17 06:20:00 AM,115.042,30.054,,,,
113,08/10/17 06:30:00 AM,114.933,30.054,,,,
114,08/10/17 06:40:00 AM,115.637,30.054,,,,
115,08/10/17 06:50:00 AM,115.577,30.054,,,,
116,08/10/17 07:00:00 AM,115.796,30.054,,,,
117,08/10/17 07:10:00 AM,115.925,30.054,,,,
118,08/10/17 07:20:00 AM,116.411,30.054,,,,
119,08/10/17 07:30:00 AM,116.093,30.054,,,,
120,08/10/17 07:40:00 AM,116.163,30.054,,,,
121,08/10/17 07:50:00 AM,116.967,30.054,,,,
122,08/10/17 08:00:00 AM,115.869,30.154,,,,
123,08/10/17 08:10:00 AM,116.057,30.154,,,,
124,08/10/17 08:20:00 AM,115.958,30.154,,,,
125,08/10/17 08:30:00 AM,116.792,30.154,,,,
126,08/10/17 08:40:00 AM,116.415,30.154,,,,
127,08/10/17 08:50:00 AM,116.111,30.255,,,,
128,08/10/17 09:00:00 AM,115.634,30.255,,,,
129,08/10/17 09:10:00 AM,116.200,30.255,,,,
130,08/10/17 09:20:00 AM,115.827,30.356,,,,
131,08/10/17 09:30:00 AM,116.134,30.356,,,,
132,08/10/17 09:40:00 AM,115.985,30.356,,,,
133,08/10/17 09:50:00 AM,115.810,30.457,,,,
134,08/10/17 10:00:00 AM,116.803,30.457,,,,
135,08/10/17 10:10:00 AM,115.344,30.457,,,,
136,08/10/17 10:20:00 AM,115.413,30.457,,,,
137,08/10/17 10:30:00 AM,115.294,30.457,,,,
138,08/10/17 10:40:00 AM,115.294,30.457,,,,
139,08/10/17 10:50:00 AM,114.742,30.558,,,,
140,08/10/17 11:00:00 AM,114.931,30.558,,,,
141,08/10/17 11:10:00 AM,114.290,30.659,,,,
142,08/10/17 11:20:00 AM,114.234,30.760,,,,
143,08/10/17 11:30:00 AM,113.540,30.760,,,,
144,08/10/17 11:40:00 AM,113.464,30.862,,,,
145,08/10/17 11:50:00 AM,113.210,30.963,,,,
146,08/10/17 12:00:00 PM,112.986,31.064,,,,
147,08/10/17 12:10:00 PM,112.603,31.166,,,,
148,08/10/17 12:20:00 PM,112.478,31.268,,,,
149,08/10/17 12:30:00 PM,112.244,31.370,,,,
150,08/10/17 12:40:00 PM,112.307,31.472,,,,
151,08/10/17 12:50:00 PM,111.673,31.472,,,,
152,08/10/17 01:00:00 PM,111.340,31.574,,,,
153,08/10/17 01:10:00 PM,111.284,31.676,,,,
154,08/10/17 01:20:00 PM,111.001,31.778,,,,
155,08/10/17 01:30:00 PM,110.569,31.880,,,,
156,08/10/17 01:40:00 PM,110.464,31.983,,,,
157,08/10/17 01:50:00 PM,110.111,32.086,,,,
158,08/10/17 02:00:00 PM,110.062,32.086,,,,
159,08/10/17 02:10:00 PM,109.867,32.188,,,,
160,08/10/17 02:20:00 PM,109.590,32.188,,,,
161,08/10/17 02:30:00 PM,109.412,32.188,,,,
162,08/10/17 02:40:00 PM,109.080,32.291,,,,
163,08/10/17 02:50:00 PM,109.235,32.497,,,,
164,08/10/17 03:00:00 PM,109.130,32.600,,,,
165,08/10/17 03:10:00 PM,109.074,32.704,,,,
166,08/10/17 03:20:00 PM,109.074,32.704,,,,
167,08/10/17 03:30:00 PM,109.206,32.807,,,,
168,08/10/17 03:40:00 PM,109.131,32.911,,,,
169,08/10/17 03:50:00 PM,109.490,33.014,,,,
170,08/10/17 04:00:00 PM,109.312,33.014,,,,
171,08/10/17 04:10:00 PM,109.312,33.014,,,,
172,08/10/17 04:20:00 PM,109.553,33.118,,,,
173,08/10/17 04:30:00 PM,109.464,33.118,,,,
174,08/10/17 04:40:00 PM,109.731,33.118,,,,
175,08/10/17 04:50:00 PM,109.701,33.118,,,,
176,08/10/17 05:00:00 PM,110.018,33.118,,,,
177,08/10/17 05:10:00 PM,110.196,33.118,,,,
178,08/10/17 05:20:00 PM,110.519,33.014,,,,
179,08/10/17 05:30:00 PM,110.509,33.014,,,,
180,08/10/17 05:40:00 PM,110.783,32.911,,,,
181,08/10/17 05:50:00 PM,111.109,32.911,,,,
182,08/10/17 06:00:00 PM,111.373,32.807,,,,
183,08/10/17 06:10:00 PM,111.488,32.704,,,,
184,08/10/17 06:20:00 PM,111.944,32.704,,,,
185,08/10/17 06:30:00 PM,112.099,32.600,,,,
186,08/10/17 06:40:00 PM,112.624,32.600,,,,
187,08/10/17 06:50:00 PM,112.729,32.497,,,,
188,08/10/17 07:00:00 PM,113.175,32.497,,,,
