Plot Title: Agat WL (10932525),,,,,
#,"Date Time, GMT+10:00","Abs Pres, kPa (LGR S/N: 10932525, SEN S/N: 10932525)","Temp, °C (LGR S/N: 10932525, SEN S/N: 10932525)","Date Time, GMT+10:00",End Of File (LGR S/N: 10932525)
1,12/4/2017 10:00,100.904,24.062,12/4/2017 10:00,
2,12/4/2017 10:10,100.896,24.158,12/4/2017 10:10,
3,12/4/2017 10:20,100.818,24.351,12/4/2017 10:20,
4,12/4/2017 10:30,100.987,24.448,12/4/2017 10:30,
5,12/4/2017 10:40,101.393,26.977,12/4/2017 10:40,
6,12/4/2017 10:50,103.19,28.655,12/4/2017 10:50,
7,12/4/2017 11:00,113.346,28.953,12/4/2017 11:00,
8,12/4/2017 11:10,112.899,29.053,12/4/2017 11:10,
9,12/4/2017 11:20,113.527,29.053,12/4/2017 11:20,
10,12/4/2017 11:30,112.609,29.152,12/4/2017 11:30,
11,12/4/2017 11:40,112.428,29.053,12/4/2017 11:40,
12,12/4/2017 11:50,112.766,29.152,12/4/2017 11:50,
13,12/4/2017 12:00,112.441,29.152,12/4/2017 12:00,
14,12/4/2017 12:10,112.609,29.152,12/4/2017 12:10,
15,12/4/2017 12:20,112.64,29.152,12/4/2017 12:20,
16,12/4/2017 12:30,112.35,29.252,12/4/2017 12:30,
17,12/4/2017 12:40,112.455,29.252,12/4/2017 12:40,
18,12/4/2017 12:50,112.211,29.152,12/4/2017 12:50,
19,12/4/2017 13:00,112.124,29.053,12/4/2017 13:00,
20,12/4/2017 13:10,112.616,29.053,12/4/2017 13:10,
21,12/4/2017 13:20,112.344,29.053,12/4/2017 13:20,
22,12/4/2017 13:30,112.422,28.853,12/4/2017 13:30,
23,12/4/2017 13:40,112.639,28.754,12/4/2017 13:40,
24,12/4/2017 13:50,112.833,28.953,12/4/2017 13:50,
25,12/4/2017 14:00,112.226,28.953,12/4/2017 14:00,
26,12/4/2017 14:10,112.613,28.953,12/4/2017 14:10,
27,12/4/2017 14:20,113,28.953,12/4/2017 14:20,
28,12/4/2017 14:30,112.532,29.053,12/4/2017 14:30,
29,12/4/2017 14:40,112.344,29.053,12/4/2017 14:40,
30,12/4/2017 14:50,112.295,29.152,12/4/2017 14:50,
31,12/4/2017 15:00,112.096,29.152,12/4/2017 15:00,
32,12/4/2017 15:10,112.517,29.252,12/4/2017 15:10,
33,12/4/2017 15:20,112.863,29.252,12/4/2017 15:20,
34,12/4/2017 15:30,112.214,29.252,12/4/2017 15:30,
35,12/4/2017 15:40,112.713,29.152,12/4/2017 15:40,
36,12/4/2017 15:50,112.776,29.152,12/4/2017 15:50,
37,12/4/2017 16:00,112.87,29.152,12/4/2017 16:00,
38,12/4/2017 16:10,113.415,29.152,12/4/2017 16:10,
39,12/4/2017 16:20,113.09,29.152,12/4/2017 16:20,
40,12/4/2017 16:30,113.216,29.152,12/4/2017 16:30,
41,12/4/2017 16:40,113.635,29.152,12/4/2017 16:40,
42,12/4/2017 16:50,113.655,29.152,12/4/2017 16:50,
43,12/4/2017 17:00,114.022,29.152,12/4/2017 17:00,
44,12/4/2017 17:10,114.211,29.152,12/4/2017 17:10,
45,12/4/2017 17:20,114.054,29.152,12/4/2017 17:20,
46,12/4/2017 17:30,114.242,29.152,12/4/2017 17:30,
47,12/4/2017 17:40,114.501,29.053,12/4/2017 17:40,
48,12/4/2017 17:50,114.585,29.053,12/4/2017 17:50,
49,12/4/2017 18:00,115.015,29.053,12/4/2017 18:00,
50,12/4/2017 18:10,114.931,29.053,12/4/2017 18:10,
51,12/4/2017 18:20,114.878,29.053,12/4/2017 18:20,
52,12/4/2017 18:30,114.826,29.053,12/4/2017 18:30,
53,12/4/2017 18:40,114.815,29.053,12/4/2017 18:40,
54,12/4/2017 18:50,114.994,29.053,12/4/2017 18:50,
55,12/4/2017 19:00,115.119,29.053,12/4/2017 19:00,
56,12/4/2017 19:10,115.067,29.053,12/4/2017 19:10,
57,12/4/2017 19:20,115.329,29.053,12/4/2017 19:20,
58,12/4/2017 19:30,115.025,29.053,12/4/2017 19:30,
59,12/4/2017 19:40,114.941,29.053,12/4/2017 19:40,
60,12/4/2017 19:50,115.098,29.053,12/4/2017 19:50,
61,12/4/2017 20:00,115.109,29.053,12/4/2017 20:00,
62,12/4/2017 20:10,114.519,28.953,12/4/2017 20:10,
63,12/4/2017 20:20,114.016,28.953,12/4/2017 20:20,
64,12/4/2017 20:30,114.435,28.953,12/4/2017 20:30,
65,12/4/2017 20:40,113.995,28.953,12/4/2017 20:40,
66,12/4/2017 20:50,113.796,28.953,12/4/2017 20:50,
67,12/4/2017 21:00,113.545,28.953,12/4/2017 21:00,
68,12/4/2017 21:10,113.116,28.953,12/4/2017 21:10,
69,12/4/2017 21:20,113.249,28.853,12/4/2017 21:20,
70,12/4/2017 21:30,112.568,28.853,12/4/2017 21:30,
71,12/4/2017 21:40,112.286,28.853,12/4/2017 21:40,
72,12/4/2017 21:50,112.38,28.853,12/4/2017 21:50,
73,12/4/2017 22:00,111.865,28.754,12/4/2017 22:00,
74,12/4/2017 22:10,111.373,28.754,12/4/2017 22:10,
75,12/4/2017 22:20,111.373,28.754,12/4/2017 22:20,
76,12/4/2017 22:30,110.681,28.655,12/4/2017 22:30,
77,12/4/2017 22:40,110.869,28.655,12/4/2017 22:40,
78,12/4/2017 22:50,110.148,28.655,12/4/2017 22:50,
79,12/4/2017 23:00,109.824,28.655,12/4/2017 23:00,
80,12/4/2017 23:10,109.647,28.655,12/4/2017 23:10,
