"Plot Title: Agat WL (10766781)"
"#","Date Time, GMT+10:00","Abs Pres, kPa (LGR S/N: 10766781, SEN S/N: 10766781)","Temp, °C (LGR S/N: 10766781, SEN S/N: 10766781)","Coupler Detached (LGR S/N: 10766781)","Coupler Attached (LGR S/N: 10766781)","Stopped (LGR S/N: 10766781)","End Of File (LGR S/N: 10766781)"
1,06/20/18 02:00:00 PM,101.163,29.552,Logged,,,
2,06/20/18 02:10:00 PM,101.171,30.154,,,,
3,06/20/18 02:20:00 PM,101.211,30.862,,,,
4,06/20/18 02:30:00 PM,102.237,31.676,,,,
5,06/20/18 02:40:00 PM,112.533,31.370,,,,
6,06/20/18 02:50:00 PM,112.221,31.370,,,,
7,06/20/18 03:00:00 PM,112.030,31.472,,,,
8,06/20/18 03:10:00 PM,111.971,31.472,,,,
9,06/20/18 03:20:00 PM,111.766,31.472,,,,
10,06/20/18 03:30:00 PM,111.575,31.574,,,,
11,06/20/18 03:40:00 PM,111.302,31.574,,,,
12,06/20/18 03:50:00 PM,111.090,31.676,,,,
13,06/20/18 04:00:00 PM,111.061,31.676,,,,
14,06/20/18 04:10:00 PM,110.691,31.676,,,,
15,06/20/18 04:20:00 PM,110.505,31.676,,,,
16,06/20/18 04:30:00 PM,110.398,31.676,,,,
17,06/20/18 04:40:00 PM,110.164,31.676,,,,
18,06/20/18 04:50:00 PM,109.852,31.676,,,,
19,06/20/18 05:00:00 PM,109.700,31.778,,,,
20,06/20/18 05:10:00 PM,109.446,31.778,,,,
21,06/20/18 05:20:00 PM,109.420,31.880,,,,
22,06/20/18 05:30:00 PM,109.274,31.880,,,,
23,06/20/18 05:40:00 PM,109.050,31.880,,,,
24,06/20/18 05:50:00 PM,108.943,31.880,,,,
25,06/20/18 06:00:00 PM,108.767,31.880,,,,
26,06/20/18 06:10:00 PM,108.650,31.880,,,,
27,06/20/18 06:20:00 PM,108.524,31.880,,,,
28,06/20/18 06:30:00 PM,108.319,31.880,,,,
29,06/20/18 06:40:00 PM,108.231,31.880,,,,
30,06/20/18 06:50:00 PM,108.101,31.778,,,,
31,06/20/18 07:00:00 PM,108.053,31.778,,,,
32,06/20/18 07:10:00 PM,108.069,31.676,,,,
33,06/20/18 07:20:00 PM,108.225,31.676,,,,
34,06/20/18 07:30:00 PM,108.283,31.676,,,,
35,06/20/18 07:40:00 PM,108.280,31.574,,,,
36,06/20/18 07:50:00 PM,108.426,31.574,,,,
37,06/20/18 08:00:00 PM,108.676,31.472,,,,
38,06/20/18 08:10:00 PM,108.706,31.472,,,,
39,06/20/18 08:20:00 PM,108.780,31.370,,,,
40,06/20/18 08:30:00 PM,108.907,31.370,,,,
41,06/20/18 08:40:00 PM,109.151,31.370,,,,
42,06/20/18 08:50:00 PM,109.225,31.268,,,,
43,06/20/18 09:00:00 PM,109.362,31.268,,,,
44,06/20/18 09:10:00 PM,109.615,31.268,,,,
45,06/20/18 09:20:00 PM,109.787,31.166,,,,
46,06/20/18 09:30:00 PM,110.031,31.166,,,,
47,06/20/18 09:40:00 PM,110.294,31.166,,,,
48,06/20/18 09:50:00 PM,110.408,31.064,,,,
49,06/20/18 10:00:00 PM,110.573,31.064,,,,
50,06/20/18 10:10:00 PM,110.954,31.064,,,,
51,06/20/18 10:20:00 PM,111.256,31.064,,,,
52,06/20/18 10:30:00 PM,111.555,30.963,,,,
53,06/20/18 10:40:00 PM,111.727,30.862,,,,
54,06/20/18 10:50:00 PM,111.945,30.659,,,,
55,06/20/18 11:00:00 PM,112.364,30.356,,,,
56,06/20/18 11:10:00 PM,112.461,30.054,,,,
57,06/20/18 11:20:00 PM,112.955,29.652,,,,
58,06/20/18 11:30:00 PM,113.202,29.452,,,,
59,06/20/18 11:40:00 PM,113.248,29.352,,,,
60,06/20/18 11:50:00 PM,113.556,29.252,,,,
61,06/21/18 12:00:00 AM,113.800,29.252,,,,
62,06/21/18 12:10:00 AM,114.463,29.252,,,,
63,06/21/18 12:20:00 AM,114.219,29.252,,,,
64,06/21/18 12:30:00 AM,114.531,29.252,,,,
65,06/21/18 12:40:00 AM,114.853,29.252,,,,
66,06/21/18 12:50:00 AM,114.892,29.252,,,,
67,06/21/18 01:00:00 AM,115.136,29.252,,,,
68,06/21/18 01:10:00 AM,114.853,29.252,,,,
69,06/21/18 01:20:00 AM,115.068,29.252,,,,
70,06/21/18 01:30:00 AM,115.341,29.252,,,,
71,06/21/18 01:40:00 AM,115.273,29.252,,,,
72,06/21/18 01:50:00 AM,115.380,29.252,,,,
73,06/21/18 02:00:00 AM,115.848,29.252,,,,
74,06/21/18 02:10:00 AM,115.546,29.252,,,,
75,06/21/18 02:20:00 AM,115.234,29.252,,,,
76,06/21/18 02:30:00 AM,115.497,29.252,,,,
77,06/21/18 02:40:00 AM,115.448,29.252,,,,
78,06/21/18 02:50:00 AM,115.126,29.252,,,,
79,06/21/18 03:00:00 AM,115.175,29.252,,,,
80,06/21/18 03:10:00 AM,114.726,29.252,,,,
81,06/21/18 03:20:00 AM,115.156,29.252,,,,
82,06/21/18 03:30:00 AM,115.055,29.152,,,,
83,06/21/18 03:40:00 AM,114.206,29.152,,,,
84,06/21/18 03:50:00 AM,114.860,29.152,,,,
85,06/21/18 04:00:00 AM,114.411,29.152,,,,
86,06/21/18 04:10:00 AM,114.011,29.152,,,,
87,06/21/18 04:20:00 AM,114.310,29.053,,,,
88,06/21/18 04:30:00 AM,114.388,29.053,,,,
89,06/21/18 04:40:00 AM,113.862,29.053,,,,
90,06/21/18 04:50:00 AM,113.403,29.053,,,,
91,06/21/18 05:00:00 AM,113.423,29.053,,,,
92,06/21/18 05:10:00 AM,112.809,29.053,,,,
93,06/21/18 05:20:00 AM,112.819,29.053,,,,
94,06/21/18 05:30:00 AM,112.438,29.053,,,,
95,06/21/18 05:40:00 AM,112.166,29.053,,,,
96,06/21/18 05:50:00 AM,112.292,29.053,,,,
97,06/21/18 06:00:00 AM,112.107,29.053,,,,
98,06/21/18 06:10:00 AM,111.672,29.152,,,,
99,06/21/18 06:20:00 AM,111.701,29.152,,,,
100,06/21/18 06:30:00 AM,111.253,29.152,,,,
101,06/21/18 06:40:00 AM,111.224,29.152,,,,
102,06/21/18 06:50:00 AM,111.295,29.252,,,,
103,06/21/18 07:00:00 AM,110.876,29.252,,,,
104,06/21/18 07:10:00 AM,110.788,29.252,,,,
105,06/21/18 07:20:00 AM,110.808,29.252,,,,
106,06/21/18 07:30:00 AM,110.769,29.252,,,,
107,06/21/18 07:40:00 AM,110.837,29.252,,,,
108,06/21/18 07:50:00 AM,110.759,29.252,,,,
109,06/21/18 08:00:00 AM,110.574,29.252,,,,
110,06/21/18 08:10:00 AM,110.535,29.252,,,,
111,06/21/18 08:20:00 AM,110.788,29.252,,,,
112,06/21/18 08:30:00 AM,110.684,29.352,,,,
113,06/21/18 08:40:00 AM,110.720,29.252,,,,
114,06/21/18 08:50:00 AM,110.684,29.352,,,,
115,06/21/18 09:00:00 AM,110.967,29.352,,,,
116,06/21/18 09:10:00 AM,110.996,29.352,,,,
117,06/21/18 09:20:00 AM,110.863,29.452,,,,
118,06/21/18 09:30:00 AM,110.827,29.552,,,,
119,06/21/18 09:40:00 AM,111.253,29.752,,,,
120,06/21/18 09:50:00 AM,111.158,29.853,,,,
121,06/21/18 10:00:00 AM,111.607,29.853,,,,
122,06/21/18 10:10:00 AM,111.564,29.752,,,,
123,06/21/18 10:20:00 AM,111.360,29.752,,,,
124,06/21/18 10:30:00 AM,111.506,29.752,,,,
125,06/21/18 10:40:00 AM,111.525,29.752,,,,
126,06/21/18 10:50:00 AM,111.837,29.752,,,,
127,06/21/18 11:00:00 AM,112.139,29.752,,,,
128,06/21/18 11:10:00 AM,112.175,29.652,,,,
129,06/21/18 11:20:00 AM,112.081,29.752,,,,
130,06/21/18 11:30:00 AM,112.325,29.752,,,,
131,06/21/18 11:40:00 AM,112.776,29.853,,,,
132,06/21/18 11:50:00 AM,112.776,29.853,,,,
133,06/21/18 12:00:00 PM,112.721,29.953,,,,
134,06/21/18 12:10:00 PM,112.994,29.953,,,,
135,06/21/18 12:20:00 PM,113.287,29.953,,,,
136,06/21/18 12:30:00 PM,113.121,29.953,,,,
137,06/21/18 12:40:00 PM,113.404,29.953,,,,
138,06/21/18 12:50:00 PM,113.326,29.953,,,,
139,06/21/18 01:00:00 PM,113.381,29.853,,,,
140,06/21/18 01:10:00 PM,113.677,29.953,,,,
141,06/21/18 01:20:00 PM,113.459,29.853,,,,
142,06/21/18 01:30:00 PM,113.478,29.853,,,,
143,06/21/18 01:40:00 PM,113.530,29.953,,,,
144,06/21/18 01:50:00 PM,113.277,29.953,,,,
145,06/21/18 02:00:00 PM,113.365,29.953,,,,
146,06/21/18 02:10:00 PM,113.326,29.953,,,,
147,06/21/18 02:20:00 PM,112.832,30.054,,,,
148,06/21/18 02:30:00 PM,112.942,30.154,,,,
149,06/21/18 02:40:00 PM,112.946,30.255,,,,
150,06/21/18 02:50:00 PM,112.676,30.356,,,,
151,06/21/18 03:00:00 PM,112.611,30.457,,,,
152,06/21/18 03:10:00 PM,113.209,30.558,,,,
153,06/21/18 03:20:00 PM,112.998,30.659,,,,
154,06/21/18 03:30:00 PM,112.523,30.760,,,,
155,06/21/18 03:40:00 PM,112.552,30.760,,,,
156,06/21/18 03:50:00 PM,112.351,30.862,,,,
157,06/21/18 04:00:00 PM,112.224,30.862,,,,
158,06/21/18 04:10:00 PM,112.107,30.862,,,,
159,06/21/18 04:20:00 PM,112.088,30.862,,,,
160,06/21/18 04:30:00 PM,111.828,30.963,,,,
161,06/21/18 04:40:00 PM,111.613,30.963,,,,
162,06/21/18 04:50:00 PM,111.340,30.963,,,,
163,06/21/18 05:00:00 PM,111.110,31.064,,,,
164,06/21/18 05:10:00 PM,110.963,31.064,,,,
165,06/21/18 05:20:00 PM,110.612,31.064,,,,
166,06/21/18 05:30:00 PM,110.827,31.064,,,,
167,06/21/18 05:40:00 PM,110.495,31.064,,,,
168,06/21/18 05:50:00 PM,110.310,31.064,,,,
169,06/21/18 06:00:00 PM,110.135,31.064,,,,
170,06/21/18 06:10:00 PM,110.125,31.064,,,,
171,06/21/18 06:20:00 PM,109.940,31.064,,,,
172,06/21/18 06:30:00 PM,109.794,31.064,,,,
173,06/21/18 06:40:00 PM,109.609,31.064,,,,
174,06/21/18 06:50:00 PM,109.664,30.963,,,,
175,06/21/18 07:00:00 PM,109.362,30.963,,,,
176,06/21/18 07:10:00 PM,109.196,30.963,,,,
177,06/21/18 07:20:00 PM,109.118,30.963,,,,
178,06/21/18 07:30:00 PM,109.128,30.963,,,,
179,06/21/18 07:40:00 PM,109.151,31.064,,,,
180,06/21/18 07:50:00 PM,109.112,31.064,,,,
181,06/21/18 08:00:00 PM,109.151,31.064,,,,
182,06/21/18 08:10:00 PM,109.229,31.064,,,,
183,06/21/18 08:20:00 PM,109.160,31.064,,,,
184,06/21/18 08:30:00 PM,109.462,31.064,,,,
185,06/21/18 08:40:00 PM,109.472,31.064,,,,
186,06/21/18 08:50:00 PM,109.596,30.963,,,,
187,06/21/18 09:00:00 PM,109.635,30.963,,,,
188,06/21/18 09:10:00 PM,109.683,30.963,,,,
189,06/21/18 09:20:00 PM,109.878,30.963,,,,
190,06/21/18 09:30:00 PM,110.063,30.963,,,,
191,06/21/18 09:40:00 PM,109.933,30.862,,,,
192,06/21/18 09:50:00 PM,110.060,30.862,,,,
193,06/21/18 10:00:00 PM,110.245,30.862,,,,
194,06/21/18 10:10:00 PM,110.372,30.862,,,,
195,06/21/18 10:20:00 PM,110.554,30.760,,,,
196,06/21/18 10:30:00 PM,110.856,30.760,,,,
197,06/21/18 10:40:00 PM,111.106,30.659,,,,
198,06/21/18 10:50:00 PM,111.236,30.457,,,,
199,06/21/18 11:00:00 PM,111.408,30.356,,,,
200,06/21/18 11:10:00 PM,111.698,30.255,,,,
201,06/21/18 11:20:00 PM,112.133,30.154,,,,
202,06/21/18 11:30:00 PM,112.692,29.953,,,,
203,06/21/18 11:40:00 PM,112.776,29.552,,,,
204,06/21/18 11:50:00 PM,112.965,29.352,,,,
205,06/22/18 12:00:00 AM,113.248,29.352,,,,
206,06/22/18 12:10:00 AM,113.140,29.352,,,,
207,06/22/18 12:20:00 AM,113.433,29.352,,,,
208,06/22/18 12:30:00 AM,113.521,29.352,,,,
209,06/22/18 12:40:00 AM,114.096,29.352,,,,
210,06/22/18 12:50:00 AM,114.109,29.452,,,,
211,06/22/18 01:00:00 AM,113.992,29.452,,,,
212,06/22/18 01:10:00 AM,114.392,29.452,,,,
213,06/22/18 01:20:00 AM,114.148,29.452,,,,
214,06/22/18 01:30:00 AM,114.333,29.452,,,,
215,06/22/18 01:40:00 AM,114.788,29.352,,,,
216,06/22/18 01:50:00 AM,114.866,29.352,,,,
217,06/22/18 02:00:00 AM,115.013,29.352,,,,
218,06/22/18 02:10:00 AM,114.876,29.352,,,,
219,06/22/18 02:20:00 AM,114.798,29.352,,,,
220,06/22/18 02:30:00 AM,115.247,29.352,,,,
221,06/22/18 02:40:00 AM,114.759,29.352,,,,
222,06/22/18 02:50:00 AM,115.110,29.352,,,,
223,06/22/18 03:00:00 AM,115.178,29.352,,,,
224,06/22/18 03:10:00 AM,115.305,29.352,,,,
225,06/22/18 03:20:00 AM,115.315,29.352,,,,
226,06/22/18 03:30:00 AM,115.608,29.352,,,,
227,06/22/18 03:40:00 AM,115.253,29.252,,,,
228,06/22/18 03:50:00 AM,114.960,29.252,,,,
229,06/22/18 04:00:00 AM,114.990,29.252,,,,
230,06/22/18 04:10:00 AM,114.892,29.252,,,,
231,06/22/18 04:20:00 AM,114.931,29.252,,,,
232,06/22/18 04:30:00 AM,114.551,29.252,,,,
233,06/22/18 04:40:00 AM,114.431,29.152,,,,
234,06/22/18 04:50:00 AM,114.284,29.152,,,,
235,06/22/18 05:00:00 AM,114.040,29.152,,,,
236,06/22/18 05:10:00 AM,113.719,29.152,,,,
237,06/22/18 05:20:00 AM,113.592,29.152,,,,
238,06/22/18 05:30:00 AM,114.040,29.152,,,,
239,06/22/18 05:40:00 AM,113.134,29.152,,,,
240,06/22/18 05:50:00 AM,112.945,29.053,,,,
241,06/22/18 06:00:00 AM,112.731,29.053,,,,
242,06/22/18 06:10:00 AM,112.526,29.053,,,,
243,06/22/18 06:20:00 AM,112.253,29.053,,,,
244,06/22/18 06:30:00 AM,112.065,28.953,,,,
245,06/22/18 06:40:00 AM,111.890,28.953,,,,
246,06/22/18 06:50:00 AM,111.938,28.953,,,,
247,06/22/18 07:00:00 AM,111.578,28.953,,,,
248,06/22/18 07:10:00 AM,111.451,28.953,,,,
249,06/22/18 07:20:00 AM,111.061,28.953,,,,
250,06/22/18 07:30:00 AM,111.003,28.953,,,,
251,06/22/18 07:40:00 AM,110.762,29.053,,,,
252,06/22/18 07:50:00 AM,110.743,29.053,,,,
253,06/22/18 08:00:00 AM,110.616,29.053,,,,
254,06/22/18 08:10:00 AM,110.616,29.053,,,,
255,06/22/18 08:20:00 AM,110.529,29.053,,,,
256,06/22/18 08:30:00 AM,110.483,29.152,,,,
257,06/22/18 08:40:00 AM,110.337,29.152,,,,
258,06/22/18 08:50:00 AM,110.418,29.252,,,,
259,06/22/18 09:00:00 AM,110.301,29.252,,,,
260,06/22/18 09:10:00 AM,110.256,29.352,,,,
261,06/22/18 09:20:00 AM,110.285,29.352,,,,
262,06/22/18 09:30:00 AM,109.976,29.452,,,,
263,06/22/18 09:40:00 AM,110.252,29.552,,,,
264,06/22/18 09:50:00 AM,110.009,29.552,,,,
265,06/22/18 10:00:00 AM,109.895,29.652,,,,
266,06/22/18 10:10:00 AM,109.944,29.652,,,,
267,06/22/18 10:20:00 AM,110.132,29.752,,,,
268,06/22/18 10:30:00 AM,109.979,29.853,,,,
269,06/22/18 10:40:00 AM,110.060,29.953,,,,
270,06/22/18 10:50:00 AM,110.375,30.054,,,,
271,06/22/18 11:00:00 AM,110.535,30.154,,,,
272,06/22/18 11:10:00 AM,110.635,30.255,,,,
273,06/22/18 11:20:00 AM,110.840,30.255,,,,
274,06/22/18 11:30:00 AM,110.941,30.356,,,,
275,06/22/18 11:40:00 AM,111.204,30.356,,,,
276,06/22/18 11:50:00 AM,111.428,30.356,,,,
277,06/22/18 12:00:00 PM,111.876,30.356,,,,
278,06/22/18 12:10:00 PM,111.717,30.255,,,,
279,06/22/18 12:20:00 PM,111.938,30.154,,,,
280,06/22/18 12:30:00 PM,112.094,30.154,,,,
