"Plot Title: 20358152 (Agat)"
"#","Date Time, GMT+10:00","Abs Pres, kPa (LGR S/N: 20358152, SEN S/N: 20358152)","Temp, °C (LGR S/N: 20358152, SEN S/N: 20358152)","Coupler Detached (LGR S/N: 20358152)","Coupler Attached (LGR S/N: 20358152)","Host Connected (LGR S/N: 20358152)","Stopped (LGR S/N: 20358152)","End Of File (LGR S/N: 20358152)"
1,10/21/19 02:00:00 PM,100.789,26.195,Logged,,,,
2,10/21/19 02:30:00 PM,100.721,23.677,,,,,
3,10/21/19 03:00:00 PM,100.701,22.717,,,,,
4,10/21/19 03:30:00 PM,100.661,22.238,,,,,
5,10/21/19 04:00:00 PM,100.682,22.046,,,,,
6,10/21/19 04:30:00 PM,100.697,21.951,,,,,
7,10/21/19 05:00:00 PM,100.736,21.951,,,,,
8,10/21/19 05:30:00 PM,100.726,21.951,,,,,
9,10/21/19 06:00:00 PM,100.726,21.951,,,,,
10,10/21/19 06:30:00 PM,100.745,21.951,,,,,
11,10/21/19 07:00:00 PM,100.760,21.855,,,,,
12,10/21/19 07:30:00 PM,100.809,21.855,,,,,
13,10/21/19 08:00:00 PM,100.843,21.760,,,,,
14,10/21/19 08:30:00 PM,100.843,21.760,,,,,
15,10/21/19 09:00:00 PM,100.820,21.664,,,,,
16,10/21/19 09:30:00 PM,100.806,21.569,,,,,
17,10/21/19 10:00:00 PM,100.792,21.473,,,,,
18,10/21/19 10:30:00 PM,100.792,21.473,,,,,
19,10/21/19 11:00:00 PM,100.749,21.378,,,,,
20,10/21/19 11:30:00 PM,100.716,21.282,,,,,
21,10/22/19 12:00:00 AM,100.725,21.282,,,,,
22,10/22/19 12:30:00 AM,100.705,21.473,,,,,
23,10/22/19 01:00:00 AM,100.655,21.664,,,,,
24,10/22/19 01:30:00 AM,100.679,21.760,,,,,
25,10/22/19 02:00:00 AM,100.649,21.951,,,,,
26,10/22/19 02:30:00 AM,100.614,22.046,,,,,
27,10/22/19 03:00:00 AM,100.581,21.951,,,,,
28,10/22/19 03:30:00 AM,100.577,21.855,,,,,
29,10/22/19 04:00:00 AM,100.549,21.664,,,,,
30,10/22/19 04:30:00 AM,100.574,21.569,,,,,
31,10/22/19 05:00:00 AM,100.593,21.569,,,,,
32,10/22/19 05:30:00 AM,100.626,21.664,,,,,
33,10/22/19 06:00:00 AM,100.698,21.760,,,,,
34,10/22/19 06:30:00 AM,100.731,21.855,,,,,
35,10/22/19 07:00:00 AM,100.784,21.951,,,,,
36,10/22/19 07:30:00 AM,100.813,21.951,,,,,
37,10/22/19 08:00:00 AM,100.842,21.951,,,,,
38,10/22/19 08:30:00 AM,100.837,22.046,,,,,
39,10/22/19 09:00:00 AM,100.899,22.142,,,,,
40,10/22/19 09:30:00 AM,100.889,22.142,,,,,
41,10/22/19 10:00:00 AM,100.908,22.142,,,,,
42,10/22/19 10:30:00 AM,100.918,22.142,,,,,
43,10/22/19 11:00:00 AM,100.889,22.142,,,,,
44,10/22/19 11:30:00 AM,100.860,22.142,,,,,
45,10/22/19 12:00:00 PM,100.806,22.238,,,,,
46,10/22/19 12:30:00 PM,100.777,22.238,,,,,
47,10/22/19 01:00:00 PM,100.754,22.142,,,,,
48,10/22/19 01:30:00 PM,100.687,21.951,,,,,
49,10/22/19 02:00:00 PM,100.669,21.760,,,,,
50,10/22/19 02:30:00 PM,100.659,21.760,,,,,
51,10/22/19 03:00:00 PM,100.664,21.855,,,,,
52,10/22/19 03:30:00 PM,100.658,21.951,,,,,
53,10/22/19 04:00:00 PM,100.662,22.046,,,,,
54,10/22/19 04:30:00 PM,100.696,22.142,,,,,
55,10/22/19 05:00:00 PM,100.705,22.142,,,,,
56,10/22/19 05:30:00 PM,100.754,22.142,,,,,
57,10/22/19 06:00:00 PM,100.758,22.238,,,,,
58,10/22/19 06:30:00 PM,100.787,22.238,,,,,
59,10/22/19 07:00:00 PM,100.825,22.238,,,,,
60,10/22/19 07:30:00 PM,100.874,22.238,,,,,
61,10/22/19 08:00:00 PM,100.932,22.238,,,,,
62,10/22/19 08:30:00 PM,100.971,22.238,,,,,
63,10/22/19 09:00:00 PM,100.990,22.238,,,,,
64,10/22/19 09:30:00 PM,100.971,22.238,,,,,
65,10/22/19 10:00:00 PM,101.000,22.238,,,,,
66,10/22/19 10:30:00 PM,100.971,22.238,,,,,
67,10/22/19 11:00:00 PM,100.955,22.333,,,,,
68,10/22/19 11:30:00 PM,100.926,22.333,,,,,
69,10/23/19 12:00:00 AM,100.907,22.333,,,,,
70,10/23/19 12:30:00 AM,100.882,22.429,,,,,
71,10/23/19 01:00:00 AM,100.853,22.429,,,,,
72,10/23/19 01:30:00 AM,100.834,22.429,,,,,
73,10/23/19 02:00:00 AM,100.801,22.333,,,,,
74,10/23/19 02:30:00 AM,100.820,22.333,,,,,
75,10/23/19 03:00:00 AM,100.795,22.429,,,,,
76,10/23/19 03:30:00 AM,100.785,22.429,,,,,
77,10/23/19 04:00:00 AM,100.795,22.429,,,,,
78,10/23/19 04:30:00 AM,100.795,22.429,,,,,
79,10/23/19 05:00:00 AM,100.834,22.429,,,,,
80,10/23/19 05:30:00 AM,100.886,22.525,,,,,
81,10/23/19 06:00:00 AM,100.925,22.525,,,,,
82,10/23/19 06:30:00 AM,100.964,22.525,,,,,
83,10/23/19 07:00:00 AM,101.002,22.525,,,,,
84,10/23/19 07:30:00 AM,101.037,22.429,,,,,
85,10/23/19 08:00:00 AM,101.077,22.238,,,,,
86,10/23/19 08:30:00 AM,101.091,22.333,,,,,
87,10/23/19 09:00:00 AM,101.098,22.046,,,,,
