Plot Title: 20570524,,,
#,"Date Time, GMT+10:00","Temp, °C (LGR S/N: 20570524, SEN S/N: 20570524)","Intensity, Lux (LGR S/N: 20570524, SEN S/N: 20570524)"
68,11/6/2021 9:00,30.054,129.2
69,11/6/2021 10:00,30.356,139.9
70,11/6/2021 11:00,30.76,355.2
71,11/6/2021 12:00,31.472,1141
72,11/6/2021 13:00,31.676,850.4
73,11/6/2021 14:00,32.394,1345.5
74,11/6/2021 15:00,31.983,861.1
75,11/6/2021 16:00,32.188,1291.7
76,11/6/2021 17:00,32.188,236.8
77,11/6/2021 18:00,31.37,0
78,11/6/2021 19:00,30.154,0
79,11/6/2021 20:00,30.054,0
80,11/6/2021 21:00,30.054,0
81,11/6/2021 22:00,30.154,0
82,11/6/2021 23:00,30.154,0
83,11/7/2021 0:00,30.356,0
84,11/7/2021 1:00,30.558,0
85,11/7/2021 2:00,30.558,0
86,11/7/2021 3:00,30.558,0
87,11/7/2021 4:00,30.356,0
88,11/7/2021 5:00,29.953,0
89,11/7/2021 6:00,29.652,0
90,11/7/2021 7:00,29.752,269.1
91,11/7/2021 8:00,29.953,667.4
92,11/7/2021 9:00,30.356,333.7
93,11/7/2021 10:00,30.862,1808.3
94,11/7/2021 11:00,31.166,1636.1
95,11/7/2021 12:00,31.472,1894.5
96,11/7/2021 13:00,31.676,1162.5
97,11/7/2021 14:00,31.983,1022.6
98,11/7/2021 15:00,32.188,1173.3
99,11/7/2021 16:00,31.778,731.9
100,11/7/2021 17:00,30.963,344.4
101,11/7/2021 18:00,30.963,0
102,11/7/2021 19:00,30.558,0
103,11/7/2021 20:00,30.154,0
104,11/7/2021 21:00,30.054,0
105,11/7/2021 22:00,30.054,0
106,11/7/2021 23:00,30.154,0
107,11/8/2021 0:00,30.457,0
108,11/8/2021 1:00,30.76,0
109,11/8/2021 2:00,30.558,0
110,11/8/2021 3:00,30.356,0
111,11/8/2021 4:00,30.255,0
112,11/8/2021 5:00,30.054,0
113,11/8/2021 6:00,29.752,0
114,11/8/2021 7:00,29.853,75.3
115,11/8/2021 8:00,30.054,1044.1
116,11/8/2021 9:00,30.356,2669.5
117,11/8/2021 10:00,30.862,947.2
