Plot Title: 20416037,,,
#,"Date Time, GMT+10:00","Temp, °C (LGR S/N: 20416037, SEN S/N: 20416037)","Intensity, Lux (LGR S/N: 20416037, SEN S/N: 20416037)"
17,5/26/2021 12:00,32.497,31689.1
18,5/26/2021 13:00,33.118,34444.7
19,5/26/2021 14:00,34.058,66133.8
20,5/26/2021 15:00,34.691,57867
21,5/26/2021 16:00,32.188,33066.9
22,5/26/2021 17:00,30.558,12400.1
23,5/26/2021 18:00,29.752,2583.4
24,5/26/2021 19:00,29.853,0
25,5/26/2021 20:00,29.752,0
26,5/26/2021 21:00,29.552,0
27,5/26/2021 22:00,29.452,0
28,5/26/2021 23:00,29.452,0
29,5/27/2021 0:00,29.452,0
30,5/27/2021 1:00,29.352,0
31,5/27/2021 2:00,29.252,0
32,5/27/2021 3:00,29.152,0
33,5/27/2021 4:00,29.252,0
34,5/27/2021 5:00,29.252,0
35,5/27/2021 6:00,29.252,183
36,5/27/2021 7:00,29.252,1463.9
37,5/27/2021 8:00,29.752,6544.5
38,5/27/2021 9:00,30.356,15844.5
39,5/27/2021 10:00,30.054,3788.9
40,5/27/2021 11:00,30.457,11022.3
41,5/27/2021 12:00,30.457,10677.8
42,5/27/2021 13:00,31.88,41333.6
43,5/27/2021 14:00,31.574,18600.1
44,5/27/2021 15:00,31.676,16533.4
45,5/27/2021 16:00,31.574,8266.7
46,5/27/2021 17:00,30.76,6200
47,5/27/2021 18:00,29.752,1894.5
48,5/27/2021 19:00,29.652,0
49,5/27/2021 20:00,29.652,0
50,5/27/2021 21:00,29.652,0
51,5/27/2021 22:00,29.552,0
52,5/27/2021 23:00,29.452,0
53,5/28/2021 0:00,29.352,0
54,5/28/2021 1:00,29.352,0
55,5/28/2021 2:00,29.252,0
56,5/28/2021 3:00,29.152,0
57,5/28/2021 4:00,29.152,0
58,5/28/2021 5:00,29.252,0
59,5/28/2021 6:00,29.252,129.2
60,5/28/2021 7:00,29.352,1550
61,5/28/2021 8:00,29.452,3961.1
62,5/28/2021 9:00,29.652,6544.5
63,5/28/2021 10:00,29.953,9300.1
