Plot Title: 20415923,,,
#,"Date Time, GMT+10:00","Temp, °C (LGR S/N: 20415923, SEN S/N: 20415923)","Intensity, Lux (LGR S/N: 20415923, SEN S/N: 20415923)"
7,5/24/2021 12:00,31.064,30311.3
8,5/24/2021 13:00,31.88,121245.2
9,5/24/2021 14:00,30.558,28933.5
10,5/24/2021 15:00,31.064,41333.6
11,5/24/2021 16:00,30.457,9644.5
12,5/24/2021 17:00,30.255,8611.2
13,5/24/2021 18:00,29.853,2066.7
14,5/24/2021 19:00,29.752,0
15,5/24/2021 20:00,29.652,0
16,5/24/2021 21:00,29.552,0
17,5/24/2021 22:00,29.452,0
18,5/24/2021 23:00,29.452,0
19,5/25/2021 0:00,29.452,0
20,5/25/2021 1:00,29.452,0
21,5/25/2021 2:00,29.452,0
22,5/25/2021 3:00,29.452,0
23,5/25/2021 4:00,29.452,0
24,5/25/2021 5:00,29.452,0
25,5/25/2021 6:00,29.452,419.8
26,5/25/2021 7:00,29.652,3961.1
27,5/25/2021 8:00,30.255,9300.1
28,5/25/2021 9:00,30.154,15155.7
29,5/25/2021 10:00,30.356,16533.4
30,5/25/2021 11:00,31.166,21355.7
31,5/25/2021 12:00,31.574,23422.4
32,5/25/2021 13:00,32.807,52355.9
33,5/25/2021 14:00,33.326,35822.5
34,5/25/2021 15:00,31.574,8611.2
35,5/25/2021 16:00,30.457,6200
36,5/25/2021 17:00,30.255,6544.5
37,5/25/2021 18:00,29.853,2755.6
38,5/25/2021 19:00,29.552,0
39,5/25/2021 20:00,29.452,0
40,5/25/2021 21:00,29.452,0
41,5/25/2021 22:00,29.452,0
42,5/25/2021 23:00,29.452,0
43,5/26/2021 0:00,29.452,0
44,5/26/2021 1:00,29.452,0
45,5/26/2021 2:00,29.452,0
46,5/26/2021 3:00,29.452,0
47,5/26/2021 4:00,29.352,0
48,5/26/2021 5:00,29.352,0
49,5/26/2021 6:00,29.352,409
50,5/26/2021 7:00,29.552,3616.7
51,5/26/2021 8:00,29.953,9644.5
52,5/26/2021 9:00,30.255,26178
53,5/26/2021 10:00,30.963,12400.1
54,5/26/2021 11:00,31.472,26178
55,5/26/2021 12:00,31.37,46844.8
56,5/26/2021 13:00,32.497,24800.2
57,5/26/2021 14:00,33.118,31689.1
58,5/26/2021 15:00,33.953,15844.5
59,5/26/2021 16:00,31.472,19977.9
60,5/26/2021 17:00,30.356,5166.7
61,5/26/2021 18:00,29.853,3100
62,5/26/2021 19:00,29.552,0
63,5/26/2021 20:00,29.552,0
64,5/26/2021 21:00,29.452,0
65,5/26/2021 22:00,29.352,0
