Plot Title: Hap's Reef #2 (20611134),,,
#,"Date Time, GMT+10:00","Temp, °C (LGR S/N: 20611134, SEN S/N: 20611134)","Intensity, Lux (LGR S/N: 20611134, SEN S/N: 20611134)"
1,3/18/2021 11:00,17.475,10.8
2,3/18/2021 12:00,26.781,904.2
3,3/18/2021 13:00,28.754,796.5
4,3/18/2021 14:00,28.655,6544.5
5,3/18/2021 15:00,28.655,6200
6,3/18/2021 16:00,28.655,2669.5
7,3/18/2021 17:00,28.555,990.3
8,3/18/2021 18:00,28.456,204.5
9,3/18/2021 19:00,28.456,0
10,3/18/2021 20:00,28.357,0
11,3/18/2021 21:00,28.357,0
12,3/18/2021 22:00,28.357,0
13,3/18/2021 23:00,28.357,0
14,3/19/2021 0:00,28.357,0
15,3/19/2021 1:00,28.357,0
16,3/19/2021 2:00,28.357,0
17,3/19/2021 3:00,28.357,0
18,3/19/2021 4:00,28.357,0
19,3/19/2021 5:00,28.357,0
20,3/19/2021 6:00,28.357,0
21,3/19/2021 7:00,28.357,118.4
22,3/19/2021 8:00,28.456,204.5
23,3/19/2021 9:00,28.456,409
24,3/19/2021 10:00,28.555,1044.1
25,3/19/2021 11:00,28.555,667.4
26,3/19/2021 12:00,28.655,1227.1
27,3/19/2021 13:00,28.655,3444.5
28,3/19/2021 14:00,28.754,9300.1
29,3/19/2021 15:00,28.754,7577.8
30,3/19/2021 16:00,28.754,5511.1
31,3/19/2021 17:00,28.655,2066.7
32,3/19/2021 18:00,28.555,279.9
33,3/19/2021 19:00,28.456,0
34,3/19/2021 20:00,28.456,0
35,3/19/2021 21:00,28.456,0
36,3/19/2021 22:00,28.456,0
37,3/19/2021 23:00,28.456,0
38,3/20/2021 0:00,28.456,0
39,3/20/2021 1:00,28.456,0
40,3/20/2021 2:00,28.456,0
41,3/20/2021 3:00,28.456,0
42,3/20/2021 4:00,28.456,0
43,3/20/2021 5:00,28.456,0
44,3/20/2021 6:00,28.357,0
45,3/20/2021 7:00,28.357,150.7
46,3/20/2021 8:00,28.456,592
47,3/20/2021 9:00,28.456,505.9
48,3/20/2021 10:00,28.555,678.1
49,3/20/2021 11:00,28.655,1270.1
50,3/20/2021 12:00,28.655,1894.5
51,3/20/2021 13:00,28.853,3100
52,3/20/2021 14:00,28.853,3444.5
53,3/20/2021 15:00,28.853,10333.4
54,3/20/2021 16:00,28.754,6544.5
55,3/20/2021 17:00,28.555,764.2
56,3/20/2021 18:00,28.555,247.6
57,3/20/2021 19:00,28.456,0
58,3/20/2021 20:00,28.456,0
59,3/20/2021 21:00,28.456,0
60,3/20/2021 22:00,28.456,0
61,3/20/2021 23:00,28.456,0
62,3/21/2021 0:00,28.456,0
63,3/21/2021 1:00,28.456,0
64,3/21/2021 2:00,28.456,0
65,3/21/2021 3:00,28.456,0
66,3/21/2021 4:00,28.456,0
67,3/21/2021 5:00,28.456,0
68,3/21/2021 6:00,28.456,0
69,3/21/2021 7:00,28.456,161.5
70,3/21/2021 8:00,28.456,355.2
