Plot Title: Hap's #3 (20611126),,,
#,"Date Time, GMT+10:00","Temp, °C (LGR S/N: 20611126, SEN S/N: 20611126)","Intensity, Lux (LGR S/N: 20611126, SEN S/N: 20611126)"
1,3/18/2021 11:00,29.452,75.3
2,3/18/2021 12:00,28.754,925.7
3,3/18/2021 13:00,29.053,16533.4
4,3/18/2021 14:00,28.953,12400.1
5,3/18/2021 15:00,28.853,10333.4
6,3/18/2021 16:00,28.754,6544.5
7,3/18/2021 17:00,28.555,2927.8
8,3/18/2021 18:00,28.456,624.3
9,3/18/2021 19:00,28.456,0
10,3/18/2021 20:00,28.456,0
11,3/18/2021 21:00,28.357,0
12,3/18/2021 22:00,28.357,0
13,3/18/2021 23:00,28.357,0
14,3/19/2021 0:00,28.357,0
15,3/19/2021 1:00,28.357,0
16,3/19/2021 2:00,28.357,0
17,3/19/2021 3:00,28.357,0
18,3/19/2021 4:00,28.357,0
19,3/19/2021 5:00,28.357,0
20,3/19/2021 6:00,28.357,0
21,3/19/2021 7:00,28.357,430.6
22,3/19/2021 8:00,28.456,936.5
23,3/19/2021 9:00,28.655,3100
24,3/19/2021 10:00,28.853,11711.2
25,3/19/2021 11:00,28.754,3272.2
26,3/19/2021 12:00,28.953,4822.3
27,3/19/2021 13:00,28.953,13089
28,3/19/2021 14:00,29.053,14466.8
29,3/19/2021 15:00,28.953,10333.4
30,3/19/2021 16:00,28.853,5511.1
31,3/19/2021 17:00,28.655,3272.2
32,3/19/2021 18:00,28.555,581.3
33,3/19/2021 19:00,28.555,0
34,3/19/2021 20:00,28.456,0
35,3/19/2021 21:00,28.456,0
36,3/19/2021 22:00,28.456,0
37,3/19/2021 23:00,28.456,0
38,3/20/2021 0:00,28.456,0
39,3/20/2021 1:00,28.456,0
40,3/20/2021 2:00,28.456,0
41,3/20/2021 3:00,28.456,0
42,3/20/2021 4:00,28.456,0
43,3/20/2021 5:00,28.456,0
44,3/20/2021 6:00,28.456,0
45,3/20/2021 7:00,28.456,505.9
46,3/20/2021 8:00,28.456,2411.1
