"Plot Title: 10793196"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 10793196, SEN S/N: 10793196)","Intensity, Lux (LGR S/N: 10793196, SEN S/N: 10793196)","Coupler Attached (LGR S/N: 10793196)","Stopped (LGR S/N: 10793196)","End Of File (LGR S/N: 10793196)"
1,05/06/16 03:00:00 PM,30.457,16533.4,,,
2,05/06/16 03:10:00 PM,30.659,19977.9,,,
3,05/06/16 03:20:00 PM,30.457,20666.8,,,
4,05/06/16 03:30:00 PM,30.457,18600.1,,,
5,05/06/16 03:40:00 PM,30.457,26178.0,,,
6,05/06/16 03:50:00 PM,30.457,22044.6,,,
7,05/06/16 04:00:00 PM,30.760,24800.2,,,
8,05/06/16 04:10:00 PM,30.760,28933.5,,,
9,05/06/16 04:20:00 PM,30.154,15844.5,,,
10,05/06/16 04:30:00 PM,29.752,18600.1,,,
11,05/06/16 04:40:00 PM,29.652,17911.2,,,
12,05/06/16 04:50:00 PM,29.552,21355.7,,,
13,05/06/16 05:00:00 PM,29.252,7233.4,,,
14,05/06/16 05:10:00 PM,29.053,5511.1,,,
15,05/06/16 05:20:00 PM,28.853,4133.4,,,
16,05/06/16 05:30:00 PM,28.754,3444.5,,,
17,05/06/16 05:40:00 PM,28.655,3616.7,,,
18,05/06/16 05:50:00 PM,28.555,2669.5,,,
19,05/06/16 06:00:00 PM,28.456,1808.3,,,
20,05/06/16 06:10:00 PM,28.456,1345.5,,,
21,05/06/16 06:20:00 PM,28.357,742.7,,,
22,05/06/16 06:30:00 PM,28.357,516.7,,,
23,05/06/16 06:40:00 PM,28.555,107.6,,,
24,05/06/16 06:50:00 PM,28.456,10.8,,,
25,05/06/16 07:00:00 PM,28.357,0.0,,,
26,05/06/16 07:10:00 PM,28.456,0.0,,,
27,05/06/16 07:20:00 PM,28.456,0.0,,,
28,05/06/16 07:30:00 PM,28.357,0.0,,,
29,05/06/16 07:40:00 PM,28.357,0.0,,,
30,05/06/16 07:50:00 PM,28.258,0.0,,,
31,05/06/16 08:00:00 PM,28.258,0.0,,,
32,05/06/16 08:10:00 PM,28.258,0.0,,,
33,05/06/16 08:20:00 PM,28.258,0.0,,,
34,05/06/16 08:30:00 PM,28.159,0.0,,,
35,05/06/16 08:40:00 PM,28.060,0.0,,,
36,05/06/16 08:50:00 PM,28.060,0.0,,,
37,05/06/16 09:00:00 PM,27.961,0.0,,,
38,05/06/16 09:10:00 PM,27.961,0.0,,,
39,05/06/16 09:20:00 PM,27.961,0.0,,,
40,05/06/16 09:30:00 PM,27.961,0.0,,,
41,05/06/16 09:40:00 PM,27.961,0.0,,,
42,05/06/16 09:50:00 PM,27.862,0.0,,,
43,05/06/16 10:00:00 PM,27.862,0.0,,,
44,05/06/16 10:10:00 PM,27.862,0.0,,,
45,05/06/16 10:20:00 PM,27.862,0.0,,,
46,05/06/16 10:30:00 PM,27.862,0.0,,,
47,05/06/16 10:40:00 PM,27.862,0.0,,,
48,05/06/16 10:50:00 PM,27.862,0.0,,,
49,05/06/16 11:00:00 PM,27.862,0.0,,,
50,05/06/16 11:10:00 PM,27.862,0.0,,,
51,05/06/16 11:20:00 PM,27.764,0.0,,,
52,05/06/16 11:30:00 PM,27.764,0.0,,,
53,05/06/16 11:40:00 PM,27.665,0.0,,,
54,05/06/16 11:50:00 PM,27.665,0.0,,,
55,05/07/16 12:00:00 AM,27.665,0.0,,,
