"Plot Title: 10793196"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 10793196, SEN S/N: 10793196)","Intensity, Lux (LGR S/N: 10793196, SEN S/N: 10793196)","Coupler Attached (LGR S/N: 10793196)","Coupler Detached (LGR S/N: 10793196)","Stopped (LGR S/N: 10793196)","End Of File (LGR S/N: 10793196)"
1,12/09/16 03:40:00 PM,30.255,3272.2,,,,
2,12/09/16 03:50:00 PM,30.255,4133.4,,,,
3,12/09/16 04:00:00 PM,30.154,2927.8,,,,
4,12/09/16 04:10:00 PM,30.054,12400.1,,,,
5,12/09/16 04:20:00 PM,30.154,3961.1,,,,
6,12/09/16 04:30:00 PM,30.054,2411.1,,,,
7,12/09/16 04:40:00 PM,29.853,2066.7,,,,
8,12/09/16 04:50:00 PM,29.853,3444.5,,,,
9,12/09/16 05:00:00 PM,29.752,2583.4,,,,
10,12/09/16 05:10:00 PM,29.552,1808.3,,,,
11,12/09/16 05:20:00 PM,29.552,1237.9,,,,
12,12/09/16 05:30:00 PM,29.652,1022.6,,,,
13,12/09/16 05:40:00 PM,29.452,678.1,,,,
14,12/09/16 05:50:00 PM,29.452,322.9,,,,
15,12/09/16 06:00:00 PM,29.452,96.9,,,,
16,12/09/16 06:10:00 PM,29.352,0.0,,,,
17,12/09/16 06:20:00 PM,29.452,0.0,,,,
18,12/09/16 06:30:00 PM,29.252,0.0,,,,
19,12/09/16 06:40:00 PM,29.252,0.0,,,,
20,12/09/16 06:50:00 PM,29.152,0.0,,,,
21,12/09/16 07:00:00 PM,29.152,0.0,,,,
22,12/09/16 07:10:00 PM,29.053,0.0,,,,
23,12/09/16 07:20:00 PM,29.053,0.0,,,,
24,12/09/16 07:30:00 PM,29.053,0.0,,,,
25,12/09/16 07:40:00 PM,28.953,0.0,,,,
26,12/09/16 07:50:00 PM,28.853,0.0,,,,
27,12/09/16 08:00:00 PM,28.953,0.0,,,,
28,12/09/16 08:10:00 PM,28.853,0.0,,,,
29,12/09/16 08:20:00 PM,28.853,0.0,,,,
30,12/09/16 08:30:00 PM,28.754,0.0,,,,
31,12/09/16 08:40:00 PM,28.754,0.0,,,,
32,12/09/16 08:50:00 PM,28.754,0.0,,,,
33,12/09/16 09:00:00 PM,28.655,0.0,,,,
34,12/09/16 09:10:00 PM,28.655,0.0,,,,
35,12/09/16 09:20:00 PM,28.655,0.0,,,,
36,12/09/16 09:30:00 PM,28.555,0.0,,,,
37,12/09/16 09:40:00 PM,28.555,0.0,,,,
38,12/09/16 09:50:00 PM,28.456,0.0,,,,
39,12/09/16 10:00:00 PM,28.456,0.0,,,,
40,12/09/16 10:10:00 PM,28.357,0.0,,,,
41,12/09/16 10:20:00 PM,28.357,0.0,,,,
42,12/09/16 10:30:00 PM,28.258,0.0,,,,
43,12/09/16 10:40:00 PM,28.258,0.0,,,,
44,12/09/16 10:50:00 PM,28.258,0.0,,,,
45,12/09/16 11:00:00 PM,28.159,0.0,,,,
46,12/09/16 11:10:00 PM,28.159,0.0,,,,
47,12/09/16 11:20:00 PM,28.159,0.0,,,,
