"Plot Title: 10994952_Piti_Light"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 10994952, SEN S/N: 10994952)","Intensity, Lux (LGR S/N: 10994952, SEN S/N: 10994952)","Coupler Attached (LGR S/N: 10994952)","Stopped (LGR S/N: 10994952)","End Of File (LGR S/N: 10994952)"
1,04/25/17 10:00:00 AM,27.862,2583.4,,,
2,04/25/17 10:10:00 AM,28.754,322.9,,,
3,04/25/17 10:20:00 AM,29.552,20666.8,,,
4,04/25/17 10:30:00 AM,28.258,172.2,,,
5,04/25/17 10:40:00 AM,29.053,1108.7,,,
6,04/25/17 10:50:00 AM,29.352,1367.0,,,
7,04/25/17 11:00:00 AM,30.558,88178.4,,,
8,04/25/17 11:10:00 AM,31.676,99200.7,,,
9,04/25/17 11:20:00 AM,30.862,26178.0,,,
10,04/25/17 11:30:00 AM,31.370,55111.5,,,
11,04/25/17 11:40:00 AM,31.064,46844.8,,,
12,04/25/17 11:50:00 AM,31.778,66133.8,,,
13,04/25/17 12:00:00 PM,31.676,74400.5,,,
14,04/25/17 12:10:00 PM,31.983,34444.7,,,
15,04/25/17 12:20:00 PM,31.778,41333.6,,,
16,04/25/17 12:30:00 PM,31.574,41333.6,,,
17,04/25/17 12:40:00 PM,31.778,46844.8,,,
18,04/25/17 12:50:00 PM,31.676,33066.9,,,
19,04/25/17 01:00:00 PM,32.704,71644.9,,,
20,04/25/17 01:10:00 PM,32.188,28933.5,,,
21,04/25/17 01:20:00 PM,31.370,12400.1,,,
22,04/25/17 01:30:00 PM,31.268,8266.7,,,
23,04/25/17 01:40:00 PM,31.268,11711.2,,,
24,04/25/17 01:50:00 PM,31.268,12400.1,,,
25,04/25/17 02:00:00 PM,31.268,11022.3,,,
26,04/25/17 02:10:00 PM,31.268,11711.2,,,
27,04/25/17 02:20:00 PM,31.268,13777.9,,,
28,04/25/17 02:30:00 PM,31.166,15155.7,,,
29,04/25/17 02:40:00 PM,31.268,17222.3,,,
30,04/25/17 02:50:00 PM,31.166,13089.0,,,
31,04/25/17 03:00:00 PM,30.457,8266.7,,,
32,04/25/17 03:10:00 PM,30.154,13089.0,,,
33,04/25/17 03:20:00 PM,30.054,15844.5,,,
34,04/25/17 03:30:00 PM,29.953,14466.8,,,
35,04/25/17 03:40:00 PM,29.853,11022.3,,,
36,04/25/17 03:50:00 PM,29.752,9644.5,,,
37,04/25/17 04:00:00 PM,29.752,10333.4,,,
38,04/25/17 04:10:00 PM,29.752,10677.8,,,
39,04/25/17 04:20:00 PM,29.752,11711.2,,,
40,04/25/17 04:30:00 PM,29.752,16533.4,,,
41,04/25/17 04:40:00 PM,29.752,12400.1,,,
42,04/25/17 04:50:00 PM,29.652,8266.7,,,
43,04/25/17 05:00:00 PM,29.552,5166.7,,,
44,04/25/17 05:10:00 PM,29.552,4305.6,,,
45,04/25/17 05:20:00 PM,29.452,2497.2,,,
46,04/25/17 05:30:00 PM,29.452,3100.0,,,
47,04/25/17 05:40:00 PM,29.452,2325.0,,,
48,04/25/17 05:50:00 PM,29.452,484.4,,,
49,04/25/17 06:00:00 PM,29.352,204.5,,,
50,04/25/17 06:10:00 PM,29.252,75.3,,,
51,04/25/17 06:20:00 PM,29.252,32.3,,,
52,04/25/17 06:30:00 PM,29.152,10.8,,,
53,04/25/17 06:40:00 PM,29.152,0.0,,,
54,04/25/17 06:50:00 PM,29.152,0.0,,,
55,04/25/17 07:00:00 PM,29.152,0.0,,,
56,04/25/17 07:10:00 PM,29.152,0.0,,,
57,04/25/17 07:20:00 PM,29.152,0.0,,,
