Plot Title: Piti Outplant 20 (20611130),,,
#,"Date Time, GMT+10:00","Temp, °C (LGR S/N: 20611130, SEN S/N: 20611130)","Intensity, Lux (LGR S/N: 20611130, SEN S/N: 20611130)"
1,5/28/2020 13:00,30.963,0
2,5/28/2020 14:00,31.472,37200.2
3,5/28/2020 15:00,31.778,37200.2
4,5/28/2020 16:00,31.676,44089.2
5,5/28/2020 17:00,31.268,19977.9
6,5/28/2020 18:00,30.154,12400.1
7,5/28/2020 19:00,29.352,21.5
8,5/28/2020 20:00,29.552,0
9,5/28/2020 21:00,29.452,0
10,5/28/2020 22:00,29.252,0
11,5/28/2020 23:00,29.152,0
12,5/29/2020 0:00,29.152,0
13,5/29/2020 1:00,29.152,0
14,5/29/2020 2:00,29.053,0
15,5/29/2020 3:00,29.053,0
16,5/29/2020 4:00,29.152,0
17,5/29/2020 5:00,29.152,0
18,5/29/2020 6:00,29.152,430.6
19,5/29/2020 7:00,29.352,3616.7
20,5/29/2020 8:00,29.752,8611.2
21,5/29/2020 9:00,30.054,13777.9
22,5/29/2020 10:00,30.457,13089
23,5/29/2020 11:00,29.853,8266.7
24,5/29/2020 12:00,30.558,22044.6
25,5/29/2020 13:00,31.064,104711.8
26,5/29/2020 14:00,30.76,18600.1
27,5/29/2020 15:00,30.76,68889.3
28,5/29/2020 16:00,30.457,11711.2
29,5/29/2020 17:00,30.659,26178
30,5/29/2020 18:00,29.853,7233.4
31,5/29/2020 19:00,29.252,32.3
32,5/29/2020 20:00,28.456,0
33,5/29/2020 21:00,29.252,0
34,5/29/2020 22:00,29.452,0
35,5/29/2020 23:00,29.452,0
36,5/30/2020 0:00,29.452,0
37,5/30/2020 1:00,29.352,0
38,5/30/2020 2:00,29.252,0
39,5/30/2020 3:00,29.352,0
40,5/30/2020 4:00,29.252,0
41,5/30/2020 5:00,29.252,0
42,5/30/2020 6:00,29.252,258.3
43,5/30/2020 7:00,29.352,3272.2
44,5/30/2020 8:00,29.652,9644.5
45,5/30/2020 9:00,30.054,20666.8
46,5/30/2020 10:00,29.752,18600.1
47,5/30/2020 11:00,30.154,19289
48,5/30/2020 12:00,30.356,28933.5
49,5/30/2020 13:00,30.054,20666.8
50,5/30/2020 14:00,30.659,30311.3
51,5/30/2020 15:00,29.853,19289
52,5/30/2020 16:00,30.963,35822.5
