"Plot Title: 20611126"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 20611126, SEN S/N: 20611126)","Intensity, Lux (LGR S/N: 20611126, SEN S/N: 20611126)","Host Connected (LGR S/N: 20611126)","Coupler Attached (LGR S/N: 20611126)","Stopped (LGR S/N: 20611126)","End Of File (LGR S/N: 20611126)"
1,07/12/19 09:00:00 AM,24.641,1463.9,,,,
2,07/12/19 10:00:00 AM,30.760,26178.0,,,,
3,07/12/19 11:00:00 AM,31.472,121245.2,,,,
4,07/12/19 12:00:00 PM,31.574,220445.9,,,,
5,07/12/19 01:00:00 PM,31.574,93689.5,,,,
6,07/12/19 02:00:00 PM,31.472,33066.9,,,,
7,07/12/19 03:00:00 PM,31.166,46844.8,,,,
8,07/12/19 04:00:00 PM,30.963,33066.9,,,,
9,07/12/19 05:00:00 PM,30.760,20666.8,,,,
10,07/12/19 06:00:00 PM,30.356,2411.1,,,,
11,07/12/19 07:00:00 PM,30.255,32.3,,,,
12,07/12/19 08:00:00 PM,30.356,0.0,,,,
13,07/12/19 09:00:00 PM,30.255,0.0,,,,
14,07/12/19 10:00:00 PM,30.255,0.0,,,,
15,07/12/19 11:00:00 PM,30.154,0.0,,,,
16,07/13/19 12:00:00 AM,30.154,0.0,,,,
17,07/13/19 01:00:00 AM,30.154,0.0,,,,
18,07/13/19 02:00:00 AM,30.154,0.0,,,,
19,07/13/19 03:00:00 AM,30.154,0.0,,,,
20,07/13/19 04:00:00 AM,30.054,0.0,,,,
21,07/13/19 05:00:00 AM,30.054,0.0,,,,
22,07/13/19 06:00:00 AM,30.054,43.1,,,,
23,07/13/19 07:00:00 AM,30.154,3961.1,,,,
24,07/13/19 08:00:00 AM,30.457,13089.0,,,,
25,07/13/19 09:00:00 AM,30.862,27555.7,,,,
26,07/13/19 10:00:00 AM,31.370,132267.5,,,,
27,07/13/19 11:00:00 AM,31.370,55111.5,,,,
28,07/13/19 12:00:00 PM,31.778,33066.9,,,,
29,07/13/19 01:00:00 PM,32.394,41333.6,,,,
30,07/13/19 02:00:00 PM,31.676,55111.5,,,,
31,07/13/19 03:00:00 PM,31.166,44089.2,,,,
32,07/13/19 04:00:00 PM,30.659,14466.8,,,,
33,07/13/19 05:00:00 PM,30.558,4133.4,,,,
34,07/13/19 06:00:00 PM,30.255,818.1,,,,
35,07/13/19 07:00:00 PM,30.154,21.5,,,,
36,07/13/19 08:00:00 PM,30.154,0.0,,,,
37,07/13/19 09:00:00 PM,30.154,0.0,,,,
38,07/13/19 10:00:00 PM,30.154,0.0,,,,
39,07/13/19 11:00:00 PM,30.154,0.0,,,,
40,07/14/19 12:00:00 AM,30.154,0.0,,,,
41,07/14/19 01:00:00 AM,30.054,0.0,,,,
42,07/14/19 02:00:00 AM,30.054,0.0,,,,
43,07/14/19 03:00:00 AM,30.054,0.0,,,,
44,07/14/19 04:00:00 AM,29.953,0.0,,,,
45,07/14/19 05:00:00 AM,30.054,0.0,,,,
46,07/14/19 06:00:00 AM,29.953,96.9,,,,
47,07/14/19 07:00:00 AM,29.953,2927.8,,,,
48,07/14/19 08:00:00 AM,30.356,12400.1,,,,
49,07/14/19 09:00:00 AM,30.862,17222.3,,,,
50,07/14/19 10:00:00 AM,31.370,19289.0,,,,
51,07/14/19 11:00:00 AM,31.778,82667.2,,,,
52,07/14/19 12:00:00 PM,32.394,110223.0,,,,
53,07/14/19 01:00:00 PM,31.983,82667.2,,,,
54,07/14/19 02:00:00 PM,31.166,27555.7,,,,
55,07/14/19 03:00:00 PM,31.574,44089.2,,,,
56,07/14/19 04:00:00 PM,30.963,19977.9,,,,
57,07/14/19 05:00:00 PM,30.862,38578.0,,,,
58,07/14/19 06:00:00 PM,30.760,5166.7,,,,
