"Plot Title: 20416034"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 20416034, SEN S/N: 20416034)","Intensity, Lux (LGR S/N: 20416034, SEN S/N: 20416034)","Coupler Attached (LGR S/N: 20416034)","Host Connected (LGR S/N: 20416034)","Stopped (LGR S/N: 20416034)","End Of File (LGR S/N: 20416034)"
1,07/12/19 09:00:00 AM,24.351,53.8,,,,
2,07/12/19 10:00:00 AM,30.963,2669.5,,,,
3,07/12/19 11:00:00 AM,31.574,26178.0,,,,
4,07/12/19 12:00:00 PM,31.676,30311.3,,,,
5,07/12/19 01:00:00 PM,31.778,88178.4,,,,
6,07/12/19 02:00:00 PM,31.574,13777.9,,,,
7,07/12/19 03:00:00 PM,31.778,82667.2,,,,
8,07/12/19 04:00:00 PM,31.166,23422.4,,,,
9,07/12/19 05:00:00 PM,30.760,9300.1,,,,
10,07/12/19 06:00:00 PM,30.356,2238.9,,,,
11,07/12/19 07:00:00 PM,30.255,21.5,,,,
12,07/12/19 08:00:00 PM,30.255,0.0,,,,
13,07/12/19 09:00:00 PM,30.255,0.0,,,,
14,07/12/19 10:00:00 PM,30.255,0.0,,,,
15,07/12/19 11:00:00 PM,30.154,0.0,,,,
16,07/13/19 12:00:00 AM,30.054,0.0,,,,
17,07/13/19 01:00:00 AM,30.054,0.0,,,,
18,07/13/19 02:00:00 AM,30.154,0.0,,,,
19,07/13/19 03:00:00 AM,30.054,0.0,,,,
20,07/13/19 04:00:00 AM,30.054,0.0,,,,
21,07/13/19 05:00:00 AM,30.054,0.0,,,,
22,07/13/19 06:00:00 AM,29.953,32.3,,,,
23,07/13/19 07:00:00 AM,30.154,3788.9,,,,
24,07/13/19 08:00:00 AM,30.356,12400.1,,,,
25,07/13/19 09:00:00 AM,30.862,23422.4,,,,
26,07/13/19 10:00:00 AM,31.574,46844.8,,,,
27,07/13/19 11:00:00 AM,31.472,44089.2,,,,
28,07/13/19 12:00:00 PM,31.778,24800.2,,,,
29,07/13/19 01:00:00 PM,32.394,34444.7,,,,
30,07/13/19 02:00:00 PM,31.676,46844.8,,,,
31,07/13/19 03:00:00 PM,31.370,30311.3,,,,
32,07/13/19 04:00:00 PM,30.862,14466.8,,,,
33,07/13/19 05:00:00 PM,30.558,3961.1,,,,
34,07/13/19 06:00:00 PM,30.255,667.4,,,,
35,07/13/19 07:00:00 PM,30.154,21.5,,,,
36,07/13/19 08:00:00 PM,30.054,0.0,,,,
37,07/13/19 09:00:00 PM,30.054,0.0,,,,
38,07/13/19 10:00:00 PM,30.054,0.0,,,,
39,07/13/19 11:00:00 PM,30.054,0.0,,,,
40,07/14/19 12:00:00 AM,30.054,0.0,,,,
41,07/14/19 01:00:00 AM,29.953,0.0,,,,
42,07/14/19 02:00:00 AM,30.054,0.0,,,,
43,07/14/19 03:00:00 AM,30.054,0.0,,,,
44,07/14/19 04:00:00 AM,30.054,0.0,,,,
45,07/14/19 05:00:00 AM,29.953,0.0,,,,
46,07/14/19 06:00:00 AM,29.953,86.1,,,,
47,07/14/19 07:00:00 AM,30.054,2927.8,,,,
48,07/14/19 08:00:00 AM,30.356,26178.0,,,,
49,07/14/19 09:00:00 AM,30.963,22044.6,,,,
50,07/14/19 10:00:00 AM,31.676,19977.9,,,,
51,07/14/19 11:00:00 AM,31.983,26178.0,,,,
52,07/14/19 12:00:00 PM,32.497,57867.0,,,,
53,07/14/19 01:00:00 PM,31.983,46844.8,,,,
54,07/14/19 02:00:00 PM,31.064,20666.8,,,,
55,07/14/19 03:00:00 PM,31.676,52355.9,,,,
56,07/14/19 04:00:00 PM,30.963,21355.7,,,,
57,07/14/19 05:00:00 PM,31.064,15155.7,,,,
58,07/14/19 06:00:00 PM,30.457,5166.7,,,,
59,07/14/19 07:00:00 PM,30.154,21.5,,,,
60,07/14/19 08:00:00 PM,30.054,0.0,,,,
61,07/14/19 09:00:00 PM,30.054,0.0,,,,
62,07/14/19 10:00:00 PM,30.154,0.0,,,,
63,07/14/19 11:00:00 PM,30.054,0.0,,,,
64,07/15/19 12:00:00 AM,30.054,0.0,,,,
65,07/15/19 01:00:00 AM,30.054,0.0,,,,
66,07/15/19 02:00:00 AM,29.953,0.0,,,,
67,07/15/19 03:00:00 AM,30.054,0.0,,,,
68,07/15/19 04:00:00 AM,29.953,0.0,,,,
69,07/15/19 05:00:00 AM,30.054,0.0,,,,
70,07/15/19 06:00:00 AM,30.154,53.8,,,,
71,07/15/19 07:00:00 AM,30.154,1722.2,,,,
72,07/15/19 08:00:00 AM,30.255,3272.2,,,,
73,07/15/19 09:00:00 AM,30.255,2583.4,,,,
74,07/15/19 10:00:00 AM,30.963,30311.3,,,,
75,07/15/19 11:00:00 AM,30.963,23422.4,,,,
76,07/15/19 12:00:00 PM,32.086,42711.4,,,,
77,07/15/19 01:00:00 PM,33.118,74400.5,,,,
78,07/15/19 02:00:00 PM,32.394,71644.9,,,,
79,07/15/19 03:00:00 PM,32.394,79911.6,,,,
80,07/15/19 04:00:00 PM,31.676,35822.5,,,,
81,07/15/19 05:00:00 PM,30.356,2411.1,,,,
82,07/15/19 06:00:00 PM,30.255,2669.5,,,,
83,07/15/19 07:00:00 PM,30.154,0.0,,,,
84,07/15/19 08:00:00 PM,30.356,0.0,,,,
85,07/15/19 09:00:00 PM,30.154,0.0,,,,
86,07/15/19 10:00:00 PM,30.154,0.0,,,,
87,07/15/19 11:00:00 PM,30.154,0.0,,,,
88,07/16/19 12:00:00 AM,30.154,0.0,,,,
89,07/16/19 01:00:00 AM,30.154,0.0,,,,
90,07/16/19 02:00:00 AM,30.054,0.0,,,,
91,07/16/19 03:00:00 AM,29.953,0.0,,,,
92,07/16/19 04:00:00 AM,29.953,0.0,,,,
93,07/16/19 05:00:00 AM,29.953,0.0,,,,
94,07/16/19 06:00:00 AM,30.054,32.3,,,,
95,07/16/19 07:00:00 AM,30.054,1377.8,,,,
96,07/16/19 08:00:00 AM,30.356,7577.8,,,,
97,07/16/19 09:00:00 AM,30.457,12400.1,,,,
98,07/16/19 10:00:00 AM,30.255,6200.0,,,,
99,07/16/19 11:00:00 AM,30.457,14466.8,,,,
100,07/16/19 12:00:00 PM,31.166,28933.5,,,,
101,07/16/19 01:00:00 PM,32.086,55111.5,,,,
102,07/16/19 02:00:00 PM,32.807,71644.9,,,,
103,07/16/19 03:00:00 PM,31.166,17911.2,,,,
104,07/16/19 04:00:00 PM,30.862,14466.8,,,,
105,07/16/19 05:00:00 PM,30.356,7577.8,,,,
106,07/16/19 06:00:00 PM,30.255,3788.9,,,,
107,07/16/19 07:00:00 PM,30.255,21.5,,,,
108,07/16/19 08:00:00 PM,30.154,0.0,,,,
109,07/16/19 09:00:00 PM,30.154,0.0,,,,
110,07/16/19 10:00:00 PM,30.154,0.0,,,,
111,07/16/19 11:00:00 PM,30.154,0.0,,,,
112,07/17/19 12:00:00 AM,30.054,0.0,,,,
113,07/17/19 01:00:00 AM,30.154,0.0,,,,
114,07/17/19 02:00:00 AM,30.054,0.0,,,,
115,07/17/19 03:00:00 AM,30.054,0.0,,,,
116,07/17/19 04:00:00 AM,30.054,0.0,,,,
117,07/17/19 05:00:00 AM,30.154,0.0,,,,
118,07/17/19 06:00:00 AM,30.154,96.9,,,,
119,07/17/19 07:00:00 AM,30.255,6544.5,,,,
120,07/17/19 08:00:00 AM,30.760,23422.4,,,,
121,07/17/19 09:00:00 AM,31.268,66133.8,,,,
122,07/17/19 10:00:00 AM,31.676,12400.1,,,,
123,07/17/19 11:00:00 AM,31.983,18600.1,,,,
124,07/17/19 12:00:00 PM,32.291,55111.5,,,,
125,07/17/19 01:00:00 PM,32.394,66133.8,,,,
126,07/17/19 02:00:00 PM,32.807,68889.3,,,,
127,07/17/19 03:00:00 PM,32.086,26178.0,,,,
128,07/17/19 04:00:00 PM,31.574,42711.4,,,,
129,07/17/19 05:00:00 PM,31.268,11711.2,,,,
130,07/17/19 06:00:00 PM,31.064,6544.5,,,,
131,07/17/19 07:00:00 PM,30.659,21.5,,,,
132,07/17/19 08:00:00 PM,30.457,0.0,,,,
133,07/17/19 09:00:00 PM,30.457,0.0,,,,
134,07/17/19 10:00:00 PM,30.457,0.0,,,,
135,07/17/19 11:00:00 PM,30.457,0.0,,,,
136,07/18/19 12:00:00 AM,30.356,0.0,,,,
137,07/18/19 01:00:00 AM,30.255,0.0,,,,
138,07/18/19 02:00:00 AM,30.154,0.0,,,,
139,07/18/19 03:00:00 AM,30.054,0.0,,,,
140,07/18/19 04:00:00 AM,30.154,0.0,,,,
141,07/18/19 05:00:00 AM,30.054,0.0,,,,
