"Plot Title: 10766779"
"#","Date Time, GMT+10:00","Abs Pres, kPa (LGR S/N: 10766779, SEN S/N: 10766779)","Temp, °C (LGR S/N: 10766779, SEN S/N: 10766779)","Coupler Detached (LGR S/N: 10766779)","Coupler Attached (LGR S/N: 10766779)","Stopped (LGR S/N: 10766779)","End Of File (LGR S/N: 10766779)"
1,07/07/16 03:00:00 PM,106.802,32.394,Logged,,,
2,07/07/16 03:10:00 PM,106.663,32.600,,,,
3,07/07/16 03:20:00 PM,106.489,32.497,,,,
4,07/07/16 03:30:00 PM,106.648,32.497,,,,
5,07/07/16 03:40:00 PM,106.584,32.497,,,,
6,07/07/16 03:50:00 PM,106.701,32.497,,,,
7,07/07/16 04:00:00 PM,106.769,32.600,,,,
8,07/07/16 04:10:00 PM,106.705,32.600,,,,
9,07/07/16 04:20:00 PM,106.858,32.704,,,,
10,07/07/16 04:30:00 PM,106.943,32.704,,,,
11,07/07/16 04:40:00 PM,107.039,32.704,,,,
12,07/07/16 04:50:00 PM,107.177,32.704,,,,
13,07/07/16 05:00:00 PM,107.315,32.704,,,,
14,07/07/16 05:10:00 PM,107.622,32.704,,,,
15,07/07/16 05:20:00 PM,107.728,32.704,,,,
16,07/07/16 05:30:00 PM,108.025,32.704,,,,
17,07/07/16 05:40:00 PM,108.174,32.704,,,,
18,07/07/16 05:50:00 PM,108.488,32.600,,,,
19,07/07/16 06:00:00 PM,108.795,32.600,,,,
20,07/07/16 06:10:00 PM,109.045,32.497,,,,
21,07/07/16 06:20:00 PM,109.465,32.394,,,,
22,07/07/16 06:30:00 PM,109.529,32.394,,,,
23,07/07/16 06:40:00 PM,109.885,32.291,,,,
24,07/07/16 06:50:00 PM,110.156,32.188,,,,
25,07/07/16 07:00:00 PM,110.555,32.086,,,,
26,07/07/16 07:10:00 PM,110.758,31.676,,,,
27,07/07/16 07:20:00 PM,111.318,31.166,,,,
28,07/07/16 07:30:00 PM,111.522,30.558,,,,
29,07/07/16 07:40:00 PM,111.832,30.154,,,,
30,07/07/16 07:50:00 PM,112.242,29.853,,,,
31,07/07/16 08:00:00 PM,112.459,29.752,,,,
32,07/07/16 08:10:00 PM,113.261,29.652,,,,
33,07/07/16 08:20:00 PM,113.176,29.652,,,,
34,07/07/16 08:30:00 PM,113.325,29.652,,,,
35,07/07/16 08:40:00 PM,113.473,29.652,,,,
36,07/07/16 08:50:00 PM,113.887,29.652,,,,
37,07/07/16 09:00:00 PM,113.691,29.552,,,,
38,07/07/16 09:10:00 PM,114.052,29.552,,,,
39,07/07/16 09:20:00 PM,114.200,29.552,,,,
40,07/07/16 09:30:00 PM,114.636,29.552,,,,
41,07/07/16 09:40:00 PM,114.179,29.552,,,,
42,07/07/16 09:50:00 PM,114.185,29.452,,,,
43,07/07/16 10:00:00 PM,114.928,29.452,,,,
44,07/07/16 10:10:00 PM,114.418,29.452,,,,
45,07/07/16 10:20:00 PM,114.949,29.452,,,,
46,07/07/16 10:30:00 PM,114.747,29.452,,,,
47,07/07/16 10:40:00 PM,114.705,29.452,,,,
48,07/07/16 10:50:00 PM,114.567,29.452,,,,
49,07/07/16 11:00:00 PM,115.225,29.452,,,,
50,07/07/16 11:10:00 PM,114.573,29.352,,,,
51,07/07/16 11:20:00 PM,114.647,29.352,,,,
52,07/07/16 11:30:00 PM,114.785,29.352,,,,
53,07/07/16 11:40:00 PM,114.647,29.352,,,,
54,07/07/16 11:50:00 PM,114.413,29.352,,,,
55,07/08/16 12:00:00 AM,114.201,29.352,,,,
56,07/08/16 12:10:00 AM,114.047,29.252,,,,
57,07/08/16 12:20:00 AM,114.217,29.252,,,,
58,07/08/16 12:30:00 AM,114.249,29.252,,,,
59,07/08/16 12:40:00 AM,113.523,29.152,,,,
60,07/08/16 12:50:00 AM,113.629,29.152,,,,
61,07/08/16 01:00:00 AM,113.480,29.152,,,,
62,07/08/16 01:10:00 AM,113.321,29.152,,,,
63,07/08/16 01:20:00 AM,112.732,29.252,,,,
64,07/08/16 01:30:00 AM,112.849,29.252,,,,
65,07/08/16 01:40:00 AM,112.689,29.252,,,,
66,07/08/16 01:50:00 AM,112.382,29.252,,,,
67,07/08/16 02:00:00 AM,112.276,29.252,,,,
68,07/08/16 02:10:00 AM,112.302,29.352,,,,
69,07/08/16 02:20:00 AM,112.270,29.352,,,,
70,07/08/16 02:30:00 AM,111.920,29.352,,,,
71,07/08/16 02:40:00 AM,112.042,29.252,,,,
72,07/08/16 02:50:00 AM,111.968,29.252,,,,
73,07/08/16 03:00:00 AM,111.645,29.152,,,,
74,07/08/16 03:10:00 AM,111.825,29.152,,,,
75,07/08/16 03:20:00 AM,111.825,29.152,,,,
76,07/08/16 03:30:00 AM,111.613,29.152,,,,
77,07/08/16 03:40:00 AM,111.513,29.053,,,,
78,07/08/16 03:50:00 AM,111.545,29.053,,,,
79,07/08/16 04:00:00 AM,111.555,29.053,,,,
