"Plot Title: 10766779"
"#","Date Time, GMT+10:00","Abs Pres, kPa (LGR S/N: 10766779, SEN S/N: 10766779)","Temp, °C (LGR S/N: 10766779, SEN S/N: 10766779)","Coupler Detached (LGR S/N: 10766779)","Coupler Attached (LGR S/N: 10766779)","Stopped (LGR S/N: 10766779)","End Of File (LGR S/N: 10766779)"
1,12/06/16 12:20:00 PM,162.516,29.252,Logged,,,
2,12/06/16 12:30:00 PM,162.537,29.552,,,,
3,12/06/16 12:40:00 PM,162.544,29.652,,,,
4,12/06/16 12:50:00 PM,162.544,29.652,,,,
5,12/06/16 01:00:00 PM,162.551,29.752,,,,
6,12/06/16 01:10:00 PM,162.551,29.752,,,,
7,12/06/16 01:20:00 PM,162.551,29.752,,,,
8,12/06/16 01:30:00 PM,162.551,29.752,,,,
9,12/06/16 01:40:00 PM,162.551,29.752,,,,
10,12/06/16 01:50:00 PM,162.551,29.752,,,,
11,12/06/16 02:00:00 PM,162.540,29.752,,,,
12,12/06/16 02:10:00 PM,162.540,29.752,,,,
13,12/06/16 02:20:00 PM,162.551,29.752,,,,
14,12/06/16 02:30:00 PM,162.533,29.652,,,,
15,12/06/16 02:40:00 PM,162.544,29.652,,,,
16,12/06/16 02:50:00 PM,162.533,29.652,,,,
17,12/06/16 03:00:00 PM,162.544,29.652,,,,
18,12/06/16 03:10:00 PM,162.533,29.652,,,,
19,12/06/16 03:20:00 PM,162.533,29.652,,,,
20,12/06/16 03:30:00 PM,162.540,29.752,,,,
21,12/06/16 03:40:00 PM,162.540,29.752,,,,
22,12/06/16 03:50:00 PM,162.533,29.652,,,,
23,12/06/16 04:00:00 PM,162.526,29.552,,,,
24,12/06/16 04:10:00 PM,162.533,29.652,,,,
25,12/06/16 04:20:00 PM,162.526,29.552,,,,
26,12/06/16 04:30:00 PM,162.526,29.552,,,,
27,12/06/16 04:40:00 PM,162.519,29.452,,,,
28,12/06/16 04:50:00 PM,162.519,29.452,,,,
29,12/06/16 05:00:00 PM,162.512,29.352,,,,
30,12/06/16 05:10:00 PM,162.505,29.252,,,,
31,12/06/16 05:20:00 PM,162.505,29.252,,,,
32,12/06/16 05:30:00 PM,162.498,29.152,,,,
33,12/06/16 05:40:00 PM,162.487,29.152,,,,
34,12/06/16 05:50:00 PM,162.498,29.152,,,,
35,12/06/16 06:00:00 PM,162.491,29.053,,,,
36,12/06/16 06:10:00 PM,162.491,29.053,,,,
37,12/06/16 06:20:00 PM,162.473,28.953,,,,
38,12/06/16 06:30:00 PM,162.473,28.953,,,,
39,12/06/16 06:40:00 PM,162.484,28.953,,,,
40,12/06/16 06:50:00 PM,162.484,28.953,,,,
41,12/06/16 07:00:00 PM,162.473,28.953,,,,
42,12/06/16 07:10:00 PM,162.466,28.853,,,,
43,12/06/16 07:20:00 PM,162.477,28.853,,,,
44,12/06/16 07:30:00 PM,162.477,28.853,,,,
45,12/06/16 07:40:00 PM,162.466,28.853,,,,
46,12/06/16 07:50:00 PM,162.470,28.754,,,,
47,12/06/16 08:00:00 PM,162.459,28.754,,,,
48,12/06/16 08:10:00 PM,162.477,28.853,,,,
49,12/06/16 08:20:00 PM,162.477,28.853,,,,
50,12/06/16 08:30:00 PM,162.477,28.853,,,,
51,12/06/16 08:40:00 PM,162.470,28.754,,,,
52,12/06/16 08:50:00 PM,162.470,28.754,,,,
53,12/06/16 09:00:00 PM,162.477,28.853,,,,
54,12/06/16 09:10:00 PM,162.470,28.754,,,,
55,12/06/16 09:20:00 PM,162.470,28.754,,,,
56,12/06/16 09:30:00 PM,162.470,28.754,,,,
57,12/06/16 09:40:00 PM,162.470,28.754,,,,
58,12/06/16 09:50:00 PM,162.470,28.754,,,,
59,12/06/16 10:00:00 PM,162.470,28.754,,,,
60,12/06/16 10:10:00 PM,162.477,28.853,,,,
61,12/06/16 10:20:00 PM,162.477,28.853,,,,
62,12/06/16 10:30:00 PM,162.477,28.853,,,,
63,12/06/16 10:40:00 PM,162.477,28.853,,,,
64,12/06/16 10:50:00 PM,162.477,28.853,,,,
65,12/06/16 11:00:00 PM,162.470,28.754,,,,
66,12/06/16 11:10:00 PM,162.470,28.754,,,,
67,12/06/16 11:20:00 PM,162.470,28.754,,,,
68,12/06/16 11:30:00 PM,162.477,28.853,,,,
69,12/06/16 11:40:00 PM,162.477,28.853,,,,
70,12/06/16 11:50:00 PM,162.470,28.754,,,,
71,12/07/16 12:00:00 AM,162.470,28.754,,,,
