"Plot Title: 10766779"
"#","Date Time, GMT+10:00","Abs Pres, kPa (LGR S/N: 10766779, SEN S/N: 10766779)","Temp, °C (LGR S/N: 10766779, SEN S/N: 10766779)","Coupler Detached (LGR S/N: 10766779)","Coupler Attached (LGR S/N: 10766779)","Host Connected (LGR S/N: 10766779)","Stopped (LGR S/N: 10766779)","End Of File (LGR S/N: 10766779)"
1,09/26/17 12:10:00 PM,162.497,30.054,Logged,,,,
2,09/26/17 12:20:00 PM,162.582,30.356,,,,,
3,09/26/17 12:30:00 PM,162.603,30.659,,,,,
4,09/26/17 12:40:00 PM,162.617,30.862,,,,,
5,09/26/17 12:50:00 PM,162.624,30.963,,,,,
6,09/26/17 01:00:00 PM,162.624,30.963,,,,,
7,09/26/17 01:10:00 PM,162.624,30.963,,,,,
8,09/26/17 01:20:00 PM,162.617,30.862,,,,,
9,09/26/17 01:30:00 PM,162.624,30.963,,,,,
10,09/26/17 01:40:00 PM,162.624,30.963,,,,,
11,09/26/17 01:50:00 PM,162.624,30.963,,,,,
12,09/26/17 02:00:00 PM,162.617,30.862,,,,,
13,09/26/17 02:10:00 PM,162.603,30.659,,,,,
14,09/26/17 02:20:00 PM,162.603,30.659,,,,,
15,09/26/17 02:30:00 PM,162.603,30.659,,,,,
16,09/26/17 02:40:00 PM,162.610,30.760,,,,,
17,09/26/17 02:50:00 PM,162.617,30.862,,,,,
18,09/26/17 03:00:00 PM,162.610,30.760,,,,,
19,09/26/17 03:10:00 PM,162.624,30.963,,,,,
20,09/26/17 03:20:00 PM,162.613,30.963,,,,,
21,09/26/17 03:30:00 PM,162.620,31.064,,,,,
22,09/26/17 03:40:00 PM,162.617,30.862,,,,,
23,09/26/17 03:50:00 PM,162.613,30.963,,,,,
24,09/26/17 04:00:00 PM,162.631,31.064,,,,,
25,09/26/17 04:10:00 PM,162.620,31.064,,,,,
26,09/26/17 04:20:00 PM,162.624,30.963,,,,,
27,09/26/17 04:30:00 PM,162.624,30.963,,,,,
28,09/26/17 04:40:00 PM,162.592,30.659,,,,,
29,09/26/17 04:50:00 PM,162.592,30.659,,,,,
