"Plot Title: 10571221_Piti_WL"
"#","Date Time, GMT+10:00","Abs Pres, kPa (LGR S/N: 10571221, SEN S/N: 10571221)","Temp, °C (LGR S/N: 10571221, SEN S/N: 10571221)","Coupler Detached (LGR S/N: 10571221)","Coupler Attached (LGR S/N: 10571221)","Stopped (LGR S/N: 10571221)","End Of File (LGR S/N: 10571221)"
1,11/09/17 11:00:00 AM,101.092,23.966,Logged,,,
2,11/09/17 11:10:00 AM,105.912,27.961,,,,
3,11/09/17 11:20:00 AM,101.074,28.953,,,,
4,11/09/17 11:30:00 AM,113.924,28.953,,,,
5,11/09/17 11:40:00 AM,115.430,29.352,,,,
6,11/09/17 11:50:00 AM,115.823,29.452,,,,
7,11/09/17 12:00:00 PM,115.279,29.452,,,,
8,11/09/17 12:10:00 PM,115.063,29.552,,,,
9,11/09/17 12:20:00 PM,114.739,29.552,,,,
10,11/09/17 12:30:00 PM,115.313,29.652,,,,
11,11/09/17 12:40:00 PM,115.568,29.552,,,,
12,11/09/17 12:50:00 PM,115.754,29.652,,,,
13,11/09/17 01:00:00 PM,115.080,29.652,,,,
14,11/09/17 01:10:00 PM,115.093,29.652,,,,
15,11/09/17 01:20:00 PM,116.867,29.652,,,,
16,11/09/17 01:30:00 PM,115.106,29.652,,,,
17,11/09/17 01:40:00 PM,115.317,29.752,,,,
18,11/09/17 01:50:00 PM,114.670,29.752,,,,
19,11/09/17 02:00:00 PM,114.955,29.752,,,,
20,11/09/17 02:10:00 PM,115.033,29.752,,,,
21,11/09/17 02:20:00 PM,115.408,29.752,,,,
22,11/09/17 02:30:00 PM,115.322,29.853,,,,
23,11/09/17 02:40:00 PM,114.463,29.752,,,,
24,11/09/17 02:50:00 PM,113.975,29.853,,,,
25,11/09/17 03:00:00 PM,114.735,29.752,,,,
26,11/09/17 03:10:00 PM,114.152,29.752,,,,
27,11/09/17 03:20:00 PM,113.971,29.752,,,,
28,11/09/17 03:30:00 PM,113.867,29.752,,,,
29,11/09/17 03:40:00 PM,113.353,29.853,,,,
30,11/09/17 03:50:00 PM,113.608,29.752,,,,
31,11/09/17 04:00:00 PM,112.753,29.752,,,,
32,11/09/17 04:10:00 PM,112.576,29.853,,,,
33,11/09/17 04:20:00 PM,113.517,29.752,,,,
34,11/09/17 04:30:00 PM,112.999,29.752,,,,
35,11/09/17 04:40:00 PM,112.361,29.652,,,,
36,11/09/17 04:50:00 PM,112.969,29.652,,,,
37,11/09/17 05:00:00 PM,112.969,29.652,,,,
38,11/09/17 05:10:00 PM,112.810,29.552,,,,
39,11/09/17 05:20:00 PM,112.175,29.552,,,,
40,11/09/17 05:30:00 PM,112.741,29.452,,,,
41,11/09/17 05:40:00 PM,112.598,29.452,,,,
42,11/09/17 05:50:00 PM,112.521,29.452,,,,
43,11/09/17 06:00:00 PM,112.663,29.452,,,,
44,11/09/17 06:10:00 PM,112.763,29.352,,,,
45,11/09/17 06:20:00 PM,112.724,29.352,,,,
46,11/09/17 06:30:00 PM,112.348,29.352,,,,
47,11/09/17 06:40:00 PM,113.021,29.352,,,,
48,11/09/17 06:50:00 PM,112.745,29.252,,,,
49,11/09/17 07:00:00 PM,112.836,29.252,,,,
50,11/09/17 07:10:00 PM,113.522,29.252,,,,
51,11/09/17 07:20:00 PM,113.526,29.352,,,,
52,11/09/17 07:30:00 PM,113.393,29.252,,,,
53,11/09/17 07:40:00 PM,113.328,29.252,,,,
54,11/09/17 07:50:00 PM,114.234,29.252,,,,
55,11/09/17 08:00:00 PM,113.224,29.252,,,,
56,11/09/17 08:10:00 PM,114.480,29.252,,,,
57,11/09/17 08:20:00 PM,114.726,29.252,,,,
58,11/09/17 08:30:00 PM,114.597,29.252,,,,
59,11/09/17 08:40:00 PM,114.455,29.252,,,,
60,11/09/17 08:50:00 PM,114.847,29.352,,,,
61,11/09/17 09:00:00 PM,115.335,29.252,,,,
62,11/09/17 09:10:00 PM,116.099,29.252,,,,
63,11/09/17 09:20:00 PM,115.594,29.252,,,,
64,11/09/17 09:30:00 PM,115.193,29.252,,,,
65,11/09/17 09:40:00 PM,115.309,29.252,,,,
66,11/09/17 09:50:00 PM,116.190,29.252,,,,
67,11/09/17 10:00:00 PM,115.176,29.152,,,,
68,11/09/17 10:10:00 PM,115.439,29.252,,,,
69,11/09/17 10:20:00 PM,115.706,29.152,,,,
70,11/09/17 10:30:00 PM,115.266,29.152,,,,
71,11/09/17 10:40:00 PM,115.771,29.152,,,,
72,11/09/17 10:50:00 PM,114.688,29.252,,,,
73,11/09/17 11:00:00 PM,115.020,29.152,,,,
74,11/09/17 11:10:00 PM,115.201,29.152,,,,
75,11/09/17 11:20:00 PM,114.554,29.152,,,,
76,11/09/17 11:30:00 PM,115.076,29.252,,,,
77,11/09/17 11:40:00 PM,114.658,29.152,,,,
78,11/09/17 11:50:00 PM,113.872,29.252,,,,
79,11/10/17 12:00:00 AM,113.894,29.152,,,,
80,11/10/17 12:10:00 AM,114.295,29.152,,,,
81,11/10/17 12:20:00 AM,113.794,29.252,,,,
82,11/10/17 12:30:00 AM,114.127,29.152,,,,
83,11/10/17 12:40:00 AM,113.945,29.152,,,,
84,11/10/17 12:50:00 AM,113.669,29.053,,,,
85,11/10/17 01:00:00 AM,113.233,29.152,,,,
86,11/10/17 01:10:00 AM,112.754,29.152,,,,
87,11/10/17 01:20:00 AM,112.651,29.152,,,,
88,11/10/17 01:30:00 AM,112.426,29.053,,,,
89,11/10/17 01:40:00 AM,112.051,29.053,,,,
90,11/10/17 01:50:00 AM,112.267,28.953,,,,
91,11/10/17 02:00:00 AM,111.663,29.053,,,,
92,11/10/17 02:10:00 AM,112.336,29.053,,,,
93,11/10/17 02:20:00 AM,110.938,29.053,,,,
94,11/10/17 02:30:00 AM,110.921,28.953,,,,
95,11/10/17 02:40:00 AM,110.998,28.953,,,,
96,11/10/17 02:50:00 AM,110.420,29.053,,,,
