"Plot Title: Piti WL (10766780)"
"#","Date Time, GMT+10:00","Abs Pres, kPa (LGR S/N: 10766780, SEN S/N: 10766780)","Temp, °C (LGR S/N: 10766780, SEN S/N: 10766780)"
1,12/04/17 10:00:00 AM,100.935,24.158
2,12/04/17 10:10:00 AM,100.980,24.062
3,12/04/17 10:20:00 AM,100.885,24.062
4,12/04/17 10:30:00 AM,101.018,24.158
5,12/04/17 10:40:00 AM,101.011,24.738
6,12/04/17 10:50:00 AM,100.998,25.125
7,12/04/17 11:00:00 AM,100.973,25.513
8,12/04/17 11:10:00 AM,100.962,26.000
9,12/04/17 11:20:00 AM,100.907,26.585
10,12/04/17 11:30:00 AM,100.905,26.977
11,12/04/17 11:40:00 AM,100.877,27.272
12,12/04/17 11:50:00 AM,100.871,27.961
13,12/04/17 12:00:00 PM,100.865,28.655
14,12/04/17 12:10:00 PM,100.858,29.352
15,12/04/17 12:20:00 PM,100.851,30.054
16,12/04/17 12:30:00 PM,100.908,30.457
17,12/04/17 12:40:00 PM,101.225,30.760
18,12/04/17 12:50:00 PM,100.834,29.352
19,12/04/17 01:00:00 PM,112.068,29.452
20,12/04/17 01:10:00 PM,111.988,29.552
21,12/04/17 01:20:00 PM,112.059,29.552
22,12/04/17 01:30:00 PM,111.715,29.552
23,12/04/17 01:40:00 PM,111.869,29.552
24,12/04/17 01:50:00 PM,112.439,29.552
25,12/04/17 02:00:00 PM,111.931,29.652
26,12/04/17 02:10:00 PM,111.694,29.652
27,12/04/17 02:20:00 PM,112.309,29.552
28,12/04/17 02:30:00 PM,112.582,29.552
29,12/04/17 02:40:00 PM,112.573,29.652
30,12/04/17 02:50:00 PM,112.582,29.552
31,12/04/17 03:00:00 PM,112.772,29.552
32,12/04/17 03:10:00 PM,113.259,29.552
33,12/04/17 03:20:00 PM,113.307,29.552
34,12/04/17 03:30:00 PM,113.497,29.552
35,12/04/17 03:40:00 PM,113.033,29.552
36,12/04/17 03:50:00 PM,112.950,29.552
37,12/04/17 04:00:00 PM,113.482,29.452
38,12/04/17 04:10:00 PM,114.049,29.352
39,12/04/17 04:20:00 PM,113.325,29.352
40,12/04/17 04:30:00 PM,114.227,29.352
41,12/04/17 04:40:00 PM,114.453,29.352
42,12/04/17 04:50:00 PM,114.429,29.352
43,12/04/17 05:00:00 PM,115.365,29.252
44,12/04/17 05:10:00 PM,114.165,29.252
45,12/04/17 05:20:00 PM,115.317,29.252
