"Plot Title: 20599078 (Piti)"
"#","Date Time, GMT+10:00","Abs Pres, kPa (LGR S/N: 20599078, SEN S/N: 20599078)","Temp, °C (LGR S/N: 20599078, SEN S/N: 20599078)"
1,11/15/19 10:00:00 AM,114.169,29.752
2,11/15/19 11:00:00 AM,113.860,29.853
3,11/15/19 12:00:00 PM,113.988,30.054
4,11/15/19 01:00:00 PM,113.220,30.356
5,11/15/19 02:00:00 PM,112.084,29.953
6,11/15/19 03:00:00 PM,111.791,30.255
7,11/15/19 04:00:00 PM,111.409,29.752
8,11/15/19 05:00:00 PM,111.969,29.552
9,11/15/19 06:00:00 PM,112.690,29.352
10,11/15/19 07:00:00 PM,114.105,29.352
11,11/15/19 08:00:00 PM,114.206,29.352
12,11/15/19 09:00:00 PM,114.162,29.252
13,11/15/19 10:00:00 PM,113.663,29.152
14,11/15/19 11:00:00 PM,112.026,29.152
15,11/16/19 12:00:00 AM,110.183,29.053
16,11/16/19 01:00:00 AM,108.491,28.953
17,11/16/19 02:00:00 AM,106.665,28.754
18,11/16/19 03:00:00 AM,105.546,28.555
19,11/16/19 04:00:00 AM,105.833,28.357
20,11/16/19 05:00:00 AM,106.615,28.159
21,11/16/19 06:00:00 AM,108.118,27.764
22,11/16/19 07:00:00 AM,110.162,28.456
23,11/16/19 08:00:00 AM,111.918,29.252
24,11/16/19 09:00:00 AM,114.014,29.053
25,11/16/19 10:00:00 AM,114.439,29.652
26,11/16/19 11:00:00 AM,114.527,29.853
27,11/16/19 12:00:00 PM,114.305,30.154
28,11/16/19 01:00:00 PM,113.894,30.255
29,11/16/19 02:00:00 PM,112.974,30.558
30,11/16/19 03:00:00 PM,112.256,30.558
31,11/16/19 04:00:00 PM,112.363,30.154
32,11/16/19 05:00:00 PM,112.127,30.054
33,11/16/19 06:00:00 PM,112.690,29.652
34,11/16/19 07:00:00 PM,113.249,29.452
35,11/16/19 08:00:00 PM,113.792,29.352
36,11/16/19 09:00:00 PM,113.869,29.252
37,11/16/19 10:00:00 PM,114.243,29.252
38,11/16/19 11:00:00 PM,112.828,29.252
39,11/17/19 12:00:00 AM,111.763,29.152
40,11/17/19 01:00:00 AM,110.274,29.053
41,11/17/19 02:00:00 AM,107.820,28.853
42,11/17/19 03:00:00 AM,106.496,28.555
43,11/17/19 04:00:00 AM,105.823,28.357
44,11/17/19 05:00:00 AM,105.682,28.060
45,11/17/19 06:00:00 AM,106.325,27.961
46,11/17/19 07:00:00 AM,107.983,27.665
47,11/17/19 08:00:00 AM,110.223,28.456
48,11/17/19 09:00:00 AM,112.359,28.555
49,11/17/19 10:00:00 AM,113.997,29.152
50,11/17/19 11:00:00 AM,113.701,29.652
51,11/17/19 12:00:00 PM,114.560,29.652
