"Plot Title: 20600873"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 20600873, SEN S/N: 20600873)","Intensity, Lux (LGR S/N: 20600873, SEN S/N: 20600873)"
1,05/28/20 03:30:00 PM,33.535,24800.2
2,05/28/20 04:00:00 PM,33.535,148801.0
3,05/28/20 04:30:00 PM,33.222,44089.2
4,05/28/20 05:00:00 PM,33.430,28933.5
5,05/28/20 05:30:00 PM,33.222,8611.2
6,05/28/20 06:00:00 PM,32.704,4305.6
7,05/28/20 06:30:00 PM,32.188,1044.1
8,05/28/20 07:00:00 PM,31.472,10.8
9,05/28/20 07:30:00 PM,31.268,0.0
10,05/28/20 08:00:00 PM,30.760,0.0
11,05/28/20 08:30:00 PM,31.064,0.0
12,05/28/20 09:00:00 PM,29.352,0.0
13,05/28/20 09:30:00 PM,28.853,0.0
14,05/28/20 10:00:00 PM,29.053,0.0
15,05/28/20 10:30:00 PM,29.152,0.0
16,05/28/20 11:00:00 PM,29.152,0.0
17,05/28/20 11:30:00 PM,29.053,0.0
18,05/29/20 12:00:00 AM,29.053,0.0
19,05/29/20 12:30:00 AM,28.953,0.0
20,05/29/20 01:00:00 AM,28.853,0.0
21,05/29/20 01:30:00 AM,28.953,0.0
22,05/29/20 02:00:00 AM,28.953,0.0
23,05/29/20 02:30:00 AM,28.953,0.0
24,05/29/20 03:00:00 AM,28.853,0.0
25,05/29/20 03:30:00 AM,28.754,0.0
26,05/29/20 04:00:00 AM,28.754,0.0
27,05/29/20 04:30:00 AM,28.655,0.0
28,05/29/20 05:00:00 AM,28.655,0.0
29,05/29/20 05:30:00 AM,28.655,0.0
30,05/29/20 06:00:00 AM,28.655,538.2
31,05/29/20 06:30:00 AM,28.655,1636.1
32,05/29/20 07:00:00 AM,28.953,4477.8
33,05/29/20 07:30:00 AM,29.152,21355.7
34,05/29/20 08:00:00 AM,29.452,22044.6
35,05/29/20 08:30:00 AM,29.252,8266.7
36,05/29/20 09:00:00 AM,29.652,85422.8
37,05/29/20 09:30:00 AM,30.356,26178.0
38,05/29/20 10:00:00 AM,30.760,93689.5
39,05/29/20 10:30:00 AM,30.457,23422.4
40,05/29/20 11:00:00 AM,30.558,14466.8
41,05/29/20 11:30:00 AM,31.064,19289.0
42,05/29/20 12:00:00 PM,31.370,41333.6
43,05/29/20 12:30:00 PM,31.574,46844.8
44,05/29/20 01:00:00 PM,32.086,71644.9
45,05/29/20 01:30:00 PM,32.497,46844.8
46,05/29/20 02:00:00 PM,32.086,16533.4
47,05/29/20 02:30:00 PM,31.778,20666.8
48,05/29/20 03:00:00 PM,32.291,20666.8
49,05/29/20 03:30:00 PM,32.807,44089.2
50,05/29/20 04:00:00 PM,32.188,11022.3
51,05/29/20 04:30:00 PM,32.188,9644.5
52,05/29/20 05:00:00 PM,31.983,8611.2
53,05/29/20 05:30:00 PM,31.676,4822.3
54,05/29/20 06:00:00 PM,31.472,2927.8
55,05/29/20 06:30:00 PM,31.064,1216.3
56,05/29/20 07:00:00 PM,30.659,21.5
57,05/29/20 07:30:00 PM,30.457,0.0
58,05/29/20 08:00:00 PM,30.255,0.0
59,05/29/20 08:30:00 PM,30.054,0.0
60,05/29/20 09:00:00 PM,29.953,0.0
61,05/29/20 09:30:00 PM,29.752,0.0
62,05/29/20 10:00:00 PM,28.754,0.0
63,05/29/20 10:30:00 PM,28.456,0.0
64,05/29/20 11:00:00 PM,28.853,0.0
65,05/29/20 11:30:00 PM,29.053,0.0
66,05/30/20 12:00:00 AM,29.053,0.0
67,05/30/20 12:30:00 AM,28.853,0.0
68,05/30/20 01:00:00 AM,28.754,0.0
69,05/30/20 01:30:00 AM,28.853,0.0
70,05/30/20 02:00:00 AM,28.853,0.0
71,05/30/20 02:30:00 AM,28.853,0.0
72,05/30/20 03:00:00 AM,28.754,0.0
73,05/30/20 03:30:00 AM,28.655,0.0
74,05/30/20 04:00:00 AM,28.555,0.0
75,05/30/20 04:30:00 AM,28.357,0.0
76,05/30/20 05:00:00 AM,28.357,0.0
77,05/30/20 05:30:00 AM,28.357,0.0
78,05/30/20 06:00:00 AM,28.159,301.4
79,05/30/20 06:30:00 AM,28.060,1216.3
80,05/30/20 07:00:00 AM,28.258,3616.7
81,05/30/20 07:30:00 AM,28.357,11022.3
82,05/30/20 08:00:00 AM,28.655,14466.8
83,05/30/20 08:30:00 AM,28.655,6544.5
84,05/30/20 09:00:00 AM,29.252,19289.0
85,05/30/20 09:30:00 AM,29.252,7577.8
86,05/30/20 10:00:00 AM,29.252,20666.8
87,05/30/20 10:30:00 AM,29.552,33066.9
88,05/30/20 11:00:00 AM,30.154,21355.7
89,05/30/20 11:30:00 AM,30.558,19977.9
90,05/30/20 12:00:00 PM,30.659,115734.1
91,05/30/20 12:30:00 PM,30.963,23422.4
92,05/30/20 01:00:00 PM,31.064,27555.7
93,05/30/20 01:30:00 PM,30.862,22044.6
94,05/30/20 02:00:00 PM,31.472,23422.4
95,05/30/20 02:30:00 PM,30.963,14466.8
96,05/30/20 03:00:00 PM,30.963,13777.9
97,05/30/20 03:30:00 PM,31.268,26178.0
98,05/30/20 04:00:00 PM,31.676,57867.0
99,05/30/20 04:30:00 PM,31.166,7233.4
100,05/30/20 05:00:00 PM,31.268,9300.1
101,05/30/20 05:30:00 PM,30.862,5166.7
102,05/30/20 06:00:00 PM,30.255,3616.7
103,05/30/20 06:30:00 PM,29.953,1065.6
104,05/30/20 07:00:00 PM,29.953,10.8
105,05/30/20 07:30:00 PM,29.953,0.0
106,05/30/20 08:00:00 PM,29.953,0.0
107,05/30/20 08:30:00 PM,29.953,0.0
108,05/30/20 09:00:00 PM,29.853,0.0
109,05/30/20 09:30:00 PM,29.752,0.0
110,05/30/20 10:00:00 PM,29.652,0.0
111,05/30/20 10:30:00 PM,29.452,0.0
112,05/30/20 11:00:00 PM,29.152,0.0
113,05/30/20 11:30:00 PM,28.357,0.0
114,05/31/20 12:00:00 AM,28.555,0.0
115,05/31/20 12:30:00 AM,28.555,0.0
116,05/31/20 01:00:00 AM,28.754,0.0
117,05/31/20 01:30:00 AM,28.953,0.0
118,05/31/20 02:00:00 AM,28.953,0.0
119,05/31/20 02:30:00 AM,28.953,0.0
120,05/31/20 03:00:00 AM,28.853,0.0
121,05/31/20 03:30:00 AM,28.953,0.0
122,05/31/20 04:00:00 AM,28.953,0.0
123,05/31/20 04:30:00 AM,28.953,0.0
124,05/31/20 05:00:00 AM,28.754,0.0
125,05/31/20 05:30:00 AM,28.357,0.0
126,05/31/20 06:00:00 AM,28.456,32.3
127,05/31/20 06:30:00 AM,28.357,118.4
128,05/31/20 07:00:00 AM,28.357,1550.0
129,05/31/20 07:30:00 AM,28.258,958.0
130,05/31/20 08:00:00 AM,28.655,1894.5
131,05/31/20 08:30:00 AM,28.853,13777.9
132,05/31/20 09:00:00 AM,29.053,5511.1
133,05/31/20 09:30:00 AM,29.352,9300.1
134,05/31/20 10:00:00 AM,29.352,7233.4
135,05/31/20 10:30:00 AM,29.552,16533.4
136,05/31/20 11:00:00 AM,29.452,8266.7
137,05/31/20 11:30:00 AM,29.452,8266.7
138,05/31/20 12:00:00 PM,29.452,5166.7
139,05/31/20 12:30:00 PM,29.352,6200.0
140,05/31/20 01:00:00 PM,29.452,13777.9
141,05/31/20 01:30:00 PM,29.652,16533.4
142,05/31/20 02:00:00 PM,30.054,30311.3
143,05/31/20 02:30:00 PM,30.558,30311.3
144,05/31/20 03:00:00 PM,30.659,20666.8
145,05/31/20 03:30:00 PM,30.659,10333.4
146,05/31/20 04:00:00 PM,30.760,10677.8
147,05/31/20 04:30:00 PM,30.457,3100.0
