SerialNo,Location,DateTime,Variable,Value
10994953,Adelup LL,8/9/2017 12:50,Temp_C,32.807
10994953,Adelup LL,8/9/2017 13:00,Temp_C,33.43
10994953,Adelup LL,8/9/2017 13:10,Temp_C,33.535
10994953,Adelup LL,8/9/2017 13:20,Temp_C,33.953
10994953,Adelup LL,8/9/2017 13:30,Temp_C,33.743
10994953,Adelup LL,8/9/2017 13:40,Temp_C,34.479
10994953,Adelup LL,8/9/2017 13:50,Temp_C,34.163
10994953,Adelup LL,8/9/2017 14:00,Temp_C,33.848
10994953,Adelup LL,8/9/2017 14:10,Temp_C,34.796
10994953,Adelup LL,8/9/2017 14:20,Temp_C,34.479
10994953,Adelup LL,8/9/2017 14:30,Temp_C,34.374
10994953,Adelup LL,8/9/2017 14:40,Temp_C,34.163
10994953,Adelup LL,8/9/2017 14:50,Temp_C,34.479
10994953,Adelup LL,8/9/2017 15:00,Temp_C,33.743
10994953,Adelup LL,8/9/2017 15:10,Temp_C,33.848
10994953,Adelup LL,8/9/2017 15:20,Temp_C,34.691
10994953,Adelup LL,8/9/2017 15:30,Temp_C,34.163
10994953,Adelup LL,8/9/2017 15:40,Temp_C,33.743
10994953,Adelup LL,8/9/2017 15:50,Temp_C,33.326
10994953,Adelup LL,8/9/2017 16:00,Temp_C,33.848
10994953,Adelup LL,8/9/2017 16:10,Temp_C,33.953
10994953,Adelup LL,8/9/2017 16:20,Temp_C,33.848
10994953,Adelup LL,8/9/2017 16:30,Temp_C,33.639
10994953,Adelup LL,8/9/2017 16:40,Temp_C,33.535
10994953,Adelup LL,8/9/2017 16:50,Temp_C,33.118
10994953,Adelup LL,8/9/2017 17:00,Temp_C,32.911
10994953,Adelup LL,8/9/2017 17:10,Temp_C,32.6
10994953,Adelup LL,8/9/2017 17:20,Temp_C,32.291
10994953,Adelup LL,8/9/2017 17:30,Temp_C,32.291
10994953,Adelup LL,8/9/2017 17:40,Temp_C,32.086
10994953,Adelup LL,8/9/2017 17:50,Temp_C,31.778
10994953,Adelup LL,8/9/2017 18:00,Temp_C,31.574
10994953,Adelup LL,8/9/2017 18:10,Temp_C,31.472
10994953,Adelup LL,8/9/2017 18:20,Temp_C,31.268
10994953,Adelup LL,8/9/2017 18:30,Temp_C,31.166
10994953,Adelup LL,8/9/2017 18:40,Temp_C,30.963
10994953,Adelup LL,8/9/2017 18:50,Temp_C,30.76
10994953,Adelup LL,8/9/2017 19:00,Temp_C,30.659
