SerialNo,Location,DateTime,Variable,Value
20154265,Agat LL,12/4/2017 10:00,Temp_C,24.255
20154265,Agat LL,12/4/2017 10:10,Temp_C,24.158
20154265,Agat LL,12/4/2017 10:20,Temp_C,24.158
20154265,Agat LL,12/4/2017 10:30,Temp_C,24.255
20154265,Agat LL,12/4/2017 10:40,Temp_C,28.357
20154265,Agat LL,12/4/2017 10:50,Temp_C,29.352
20154265,Agat LL,12/4/2017 11:00,Temp_C,29.452
20154265,Agat LL,12/4/2017 11:10,Temp_C,29.953
20154265,Agat LL,12/4/2017 11:20,Temp_C,30.255
20154265,Agat LL,12/4/2017 11:30,Temp_C,29.953
20154265,Agat LL,12/4/2017 11:40,Temp_C,29.953
20154265,Agat LL,12/4/2017 11:50,Temp_C,29.953
20154265,Agat LL,12/4/2017 12:00,Temp_C,30.356
20154265,Agat LL,12/4/2017 12:10,Temp_C,30.255
20154265,Agat LL,12/4/2017 12:20,Temp_C,30.054
20154265,Agat LL,12/4/2017 12:30,Temp_C,30.054
20154265,Agat LL,12/4/2017 12:40,Temp_C,30.054
20154265,Agat LL,12/4/2017 12:50,Temp_C,29.752
20154265,Agat LL,12/4/2017 13:00,Temp_C,29.752
20154265,Agat LL,12/4/2017 13:10,Temp_C,29.652
20154265,Agat LL,12/4/2017 13:20,Temp_C,29.652
20154265,Agat LL,12/4/2017 13:30,Temp_C,29.452
20154265,Agat LL,12/4/2017 13:40,Temp_C,29.452
20154265,Agat LL,12/4/2017 13:50,Temp_C,29.652
20154265,Agat LL,12/4/2017 14:00,Temp_C,29.953
20154265,Agat LL,12/4/2017 14:10,Temp_C,30.054
20154265,Agat LL,12/4/2017 14:20,Temp_C,30.154
20154265,Agat LL,12/4/2017 14:30,Temp_C,30.154
20154265,Agat LL,12/4/2017 14:40,Temp_C,30.255
20154265,Agat LL,12/4/2017 14:50,Temp_C,30.054
20154265,Agat LL,12/4/2017 15:00,Temp_C,30.255
20154265,Agat LL,12/4/2017 15:10,Temp_C,30.255
20154265,Agat LL,12/4/2017 15:20,Temp_C,29.853
20154265,Agat LL,12/4/2017 15:30,Temp_C,29.752
20154265,Agat LL,12/4/2017 15:40,Temp_C,29.752
20154265,Agat LL,12/4/2017 15:50,Temp_C,29.853
20154265,Agat LL,12/4/2017 16:00,Temp_C,29.853
20154265,Agat LL,12/4/2017 16:10,Temp_C,29.752
20154265,Agat LL,12/4/2017 16:20,Temp_C,29.752
20154265,Agat LL,12/4/2017 16:30,Temp_C,29.652
20154265,Agat LL,12/4/2017 16:40,Temp_C,29.652
20154265,Agat LL,12/4/2017 16:50,Temp_C,29.552
20154265,Agat LL,12/4/2017 17:00,Temp_C,29.552
20154265,Agat LL,12/4/2017 17:10,Temp_C,29.452
20154265,Agat LL,12/4/2017 17:20,Temp_C,29.452
20154265,Agat LL,12/4/2017 17:30,Temp_C,29.352
20154265,Agat LL,12/4/2017 17:40,Temp_C,29.352
20154265,Agat LL,12/4/2017 17:50,Temp_C,29.352
20154265,Agat LL,12/4/2017 18:00,Temp_C,29.352
20154265,Agat LL,12/4/2017 18:10,Temp_C,29.352
20154265,Agat LL,12/4/2017 18:20,Temp_C,29.352
