SerialNo,Location,DateTime,Variable,Value
10766780,Piti WL,12/04/17 10:00:00 AM,Temp_C,24.158
10766780,Piti WL,12/04/17 10:10:00 AM,Temp_C,24.062
10766780,Piti WL,12/04/17 10:20:00 AM,Temp_C,24.062
10766780,Piti WL,12/04/17 10:30:00 AM,Temp_C,24.158
10766780,Piti WL,12/04/17 10:40:00 AM,Temp_C,24.738
10766780,Piti WL,12/04/17 10:50:00 AM,Temp_C,25.125
10766780,Piti WL,12/04/17 11:00:00 AM,Temp_C,25.513
10766780,Piti WL,12/04/17 11:10:00 AM,Temp_C,26
10766780,Piti WL,12/04/17 11:20:00 AM,Temp_C,26.585
10766780,Piti WL,12/04/17 11:30:00 AM,Temp_C,26.977
10766780,Piti WL,12/04/17 11:40:00 AM,Temp_C,27.272
10766780,Piti WL,12/04/17 11:50:00 AM,Temp_C,27.961
10766780,Piti WL,12/04/17 12:00:00 PM,Temp_C,28.655
10766780,Piti WL,12/04/17 12:10:00 PM,Temp_C,29.352
10766780,Piti WL,12/04/17 12:20:00 PM,Temp_C,30.054
10766780,Piti WL,12/04/17 12:30:00 PM,Temp_C,30.457
10766780,Piti WL,12/04/17 12:40:00 PM,Temp_C,30.76
10766780,Piti WL,12/04/17 12:50:00 PM,Temp_C,29.352
10766780,Piti WL,12/04/17 01:00:00 PM,Temp_C,29.452
10766780,Piti WL,12/04/17 01:10:00 PM,Temp_C,29.552
10766780,Piti WL,12/04/17 01:20:00 PM,Temp_C,29.552
10766780,Piti WL,12/04/17 01:30:00 PM,Temp_C,29.552
10766780,Piti WL,12/04/17 01:40:00 PM,Temp_C,29.552
10766780,Piti WL,12/04/17 01:50:00 PM,Temp_C,29.552
10766780,Piti WL,12/04/17 02:00:00 PM,Temp_C,29.652
10766780,Piti WL,12/04/17 02:10:00 PM,Temp_C,29.652
10766780,Piti WL,12/04/17 02:20:00 PM,Temp_C,29.552
10766780,Piti WL,12/04/17 02:30:00 PM,Temp_C,29.552
10766780,Piti WL,12/04/17 02:40:00 PM,Temp_C,29.652
10766780,Piti WL,12/04/17 02:50:00 PM,Temp_C,29.552
10766780,Piti WL,12/04/17 03:00:00 PM,Temp_C,29.552
10766780,Piti WL,12/04/17 03:10:00 PM,Temp_C,29.552
10766780,Piti WL,12/04/17 03:20:00 PM,Temp_C,29.552
10766780,Piti WL,12/04/17 03:30:00 PM,Temp_C,29.552
