SerialNo,Location,DateTime,Variable,Value
10766779,Piti WL,04/27/16 12:00:00 AM,Temp_C,22.621
10766779,Piti WL,04/27/16 12:10:00 AM,Temp_C,22.621
10766779,Piti WL,04/27/16 12:20:00 AM,Temp_C,22.621
10766779,Piti WL,04/27/16 12:30:00 AM,Temp_C,22.525
10766779,Piti WL,04/27/16 12:40:00 AM,Temp_C,22.525
10766779,Piti WL,04/27/16 12:50:00 AM,Temp_C,22.525
10766779,Piti WL,04/27/16 01:00:00 AM,Temp_C,22.525
10766779,Piti WL,04/27/16 01:10:00 AM,Temp_C,22.525
10766779,Piti WL,04/27/16 01:20:00 AM,Temp_C,22.525
10766779,Piti WL,04/27/16 01:30:00 AM,Temp_C,22.525
10766779,Piti WL,04/27/16 01:40:00 AM,Temp_C,22.525
10766779,Piti WL,04/27/16 01:50:00 AM,Temp_C,22.525
10766779,Piti WL,04/27/16 02:00:00 AM,Temp_C,22.525
10766779,Piti WL,04/27/16 02:10:00 AM,Temp_C,22.525
10766779,Piti WL,04/27/16 02:20:00 AM,Temp_C,22.525
10766779,Piti WL,04/27/16 02:30:00 AM,Temp_C,22.525
10766779,Piti WL,04/27/16 02:40:00 AM,Temp_C,22.525
10766779,Piti WL,04/27/16 02:50:00 AM,Temp_C,22.429
10766779,Piti WL,04/27/16 03:00:00 AM,Temp_C,22.429
10766779,Piti WL,04/27/16 03:10:00 AM,Temp_C,22.429
10766779,Piti WL,04/27/16 03:20:00 AM,Temp_C,22.429
10766779,Piti WL,04/27/16 03:30:00 AM,Temp_C,22.429
10766779,Piti WL,04/27/16 03:40:00 AM,Temp_C,22.429
10766779,Piti WL,04/27/16 03:50:00 AM,Temp_C,22.429
10766779,Piti WL,04/27/16 04:00:00 AM,Temp_C,22.429
10766779,Piti WL,04/27/16 04:10:00 AM,Temp_C,22.429
10766779,Piti WL,04/27/16 04:20:00 AM,Temp_C,22.333
10766779,Piti WL,04/27/16 04:30:00 AM,Temp_C,22.333
10766779,Piti WL,04/27/16 04:40:00 AM,Temp_C,22.333
10766779,Piti WL,04/27/16 04:50:00 AM,Temp_C,22.333
10766779,Piti WL,04/27/16 05:00:00 AM,Temp_C,22.333
10766779,Piti WL,04/27/16 05:10:00 AM,Temp_C,22.333
10766779,Piti WL,04/27/16 05:20:00 AM,Temp_C,22.333
10766779,Piti WL,04/27/16 05:30:00 AM,Temp_C,22.238
10766779,Piti WL,04/27/16 05:40:00 AM,Temp_C,22.238
10766779,Piti WL,04/27/16 05:50:00 AM,Temp_C,22.238
10766779,Piti WL,04/27/16 06:00:00 AM,Temp_C,22.238
10766779,Piti WL,04/27/16 06:10:00 AM,Temp_C,22.238
10766779,Piti WL,04/27/16 06:20:00 AM,Temp_C,22.238
10766779,Piti WL,04/27/16 06:30:00 AM,Temp_C,22.238
10766779,Piti WL,04/27/16 06:40:00 AM,Temp_C,22.238
10766779,Piti WL,04/27/16 06:50:00 AM,Temp_C,22.238
10766779,Piti WL,04/27/16 07:00:00 AM,Temp_C,22.238
10766779,Piti WL,04/27/16 07:10:00 AM,Temp_C,22.238
10766779,Piti WL,04/27/16 07:20:00 AM,Temp_C,22.333
10766779,Piti WL,04/27/16 07:30:00 AM,Temp_C,22.333
10766779,Piti WL,04/27/16 07:40:00 AM,Temp_C,22.238
10766779,Piti WL,04/27/16 07:50:00 AM,Temp_C,22.142
10766779,Piti WL,04/27/16 08:00:00 AM,Temp_C,22.046
10766779,Piti WL,04/27/16 08:10:00 AM,Temp_C,21.951
10766779,Piti WL,04/27/16 08:20:00 AM,Temp_C,21.951
10766779,Piti WL,04/27/16 08:30:00 AM,Temp_C,21.855
10766779,Piti WL,04/27/16 08:40:00 AM,Temp_C,21.855
10766779,Piti WL,04/27/16 08:50:00 AM,Temp_C,21.855
10766779,Piti WL,04/27/16 09:00:00 AM,Temp_C,21.76
10766779,Piti WL,04/27/16 09:10:00 AM,Temp_C,21.76
10766779,Piti WL,04/27/16 09:20:00 AM,Temp_C,21.76
10766779,Piti WL,04/27/16 09:30:00 AM,Temp_C,21.76
10766779,Piti WL,04/27/16 09:40:00 AM,Temp_C,21.76
10766779,Piti WL,04/27/16 09:50:00 AM,Temp_C,21.76
10766779,Piti WL,04/27/16 10:00:00 AM,Temp_C,21.76
10766779,Piti WL,04/27/16 10:10:00 AM,Temp_C,21.76
10766779,Piti WL,04/27/16 10:20:00 AM,Temp_C,21.76
10766779,Piti WL,04/27/16 10:30:00 AM,Temp_C,21.76
10766779,Piti WL,04/27/16 10:40:00 AM,Temp_C,21.76
10766779,Piti WL,04/27/16 10:50:00 AM,Temp_C,21.76
10766779,Piti WL,04/27/16 11:00:00 AM,Temp_C,21.76
10766779,Piti WL,04/27/16 11:10:00 AM,Temp_C,21.76
10766779,Piti WL,04/27/16 11:20:00 AM,Temp_C,21.76
10766779,Piti WL,04/27/16 11:30:00 AM,Temp_C,21.76
10766779,Piti WL,04/27/16 11:40:00 AM,Temp_C,21.76
10766779,Piti WL,04/27/16 11:50:00 AM,Temp_C,21.855
10766779,Piti WL,04/27/16 12:00:00 PM,Temp_C,21.951
10766779,Piti WL,04/27/16 12:10:00 PM,Temp_C,22.046
10766779,Piti WL,04/27/16 12:20:00 PM,Temp_C,22.046
10766779,Piti WL,04/27/16 12:30:00 PM,Temp_C,22.142
10766779,Piti WL,04/27/16 12:40:00 PM,Temp_C,22.142
10766779,Piti WL,04/27/16 12:50:00 PM,Temp_C,22.238
10766779,Piti WL,04/27/16 01:00:00 PM,Temp_C,22.238
10766779,Piti WL,04/27/16 01:10:00 PM,Temp_C,22.238
10766779,Piti WL,04/27/16 01:20:00 PM,Temp_C,22.333
10766779,Piti WL,04/27/16 01:30:00 PM,Temp_C,22.333
10766779,Piti WL,04/27/16 01:40:00 PM,Temp_C,22.333
10766779,Piti WL,04/27/16 01:50:00 PM,Temp_C,22.333
10766779,Piti WL,04/27/16 02:00:00 PM,Temp_C,22.333
10766779,Piti WL,04/27/16 02:10:00 PM,Temp_C,22.429
10766779,Piti WL,04/27/16 02:20:00 PM,Temp_C,22.429
10766779,Piti WL,04/27/16 02:30:00 PM,Temp_C,22.333
10766779,Piti WL,04/27/16 02:40:00 PM,Temp_C,22.717
10766779,Piti WL,04/27/16 02:50:00 PM,Temp_C,23.581
10766779,Piti WL,04/27/16 03:00:00 PM,Temp_C,23.677
10766779,Piti WL,04/27/16 03:10:00 PM,Temp_C,23.773
10766779,Piti WL,04/27/16 03:20:00 PM,Temp_C,23.388
10766779,Piti WL,04/27/16 03:30:00 PM,Temp_C,23.004
10766779,Piti WL,04/27/16 03:40:00 PM,Temp_C,24.062
10766779,Piti WL,04/27/16 03:50:00 PM,Temp_C,24.255
10766779,Piti WL,04/27/16 04:00:00 PM,Temp_C,23.966
10766779,Piti WL,04/27/16 04:10:00 PM,Temp_C,23.869
10766779,Piti WL,04/27/16 04:20:00 PM,Temp_C,23.581
10766779,Piti WL,04/27/16 04:30:00 PM,Temp_C,23.292
10766779,Piti WL,04/27/16 04:40:00 PM,Temp_C,23.1
10766779,Piti WL,04/27/16 04:50:00 PM,Temp_C,23.292
10766779,Piti WL,04/27/16 05:00:00 PM,Temp_C,23.196
10766779,Piti WL,04/27/16 05:10:00 PM,Temp_C,23.196
10766779,Piti WL,04/27/16 05:20:00 PM,Temp_C,23.1
10766779,Piti WL,04/27/16 05:30:00 PM,Temp_C,23.1
10766779,Piti WL,04/27/16 05:40:00 PM,Temp_C,23.004
10766779,Piti WL,04/27/16 05:50:00 PM,Temp_C,23.004
10766779,Piti WL,04/27/16 06:00:00 PM,Temp_C,23.004
10766779,Piti WL,04/27/16 06:10:00 PM,Temp_C,22.908
10766779,Piti WL,04/27/16 06:20:00 PM,Temp_C,22.908
10766779,Piti WL,04/27/16 06:30:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 06:40:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 06:50:00 PM,Temp_C,22.717
10766779,Piti WL,04/27/16 07:00:00 PM,Temp_C,22.717
10766779,Piti WL,04/27/16 07:10:00 PM,Temp_C,22.717
10766779,Piti WL,04/27/16 07:20:00 PM,Temp_C,22.717
10766779,Piti WL,04/27/16 07:30:00 PM,Temp_C,22.717
10766779,Piti WL,04/27/16 07:40:00 PM,Temp_C,22.717
10766779,Piti WL,04/27/16 07:50:00 PM,Temp_C,22.717
10766779,Piti WL,04/27/16 08:00:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 08:10:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 08:20:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 08:30:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 08:40:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 08:50:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 09:00:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 09:10:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 09:20:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 09:30:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 09:40:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 09:50:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 10:00:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 10:10:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 10:20:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 10:30:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 10:40:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 10:50:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 11:00:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 11:10:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 11:20:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 11:30:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 11:40:00 PM,Temp_C,22.812
10766779,Piti WL,04/27/16 11:50:00 PM,Temp_C,22.812
10766779,Piti WL,04/28/16 12:00:00 AM,Temp_C,22.812
10766779,Piti WL,04/28/16 12:10:00 AM,Temp_C,22.812
10766779,Piti WL,04/28/16 12:20:00 AM,Temp_C,22.812
10766779,Piti WL,04/28/16 12:30:00 AM,Temp_C,22.812
