"Plot Title: Maintenance LL (10957738)"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 10957738, SEN S/N: 10957738)","Intensity, Lux (LGR S/N: 10957738, SEN S/N: 10957738)"
1,08/22/17 12:00:00 PM,35.756,21355.7
2,08/22/17 12:10:00 PM,46.210,49600.3
3,08/22/17 12:20:00 PM,47.499,44089.2
4,08/22/17 12:30:00 PM,49.905,46844.8
5,08/22/17 12:40:00 PM,49.632,44089.2
6,08/22/17 12:50:00 PM,51.014,37200.2
7,08/22/17 01:00:00 PM,49.496,42711.4
8,08/22/17 01:10:00 PM,50.734,37200.2
9,08/22/17 01:20:00 PM,51.863,39955.8
10,08/22/17 01:30:00 PM,51.154,42711.4
11,08/22/17 01:40:00 PM,52.293,44089.2
12,08/22/17 01:50:00 PM,53.313,44089.2
13,08/22/17 02:00:00 PM,52.437,42711.4
14,08/22/17 02:10:00 PM,51.578,34444.7
15,08/22/17 02:20:00 PM,50.042,34444.7
16,08/22/17 02:30:00 PM,49.090,31689.1
17,08/22/17 02:40:00 PM,49.905,30311.3
18,08/22/17 02:50:00 PM,48.687,26178.0
19,08/22/17 03:00:00 PM,48.155,22044.6
20,08/22/17 03:10:00 PM,46.210,31689.1
21,08/22/17 03:20:00 PM,46.083,10677.8
22,08/22/17 03:30:00 PM,43.359,11711.2
23,08/22/17 03:40:00 PM,43.118,10677.8
24,08/22/17 03:50:00 PM,44.334,27555.7
25,08/22/17 04:00:00 PM,48.955,15155.7
26,08/22/17 04:10:00 PM,48.821,27555.7
27,08/22/17 04:20:00 PM,51.154,22044.6
28,08/22/17 04:30:00 PM,47.109,14466.8
29,08/22/17 04:40:00 PM,45.201,8611.2
30,08/22/17 04:50:00 PM,42.639,8611.2
31,08/22/17 05:00:00 PM,41.458,10677.8
32,08/22/17 05:10:00 PM,40.415,6544.5
33,08/22/17 05:20:00 PM,38.046,3788.9
34,08/22/17 05:30:00 PM,36.403,2927.8
35,08/22/17 05:40:00 PM,35.115,1722.2
36,08/22/17 05:50:00 PM,34.058,1130.2
37,08/22/17 06:00:00 PM,33.430,882.6
38,08/22/17 06:10:00 PM,32.291,710.4
39,08/22/17 06:20:00 PM,31.472,667.4
40,08/22/17 06:30:00 PM,30.862,247.6
41,08/22/17 06:40:00 PM,30.154,53.8
42,08/22/17 06:50:00 PM,29.752,0.0
43,08/22/17 07:00:00 PM,29.352,0.0
44,08/22/17 07:10:00 PM,29.053,0.0
45,08/22/17 07:20:00 PM,28.555,0.0
46,08/22/17 07:30:00 PM,28.357,0.0
47,08/22/17 07:40:00 PM,28.357,0.0
48,08/22/17 07:50:00 PM,27.961,0.0
49,08/22/17 08:00:00 PM,27.567,0.0
50,08/22/17 08:10:00 PM,27.173,0.0
51,08/22/17 08:20:00 PM,26.879,0.0
52,08/22/17 08:30:00 PM,26.781,0.0
53,08/22/17 08:40:00 PM,26.781,0.0
54,08/22/17 08:50:00 PM,26.879,0.0
55,08/22/17 09:00:00 PM,26.977,0.0
56,08/22/17 09:10:00 PM,26.488,0.0
57,08/22/17 09:20:00 PM,26.195,0.0
58,08/22/17 09:30:00 PM,25.902,0.0
59,08/22/17 09:40:00 PM,25.805,0.0
60,08/22/17 09:50:00 PM,25.805,0.0
61,08/22/17 10:00:00 PM,25.513,0.0
62,08/22/17 10:10:00 PM,24.835,0.0
63,08/22/17 10:20:00 PM,24.545,0.0
64,08/22/17 10:30:00 PM,24.545,0.0
65,08/22/17 10:40:00 PM,24.641,0.0
