"Plot Title: Piti LL (20154258)"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 20154258, SEN S/N: 20154258)","Intensity, Lux (LGR S/N: 20154258, SEN S/N: 20154258)","Coupler Attached (LGR S/N: 20154258)","Stopped (LGR S/N: 20154258)","End Of File (LGR S/N: 20154258)"
1,10/04/40 04:40:00 AM,29.552,13089.0,,,
2,10/04/40 04:50:00 AM,29.652,14466.8,,,
3,10/04/40 05:00:00 AM,29.752,15844.5,,,
4,10/04/40 05:10:00 AM,29.853,16533.4,,,
5,10/04/40 05:20:00 AM,29.953,16533.4,,,
6,10/04/40 05:30:00 AM,30.054,20666.8,,,
7,10/04/40 05:40:00 AM,30.255,22044.6,,,
8,10/04/40 05:50:00 AM,30.356,21355.7,,,
9,10/04/40 06:00:00 AM,30.558,27555.7,,,
10,10/04/40 06:10:00 AM,30.760,28933.5,,,
11,10/04/40 06:20:00 AM,30.862,33066.9,,,
12,10/04/40 06:30:00 AM,31.064,30311.3,,,
13,10/04/40 06:40:00 AM,30.963,26178.0,,,
14,10/04/40 06:50:00 AM,30.963,24800.2,,,
15,10/04/40 07:00:00 AM,31.064,26178.0,,,
16,10/04/40 07:10:00 AM,31.268,33066.9,,,
17,10/04/40 07:20:00 AM,31.574,39955.8,,,
18,10/04/40 07:30:00 AM,31.574,30311.3,,,
19,10/04/40 07:40:00 AM,31.880,42711.4,,,
20,10/04/40 07:50:00 AM,31.472,23422.4,,,
21,10/04/40 08:00:00 AM,32.086,46844.8,,,
22,10/04/40 08:10:00 AM,31.676,28933.5,,,
23,10/04/40 08:20:00 AM,31.472,22044.6,,,
24,10/04/40 08:30:00 AM,31.370,19977.9,,,
25,10/04/40 08:40:00 AM,31.370,19977.9,,,
26,10/04/40 08:50:00 AM,31.370,22044.6,,,
27,10/04/40 09:00:00 AM,31.370,21355.7,,,
28,10/04/40 09:10:00 AM,31.268,19977.9,,,
29,10/04/40 09:20:00 AM,31.370,18600.1,,,
30,10/04/40 09:30:00 AM,31.268,16533.4,,,
31,10/04/40 09:40:00 AM,31.370,16533.4,,,
32,10/04/40 09:50:00 AM,31.472,16533.4,,,
33,10/04/40 10:00:00 AM,31.676,14466.8,,,
34,10/04/40 10:10:00 AM,31.983,13089.0,,,
35,10/04/40 10:20:00 AM,31.778,13089.0,,,
36,10/04/40 10:30:00 AM,31.472,11711.2,,,
37,10/04/40 10:40:00 AM,31.268,10333.4,,,
38,10/04/40 10:50:00 AM,30.862,7577.8,,,
39,10/04/40 11:00:00 AM,30.558,6200.0,,,
40,10/04/40 11:10:00 AM,30.356,5511.1,,,
41,10/04/40 11:20:00 AM,30.255,4994.5,,,
42,10/04/40 11:30:00 AM,30.154,4477.8,,,
43,10/04/40 11:40:00 AM,30.054,3961.1,,,
44,10/04/40 11:50:00 AM,29.953,3788.9,,,
45,10/04/40 12:00:00 PM,29.953,3272.2,,,
46,10/04/40 12:10:00 PM,29.853,2497.2,,,
47,10/04/40 12:20:00 PM,29.853,1550.0,,,
48,10/04/40 12:30:00 PM,29.752,871.9,,,
49,10/04/40 12:40:00 PM,29.853,527.4,,,
50,10/04/40 12:50:00 PM,29.752,269.1,,,
51,10/04/40 01:00:00 PM,29.752,96.9,,,
52,10/04/40 01:10:00 PM,29.752,32.3,,,
53,10/04/40 01:20:00 PM,29.853,10.8,,,
