SerialNo,Location,DateTime,Variable,Value
20154244,Maintenance LL,06/27/18 09:00:00 AM,Temp_C,21.473
20154244,Maintenance LL,06/27/18 09:10:00 AM,Temp_C,23.004
20154244,Maintenance LL,06/27/18 09:20:00 AM,Temp_C,25.416
20154244,Maintenance LL,06/27/18 09:30:00 AM,Temp_C,27.272
20154244,Maintenance LL,06/27/18 09:40:00 AM,Temp_C,28.754
20154244,Maintenance LL,06/27/18 09:50:00 AM,Temp_C,29.053
20154244,Maintenance LL,06/27/18 10:00:00 AM,Temp_C,28.754
20154244,Maintenance LL,06/27/18 10:10:00 AM,Temp_C,28.06
20154244,Maintenance LL,06/27/18 10:20:00 AM,Temp_C,29.152
20154244,Maintenance LL,06/27/18 10:30:00 AM,Temp_C,29.152
20154244,Maintenance LL,06/27/18 10:40:00 AM,Temp_C,29.152
20154244,Maintenance LL,06/27/18 10:50:00 AM,Temp_C,29.152
20154244,Maintenance LL,06/27/18 11:00:00 AM,Temp_C,29.352
20154244,Maintenance LL,06/27/18 11:10:00 AM,Temp_C,29.853
20154244,Maintenance LL,06/27/18 11:20:00 AM,Temp_C,29.152
20154244,Maintenance LL,06/27/18 11:30:00 AM,Temp_C,30.154
20154244,Maintenance LL,06/27/18 11:40:00 AM,Temp_C,32.497
20154244,Maintenance LL,06/27/18 11:50:00 AM,Temp_C,34.691
20154244,Maintenance LL,06/27/18 12:00:00 PM,Temp_C,35.649
20154244,Maintenance LL,06/27/18 12:10:00 PM,Temp_C,37.274
20154244,Maintenance LL,06/27/18 12:20:00 PM,Temp_C,36.946
20154244,Maintenance LL,06/27/18 12:30:00 PM,Temp_C,36.403
20154244,Maintenance LL,06/27/18 12:40:00 PM,Temp_C,36.728
20154244,Maintenance LL,06/27/18 12:50:00 PM,Temp_C,37.384
20154244,Maintenance LL,06/27/18 01:00:00 PM,Temp_C,38.826
20154244,Maintenance LL,06/27/18 01:10:00 PM,Temp_C,39.389
20154244,Maintenance LL,06/27/18 01:20:00 PM,Temp_C,40.645
20154244,Maintenance LL,06/27/18 01:30:00 PM,Temp_C,41.225
20154244,Maintenance LL,06/27/18 01:40:00 PM,Temp_C,39.615
20154244,Maintenance LL,06/27/18 01:50:00 PM,Temp_C,41.692
20154244,Maintenance LL,06/27/18 02:00:00 PM,Temp_C,39.615
20154244,Maintenance LL,06/27/18 02:10:00 PM,Temp_C,37.494
20154244,Maintenance LL,06/27/18 02:20:00 PM,Temp_C,37.055
20154244,Maintenance LL,06/27/18 02:30:00 PM,Temp_C,37.274
20154244,Maintenance LL,06/27/18 02:40:00 PM,Temp_C,38.379
20154244,Maintenance LL,06/27/18 02:50:00 PM,Temp_C,38.49
20154244,Maintenance LL,06/27/18 03:00:00 PM,Temp_C,38.938
20154244,Maintenance LL,06/27/18 03:10:00 PM,Temp_C,37.604
20154244,Maintenance LL,06/27/18 03:20:00 PM,Temp_C,37.055
20154244,Maintenance LL,06/27/18 03:30:00 PM,Temp_C,37.604
20154244,Maintenance LL,06/27/18 03:40:00 PM,Temp_C,37.165
20154244,Maintenance LL,06/27/18 03:50:00 PM,Temp_C,37.165
20154244,Maintenance LL,06/27/18 04:00:00 PM,Temp_C,36.511
20154244,Maintenance LL,06/27/18 04:10:00 PM,Temp_C,36.403
20154244,Maintenance LL,06/27/18 04:20:00 PM,Temp_C,35.756
20154244,Maintenance LL,06/27/18 04:30:00 PM,Temp_C,35.222
20154244,Maintenance LL,06/27/18 04:40:00 PM,Temp_C,34.268
20154244,Maintenance LL,06/27/18 04:50:00 PM,Temp_C,33.743
20154244,Maintenance LL,06/27/18 05:00:00 PM,Temp_C,33.118
20154244,Maintenance LL,06/27/18 05:10:00 PM,Temp_C,32.394
20154244,Maintenance LL,06/27/18 05:20:00 PM,Temp_C,31.778
20154244,Maintenance LL,06/27/18 05:30:00 PM,Temp_C,31.472
20154244,Maintenance LL,06/27/18 05:40:00 PM,Temp_C,31.166
20154244,Maintenance LL,06/27/18 05:50:00 PM,Temp_C,31.166
20154244,Maintenance LL,06/27/18 06:00:00 PM,Temp_C,30.862
20154244,Maintenance LL,06/27/18 06:10:00 PM,Temp_C,30.255
20154244,Maintenance LL,06/27/18 06:20:00 PM,Temp_C,29.452
